PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_eratoUnique_5thup.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_5th_p05FC1_eratoUnique_5thup_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
3746	Herato1301	9574072	9574524	+	0	NA	Intergenic	Intergenic	-83126	ID=evm.model.Herato1301.383.1-E1;Parent=evm.model.Herato1301.383.1								
4536	Herato0301	3318426	3318864	+	0	NA	Intergenic	Intergenic	37795	ID=evm.model.Herato0301.89-E4;Parent=evm.model.Herato0301.89								
4385	Herato0215	110662	110993	+	0	NA	Intergenic	Intergenic	-37265	ID=evm.model.Herato0215.3-E1;Parent=evm.model.Herato0215.3								
3361	Herato1701	3278008	3278352	+	0	NA	Intergenic	Intergenic	-95036	ID=evm.model.Herato1701.65-E1;Parent=evm.model.Herato1701.65								
2985	Herato1910	819245	819796	+	0	NA	promoter-TSS (ID=evm.model.Herato1910.61-E1;Parent=evm.model.Herato1910.61)	-promoter-TSS (ID=evm.model.Herato1910.61-E1;Parent=evm.model.Herato1910.61)	4	ID=evm.model.Herato1910.61.5-E1;Parent=evm.model.Herato1910.61.5								
3593	Herato1703	1002001	1003193	+	0	NA	Intergenic	Intergenic	17769	ID=evm.model.Herato1703.17.1-E6;Parent=evm.model.Herato1703.17.1								
4979	Herato1605	1344966	1345214	+	0	NA	Intergenic	Intergenic	12562	ID=evm.model.Herato1605.43-E1;Parent=evm.model.Herato1605.43								
5709	Herato0310	6075630	6076739	+	0	NA	promoter-TSS (ID=evm.model.Herato0310.155-E1;Parent=evm.model.Herato0310.155)	-promoter-TSS (ID=evm.model.Herato0310.155-E1;Parent=evm.model.Herato0310.155)	10	ID=evm.model.Herato0310.155-E1;Parent=evm.model.Herato0310.155								
3673	Herato1708	261450	262570	+	0	NA	Intergenic	Intergenic	4529	ID=evm.model.Herato1708.20-E1;Parent=evm.model.Herato1708.20								
3210	Herato0101	1969795	1970542	+	0	NA	Intergenic	Intergenic	-3683	ID=evm.model.Herato0101.48-E4;Parent=evm.model.Herato0101.48								
5665	Herato0503	2997103	2997407	+	0	NA	Intergenic	Intergenic	-3469	ID=evm.model.Herato0503.113-E2;Parent=evm.model.Herato0503.113								
1409	Herato0821	3209888	3210342	+	0	NA	Intergenic	Intergenic	1479	ID=evm.model.Herato0821.127-E1;Parent=evm.model.Herato0821.127								
4417	Herato1901	2603779	2604047	+	0	NA	Intergenic	Intergenic	6000	ID=evm.model.Herato1901.83.1-E1;Parent=evm.model.Herato1901.83.1								
4581	Herato1701	4176696	4177439	+	0	NA	Intergenic	Intergenic	-1621	ID=evm.model.Herato1701.95.2-E4;Parent=evm.model.Herato1701.95.2								
1716	Herato0901	9261033	9262028	+	0	NA	Intergenic	Intergenic	3683	ID=evm.model.Herato0901.298_evm.model.Herato0901.299-E5;Parent=evm.model.Herato0901.298_evm.model.Herato0901.299								
4219	Herato1408	3396063	3396284	+	0	NA	Intergenic	Intergenic	12545	ID=evm.model.Herato1408.117.2-E10;Parent=evm.model.Herato1408.117.2								
293	Herato1005	1167425	1167792	+	0	NA	promoter-TSS (ID=evm.model.Herato1005.74-E59;Parent=evm.model.Herato1005.74)	-promoter-TSS (ID=evm.model.Herato1005.74-E59;Parent=evm.model.Herato1005.74)	-324	ID=evm.model.Herato1005.74-E59;Parent=evm.model.Herato1005.74								
1272	Herato1605	542123	542359	+	0	NA	Intergenic	Intergenic	-13653	ID=evm.model.Herato1605.27.1-E1;Parent=evm.model.Herato1605.27.1								
1663	Herato1202	19771863	19772468	+	0	NA	Intergenic	Intergenic	-16977	ID=evm.model.Herato1202.799-E1;Parent=evm.model.Herato1202.799								
5614	Herato2001	17763538	17763865	+	0	NA	Intergenic	Intergenic	4830	ID=evm.model.Herato2001.682-E2;Parent=evm.model.Herato2001.682								
3818	Herato1605	2040217	2040439	+	0	NA	promoter-TSS (ID=evm.model.Herato1605.174-E3;Parent=evm.model.Herato1605.174)	-promoter-TSS (ID=evm.model.Herato1605.174-E3;Parent=evm.model.Herato1605.174)	-342	ID=evm.model.Herato1605.174-E3;Parent=evm.model.Herato1605.174								
2888	Herato1108	13377751	13378237	+	0	NA	TTS (ID=evm.model.Herato1108.570-E1;Parent=evm.model.Herato1108.570)	-TTS (ID=evm.model.Herato1108.570-E1;Parent=evm.model.Herato1108.570)	1132	ID=evm.model.Herato1108.570-E1;Parent=evm.model.Herato1108.570								
469	Herato0609	1114585	1114778	+	0	NA	Intergenic	Intergenic	-1067	ID=evm.model.Herato0609.73-E1;Parent=evm.model.Herato0609.73								
5716	Herato0503	3129135	3129606	+	0	NA	Intergenic	Intergenic	-99806	ID=evm.model.Herato0503.115-E1;Parent=evm.model.Herato0503.115								
635	Herato1108	3118817	3119423	+	0	NA	Intergenic	Intergenic	6332	ID=evm.model.Herato1108.99-E6;Parent=evm.model.Herato1108.99								
1088	Herato0701	18120325	18120802	+	0	NA	Intergenic	Intergenic	-53081	ID=evm.model.Herato0701.743-E1;Parent=evm.model.Herato0701.743								
5373	Herato0101	3548810	3549093	+	0	NA	Intergenic	Intergenic	76722	ID=evm.model.Herato0101.115-E21;Parent=evm.model.Herato0101.115								
1566	Herato0901	3465148	3465932	+	0	NA	Intergenic	Intergenic	6065	ID=evm.model.Herato0901.91.3-E2;Parent=evm.model.Herato0901.91.3								
979	Herato0701	16201445	16201663	+	0	NA	Intergenic	Intergenic	8665	ID=evm.model.Herato0701.699-E5;Parent=evm.model.Herato0701.699								
3950	Herato0301	3384433	3385962	+	0	NA	Intergenic	Intergenic	-8426	ID=evm.model.Herato0301.88-E1;Parent=evm.model.Herato0301.88								
3737	Herato1301	8621043	8621573	+	0	NA	Intergenic	Intergenic	-2142	ID=evm.model.Herato1301.365.1-E3;Parent=evm.model.Herato1301.365.1								
709	Herato1108	5315876	5316469	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.231-E6;Parent=evm.model.Herato1108.231)	-promoter-TSS (ID=evm.model.Herato1108.231-E6;Parent=evm.model.Herato1108.231)	-960	ID=evm.model.Herato1108.231-E6;Parent=evm.model.Herato1108.231								
3603	Herato0101	21484867	21485241	+	0	NA	Intergenic	Intergenic	-5816	ID=evm.model.Herato0101.831-E6;Parent=evm.model.Herato0101.831								
40	Herato0508	1958913	1960992	+	0	NA	Intergenic	Intergenic	-4516	ID=evm.model.Herato0508.75-E2;Parent=evm.model.Herato0508.75								
310	Herato1005	2469552	2470260	+	0	NA	Intergenic	Intergenic	4961	ID=evm.model.Herato1005.122.1-E4;Parent=evm.model.Herato1005.122.1								
192	Herato0606	1587362	1587632	+	0	NA	Intergenic	Intergenic	2320	ID=evm.model.Herato0606.50-E2;Parent=evm.model.Herato0606.50								
1115	Herato0701	18864875	18866431	+	0	NA	Intergenic	Intergenic	-37195	ID=evm.model.Herato0701.762-E1;Parent=evm.model.Herato0701.762								
5626	Herato2101	9516619	9517236	+	0	NA	promoter-TSS (ID=evm.model.Herato2101.326-E1;Parent=evm.model.Herato2101.326)	-promoter-TSS (ID=evm.model.Herato2101.326-E1;Parent=evm.model.Herato2101.326)	76	ID=evm.model.Herato2101.326-E1;Parent=evm.model.Herato2101.326								
4421	Herato0101	6226873	6227739	+	0	NA	Intergenic	Intergenic	-24915	ID=evm.model.Herato0101.179-E4;Parent=evm.model.Herato0101.179								
4406	Herato1411	5678238	5679423	+	0	NA	Intergenic	Intergenic	-2112	ID=evm.model.Herato1411.196-E2;Parent=evm.model.Herato1411.196								
4320	Herato2101	3672924	3673272	+	0	NA	Intergenic	Intergenic	-19461	ID=evm.model.Herato2101.124-E1;Parent=evm.model.Herato2101.124								
4262	Herato1807	2389589	2390000	+	0	NA	promoter-TSS (ID=evm.model.Herato1807.47-E1;Parent=evm.model.Herato1807.47)	-promoter-TSS (ID=evm.model.Herato1807.47-E1;Parent=evm.model.Herato1807.47)	-371	ID=evm.model.Herato1807.47-E1;Parent=evm.model.Herato1807.47								
3529	Herato2001	13816634	13817233	+	0	NA	Intergenic	Intergenic	-15281	ID=evm.model.Herato2001.549-E1;Parent=evm.model.Herato2001.549								
4303	Herato0401	2487354	2487768	+	0	NA	Intergenic	Intergenic	8148	ID=evm.model.Herato0401.71-E2;Parent=evm.model.Herato0401.71								
3764	Herato0206	123610	124685	+	0	NA	Intergenic	Intergenic	-24518	ID=evm.model.Herato0206.5-E1;Parent=evm.model.Herato0206.5								
2293	Herato1007	1181376	1182223	+	0	NA	Intergenic	Intergenic	-9684	ID=evm.model.Herato1007.44-E1;Parent=evm.model.Herato1007.44								
1707	Herato0901	8848084	8849515	+	0	NA	Intergenic	Intergenic	-8549	ID=evm.model.Herato0901.282-E1;Parent=evm.model.Herato0901.282								
3103	Herato0101	19786810	19787460	+	0	NA	Intergenic	Intergenic	44243	ID=evm.model.Herato0101.767-E4;Parent=evm.model.Herato0101.767								
267	Herato1805	5654105	5654543	+	0	NA	promoter-TSS (ID=evm.model.Herato1805.156-E4;Parent=evm.model.Herato1805.156)	-promoter-TSS (ID=evm.model.Herato1805.156-E4;Parent=evm.model.Herato1805.156)	92	ID=evm.model.Herato1805.156-E4;Parent=evm.model.Herato1805.156								
543	Herato0701	2410782	2411110	+	0	NA	Intergenic	Intergenic	5376	ID=evm.model.Herato0701.144-E1;Parent=evm.model.Herato0701.144								
1892	Herato1001	2595082	2596122	+	0	NA	Intergenic	Intergenic	-9837	ID=evm.model.Herato1001.95-E2;Parent=evm.model.Herato1001.95								
2044	Herato0301	3134508	3134848	+	0	NA	Intergenic	Intergenic	-1598	ID=evm.model.Herato0301.81.3-E1;Parent=evm.model.Herato0301.81.3								
4561	Herato0215	834018	834427	+	0	NA	Intergenic	Intergenic	-11072	ID=evm.model.Herato0215.28-E1;Parent=evm.model.Herato0215.28								
4553	Herato1701	3222724	3223986	+	0	NA	Intergenic	Intergenic	-149861	ID=evm.model.Herato1701.65-E1;Parent=evm.model.Herato1701.65								
4231	Herato1910	1421328	1421535	+	0	NA	Intergenic	Intergenic	3705	ID=evm.model.Herato1910.101-E1;Parent=evm.model.Herato1910.101								
1437	Herato0901	245187	245602	+	0	NA	Intergenic	Intergenic	2803	ID=evm.model.Herato0901.16-E3;Parent=evm.model.Herato0901.16								
4648	Herato1507	7075753	7075959	+	0	NA	Intergenic	Intergenic	-46209	ID=evm.model.Herato1507.249.1-E1;Parent=evm.model.Herato1507.249.1								
2813	Herato1108	11216496	11216876	+	0	NA	Intergenic	Intergenic	-8359	ID=evm.model.Herato1108.484.3-E3;Parent=evm.model.Herato1108.484.3								
2724	Herato1507	3431825	3432328	+	0	NA	Intergenic	Intergenic	21731	ID=evm.model.Herato1507.128-E2;Parent=evm.model.Herato1507.128								
2517	Herato1108	1295204	1296491	+	0	NA	Intergenic	Intergenic	10655	ID=evm.model.Herato1108.34-E12;Parent=evm.model.Herato1108.34								
757	Herato1108	6824165	6825886	+	0	NA	TTS (ID=evm.model.Herato1108.299-E3;Parent=evm.model.Herato1108.299)	-TTS (ID=evm.model.Herato1108.299-E3;Parent=evm.model.Herato1108.299)	170	ID=evm.model.Herato1108.299.1-E3;Parent=evm.model.Herato1108.299.1								
2577	Herato1108	3895407	3896435	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.149-E6;Parent=evm.model.Herato1108.149)	-promoter-TSS (ID=evm.model.Herato1108.149-E6;Parent=evm.model.Herato1108.149)	221	ID=evm.model.Herato1108.149.1.4-E5;Parent=evm.model.Herato1108.149.1.4								
9	Herato0101	7975911	7976154	+	0	NA	Intergenic	Intergenic	-6701	ID=evm.model.Herato0101.239-E9;Parent=evm.model.Herato0101.239								
3359	Herato1701	3118706	3119132	+	0	NA	Intergenic	Intergenic	-97238	ID=evm.model.Herato1701.63-E1;Parent=evm.model.Herato1701.63								
1740	Herato0901	10778741	10778927	+	0	NA	Intergenic	Intergenic	-2490	ID=evm.model.Herato0901.324.3-E42;Parent=evm.model.Herato0901.324.3								
1600	Herato0901	4172648	4173336	+	0	NA	Intergenic	Intergenic	-35206	ID=evm.model.Herato0901.100-E1;Parent=evm.model.Herato0901.100								
603	Herato0701	4483595	4483914	+	0	NA	Intergenic	Intergenic	-4068	ID=evm.model.Herato0701.217-E2;Parent=evm.model.Herato0701.217								
5666	Herato0503	5145888	5146479	+	0	NA	TTS (ID=evm.model.Herato0503.166-E4;Parent=evm.model.Herato0503.166)	-TTS (ID=evm.model.Herato0503.166-E4;Parent=evm.model.Herato0503.166)	659	ID=evm.model.Herato0503.166.1-E4;Parent=evm.model.Herato0503.166.1								
5423	Herato1801	2768433	2768887	+	0	NA	Intergenic	Intergenic	-17883	ID=evm.model.Herato1801.96-E1;Parent=evm.model.Herato1801.96								
90	Herato0101	8379159	8379401	+	0	NA	Intergenic	Intergenic	27652	ID=evm.model.Herato0101.251-E7;Parent=evm.model.Herato0101.251								
4712	Herato2101	3268836	3269066	+	0	NA	Intergenic	Intergenic	-35987	ID=evm.model.Herato2101.113.2-E1;Parent=evm.model.Herato2101.113.2								
3514	Herato1202	19831541	19832364	+	0	NA	Intergenic	Intergenic	-3978	ID=evm.model.Herato1202.801-E1;Parent=evm.model.Herato1202.801								
565	Herato0701	3035199	3035624	+	0	NA	Intergenic	Intergenic	-1791	ID=evm.model.Herato0701.165-E2;Parent=evm.model.Herato0701.165								
3102	Herato0215	2125244	2125818	+	0	NA	Intergenic	Intergenic	-20986	ID=evm.model.Herato0215.75-E1;Parent=evm.model.Herato0215.75								
3247	Herato1202	11455811	11456194	+	0	NA	Intergenic	Intergenic	-4005	ID=evm.model.Herato1202.453.1-E4;Parent=evm.model.Herato1202.453.1								
850	Herato1108	10045978	10047983	+	0	NA	Intergenic	Intergenic	-20189	ID=evm.model.Herato1108.450-E1;Parent=evm.model.Herato1108.450								
5361	Herato2001	17686735	17687284	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.678-E17;Parent=evm.model.Herato2001.678)	-promoter-TSS (ID=evm.model.Herato2001.678-E17;Parent=evm.model.Herato2001.678)	57	ID=evm.model.Herato2001.678.1-E11;Parent=evm.model.Herato2001.678.1								
4057	Herato1701	6236767	6236982	+	0	NA	Intergenic	Intergenic	-38468	ID=evm.model.Herato1701.174.1-E1;Parent=evm.model.Herato1701.174.1								
4997	Herato1801	2520564	2520969	+	0	NA	Intergenic	Intergenic	-13497	ID=evm.model.Herato1801.90-E1;Parent=evm.model.Herato1801.90								
4683	Herato1701	7296345	7296846	+	0	NA	Intergenic	Intergenic	-1292	ID=evm.model.Herato1701.214-E1;Parent=evm.model.Herato1701.214								
2696	Herato0215	833395	833725	+	0	NA	Intergenic	Intergenic	-11734	ID=evm.model.Herato0215.28-E1;Parent=evm.model.Herato0215.28								
1360	Herato1605	3946862	3947642	+	0	NA	Intergenic	Intergenic	6060	ID=evm.model.Herato1605.120-E5;Parent=evm.model.Herato1605.120								
3620	Herato1703	1796509	1797175	+	0	NA	TTS (ID=evm.model.Herato1703.30.4-E1;Parent=evm.model.Herato1703.30.4)	-TTS (ID=evm.model.Herato1703.30.4-E1;Parent=evm.model.Herato1703.30.4)	-1343	ID=evm.model.Herato1703.30.3-E4;Parent=evm.model.Herato1703.30.3								
233	Herato1003	6195968	6196976	+	0	NA	promoter-TSS (ID=evm.model.Herato1003.204.1-E1;Parent=evm.model.Herato1003.204.1)	-promoter-TSS (ID=evm.model.Herato1003.204.1-E1;Parent=evm.model.Herato1003.204.1)	-587	ID=evm.model.Herato1003.204.1-E1;Parent=evm.model.Herato1003.204.1								
1490	Herato1701	3355012	3355195	+	0	NA	Intergenic	Intergenic	-18113	ID=evm.model.Herato1701.65-E1;Parent=evm.model.Herato1701.65								
2198	Herato0101	16518053	16518868	+	0	NA	Intergenic	Intergenic	3473	ID=evm.model.Herato0101.644.1.1-E6;Parent=evm.model.Herato0101.644.1.1								
2947	Herato1202	756360	756586	+	0	NA	exon (ID=evm.model.Herato1202.36.1-E1;Parent=evm.model.Herato1202.36.1, exon 1 of 1)	-exon (ID=evm.model.Herato1202.36.1-E1;Parent=evm.model.Herato1202.36.1, exon 1 of 1)	151	ID=evm.model.Herato1202.36.1-E1;Parent=evm.model.Herato1202.36.1								
4199	Herato0310	9912809	9913199	+	0	NA	Intergenic	Intergenic	-23311	ID=evm.model.Herato0310.302-E1;Parent=evm.model.Herato0310.302								
4480	Herato1505	1018087	1018626	+	0	NA	Intergenic	Intergenic	-21726	ID=evm.model.Herato1505.41.2-E2;Parent=evm.model.Herato1505.41.2								
4105	Herato0503	4101067	4101818	+	0	NA	Intergenic	Intergenic	11122	ID=evm.model.Herato0503.129.1-E2;Parent=evm.model.Herato0503.129.1								
2288	Herato1007	963733	964086	+	0	NA	Intergenic	Intergenic	-11214	ID=evm.model.Herato1007.40.1-E1;Parent=evm.model.Herato1007.40.1								
4777	Herato1601	2524830	2525051	+	0	NA	Intergenic	Intergenic	-6243	ID=evm.model.Herato1601.57-E6;Parent=evm.model.Herato1601.57								
2954	Herato1601	2561734	2562294	+	0	NA	Intergenic	Intergenic	-12600	ID=evm.model.Herato1601.58-E1;Parent=evm.model.Herato1601.58								
11	Herato0508	798724	798888	+	0	NA	Intergenic	Intergenic	23785	ID=evm.model.Herato0508.43-E2;Parent=evm.model.Herato0508.43								
5120	Herato2001	6334601	6335375	+	0	NA	Intergenic	Intergenic	-15550	ID=evm.model.Herato2001.226.2-E1;Parent=evm.model.Herato2001.226.2								
4841	Herato1801	4530189	4530369	+	0	NA	Intergenic	Intergenic	-17428	ID=evm.model.Herato1801.153-E1;Parent=evm.model.Herato1801.153								
4117	Herato1701	8150689	8151039	+	0	NA	Intergenic	Intergenic	22932	ID=evm.model.Herato1701.248-E8;Parent=evm.model.Herato1701.248								
842	Herato0701	11953400	11953711	+	0	NA	Intergenic	Intergenic	13522	ID=evm.model.Herato0701.539-E1;Parent=evm.model.Herato0701.539								
4288	Herato1807	3019495	3019771	+	0	NA	Intergenic	Intergenic	-61516	ID=evm.model.Herato1807.61-E1;Parent=evm.model.Herato1807.61								
2000	Herato1301	14504829	14505053	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.545-E13;Parent=evm.model.Herato1301.545)	-promoter-TSS (ID=evm.model.Herato1301.545-E13;Parent=evm.model.Herato1301.545)	80	ID=evm.model.Herato1301.545-E13;Parent=evm.model.Herato1301.545								
3340	Herato2001	7895109	7895639	+	0	NA	Intergenic	Intergenic	1829	ID=evm.model.Herato2001.323-E12;Parent=evm.model.Herato2001.323								
2531	Herato0101	17733560	17734517	+	0	NA	Intergenic	Intergenic	42068	ID=evm.model.Herato0101.702.2-E14;Parent=evm.model.Herato0101.702.2								
199	Herato0606	1647786	1648346	+	0	NA	Intergenic	Intergenic	8662	ID=evm.model.Herato0606.53-E7;Parent=evm.model.Herato0606.53								
4972	Herato1801	2003428	2003744	+	0	NA	Intergenic	Intergenic	-3998	ID=evm.model.Herato1801.83.1-E1;Parent=evm.model.Herato1801.83.1								
2410	Herato1007	3855303	3857475	+	0	NA	Intergenic	Intergenic	14795	ID=evm.model.Herato1007.145-E1;Parent=evm.model.Herato1007.145								
1899	Herato1001	3177085	3177424	+	0	NA	Intergenic	Intergenic	15726	ID=evm.model.Herato1001.114-E3;Parent=evm.model.Herato1001.114								
4606	Herato1703	2149149	2149512	+	0	NA	Intergenic	Intergenic	-6368	ID=evm.model.Herato1703.51-E1;Parent=evm.model.Herato1703.51								
1929	Herato1001	5015387	5015764	+	0	NA	Intergenic	Intergenic	-19167	ID=evm.model.Herato1001.166-E3;Parent=evm.model.Herato1001.166								
1737	Herato0901	10567636	10568067	+	0	NA	Intergenic	Intergenic	-1176	ID=evm.model.Herato0901.324.2-E3;Parent=evm.model.Herato0901.324.2								
4814	Herato1910	1308274	1308852	+	0	NA	Intergenic	Intergenic	-1726	ID=evm.model.Herato1910.97-E1;Parent=evm.model.Herato1910.97								
3143	Herato1202	7722960	7724295	+	0	NA	Intergenic	Intergenic	-24512	ID=evm.model.Herato1202.307-E1;Parent=evm.model.Herato1202.307								
5128	Herato2001	6687965	6688408	+	0	NA	Intergenic	Intergenic	8311	ID=evm.model.Herato2001.248-E1;Parent=evm.model.Herato2001.248								
5789	Herato0310	3679831	3681522	+	0	NA	Intergenic	Intergenic	3062	ID=evm.model.Herato0310.90-E6;Parent=evm.model.Herato0310.90								
3411	Herato1202	16781750	16782302	+	0	NA	Intergenic	Intergenic	-1995	ID=evm.model.Herato1202.675-E2;Parent=evm.model.Herato1202.675								
3284	Herato1202	12788393	12789492	+	0	NA	Intergenic	Intergenic	68250	ID=evm.model.Herato1202.477-E6;Parent=evm.model.Herato1202.477								
3223	Herato0101	20206490	20206852	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.777-E8;Parent=evm.model.Herato0101.777)	-promoter-TSS (ID=evm.model.Herato0101.777-E8;Parent=evm.model.Herato0101.777)	-402	ID=evm.model.Herato0101.777-E8;Parent=evm.model.Herato0101.777								
3244	Herato1202	11335301	11335762	+	0	NA	Intergenic	Intergenic	-20922	ID=evm.model.Herato1202.450-E1;Parent=evm.model.Herato1202.450								
2122	Herato1301	20312256	20313500	+	0	NA	Intergenic	Intergenic	-5813	ID=evm.model.Herato1301.693-E3;Parent=evm.model.Herato1301.693								
5581	Herato0411	1382935	1383140	+	0	NA	Intergenic	Intergenic	-5745	ID=evm.model.Herato0411.29-E4;Parent=evm.model.Herato0411.29								
2280	Herato1408	1819342	1820062	+	0	NA	Intergenic	Intergenic	9414	ID=evm.model.Herato1408.58.1-E1;Parent=evm.model.Herato1408.58.1								
280	Herato0606	4155725	4156189	+	0	NA	Intergenic	Intergenic	-4351	ID=evm.model.Herato0606.128-E1;Parent=evm.model.Herato0606.128								
273	Herato0606	3928743	3928961	+	0	NA	Intergenic	Intergenic	-1862	ID=evm.model.Herato0606.121-E1;Parent=evm.model.Herato0606.121								
471	Herato0609	1167401	1168005	+	0	NA	Intergenic	Intergenic	8467	ID=evm.model.Herato0609.75-E10;Parent=evm.model.Herato0609.75								
3498	Herato1202	19611585	19611938	+	0	NA	Intergenic	Intergenic	-4701	ID=evm.model.Herato1202.798-E2;Parent=evm.model.Herato1202.798								
4991	Herato1701	4388033	4388539	+	0	NA	Intergenic	Intergenic	-23287	ID=evm.model.Herato1701.105-E2;Parent=evm.model.Herato1701.105								
4177	Herato1908	2150584	2150871	+	0	NA	Intergenic	Intergenic	-4857	ID=evm.model.Herato1908.110-E1;Parent=evm.model.Herato1908.110								
2262	Herato1007	343085	343348	+	0	NA	Intergenic	Intergenic	-55083	ID=evm.model.Herato1007.7-E1;Parent=evm.model.Herato1007.7								
1509	Herato0901	2061326	2061650	+	0	NA	Intergenic	Intergenic	-7379	ID=evm.model.Herato0901.74-E1;Parent=evm.model.Herato0901.74								
5631	Herato0310	8272463	8272721	+	0	NA	Intergenic	Intergenic	-36520	ID=evm.model.Herato0310.223-E1;Parent=evm.model.Herato0310.223								
1936	Herato2101	8768490	8769030	+	0	NA	Intergenic	Intergenic	-25351	ID=evm.model.Herato2101.304.2-E1;Parent=evm.model.Herato2101.304.2								
2912	Herato1514	10375	10734	+	0	NA	NA	NA	NA	NA								
1325	Herato0821	54700	55039	+	0	NA	Intergenic	Intergenic	-12082	ID=evm.model.Herato0821.2-E2;Parent=evm.model.Herato0821.2								
1643	Herato0901	6431485	6432041	+	0	NA	Intergenic	Intergenic	2756	ID=evm.model.Herato0901.212-E4;Parent=evm.model.Herato0901.212								
131	Herato0601	3659540	3659871	+	0	NA	Intergenic	Intergenic	16356	ID=evm.model.Herato0601.87-E4;Parent=evm.model.Herato0601.87								
1565	Herato0101	13917047	13917762	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.499-E1;Parent=evm.model.Herato0101.499)	-promoter-TSS (ID=evm.model.Herato0101.499-E1;Parent=evm.model.Herato0101.499)	-294	ID=evm.model.Herato0101.499-E1;Parent=evm.model.Herato0101.499								
4277	Herato1807	2637856	2638643	+	0	NA	TTS (ID=evm.model.Herato1807.51-E51;Parent=evm.model.Herato1807.51)	-TTS (ID=evm.model.Herato1807.51-E51;Parent=evm.model.Herato1807.51)	1660	ID=evm.model.Herato1807.51.1-E51;Parent=evm.model.Herato1807.51.1								
4075	Herato0310	3688105	3688330	+	0	NA	Intergenic	Intergenic	2669	ID=evm.model.Herato0310.90-E5;Parent=evm.model.Herato0310.90								
1502	Herato0901	1843593	1844006	+	0	NA	Intergenic	Intergenic	15917	ID=evm.model.Herato0901.63-E4;Parent=evm.model.Herato0901.63								
1872	Herato1301	6726947	6727533	+	0	NA	Intergenic	Intergenic	4143	ID=evm.model.Herato1301.248-E23;Parent=evm.model.Herato1301.248								
4743	Herato2001	14507213	14507901	+	0	NA	Intergenic	Intergenic	-71944	ID=evm.model.Herato2001.568-E1;Parent=evm.model.Herato2001.568								
4665	Herato1904	7954914	7955386	+	0	NA	Intergenic	Intergenic	-13691	ID=evm.model.Herato1904.271-E1;Parent=evm.model.Herato1904.271								
3488	Herato1507	8260830	8261409	+	0	NA	Intergenic	Intergenic	-22055	ID=evm.model.Herato1507.297-E2;Parent=evm.model.Herato1507.297								
2935	Herato1601	1771808	1772324	+	0	NA	Intergenic	Intergenic	-141396	ID=evm.model.Herato1601.51-E1;Parent=evm.model.Herato1601.51								
4270	Herato1408	5969678	5970490	+	0	NA	Intergenic	Intergenic	7012	ID=evm.model.Herato1408.237-E2;Parent=evm.model.Herato1408.237								
3875	Herato2101	12164616	12165182	+	0	NA	exon (ID=evm.model.Herato2101.402-E2;Parent=evm.model.Herato2101.402, exon 1 of 1)	-exon (ID=evm.model.Herato2101.402-E2;Parent=evm.model.Herato2101.402, exon 1 of 1)	183	ID=evm.model.Herato2101.402-E2;Parent=evm.model.Herato2101.402								
2513	Herato1301	11952894	11953332	+	0	NA	TTS (ID=evm.model.Herato1301.471-E9;Parent=evm.model.Herato1301.471)	-TTS (ID=evm.model.Herato1301.471-E9;Parent=evm.model.Herato1301.471)	-1531	ID=evm.model.Herato1301.471-E10;Parent=evm.model.Herato1301.471								
37	Herato0508	1829087	1829506	+	0	NA	Intergenic	Intergenic	-18561	ID=evm.model.Herato0508.67.2-E2;Parent=evm.model.Herato0508.67.2								
855	Herato0701	12346062	12346395	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.576-E1;Parent=evm.model.Herato0701.576)	-promoter-TSS (ID=evm.model.Herato0701.576-E1;Parent=evm.model.Herato0701.576)	48	ID=evm.model.Herato0701.576-E1;Parent=evm.model.Herato0701.576								
5078	Herato1701	6332705	6333312	+	0	NA	Intergenic	Intergenic	-3516	ID=evm.model.Herato1701.176-E1;Parent=evm.model.Herato1701.176								
3659	Herato1301	4112570	4112802	+	0	NA	Intergenic	Intergenic	32687	ID=evm.model.Herato1301.112-E34;Parent=evm.model.Herato1301.112								
1706	Herato0901	8810142	8811126	+	0	NA	Intergenic	Intergenic	-2501	ID=evm.model.Herato0901.281-E1;Parent=evm.model.Herato0901.281								
1839	Herato1708	189289	189530	+	0	NA	Intergenic	Intergenic	5650	ID=evm.model.Herato1708.12.1-E31;Parent=evm.model.Herato1708.12.1								
1788	Herato1703	1828898	1829238	+	0	NA	Intergenic	Intergenic	-8003	ID=evm.model.Herato1703.31-E1;Parent=evm.model.Herato1703.31								
2186	Herato1805	7153280	7154047	+	0	NA	Intergenic	Intergenic	1608	ID=evm.model.Herato1805.205-E1;Parent=evm.model.Herato1805.205								
