PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thdown_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_shared_5thdown_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1318	Hmel213069	1213384	1213915	+	0	NA	Intergenic	Intergenic	3749	ID=HMEL016100g3.t1-E3;Parent=HMEL016100g3.t1								
648	Hmel210005	634811	637045	+	0	NA	Intergenic	Intergenic	-3890	ID=HMEL014094g1.t1-E1;Parent=HMEL014094g1.t1								
642	Hmel210005	543204	543657	+	0	NA	Intergenic	Intergenic	-1701	ID=HMEL014099g1.t1-E3;Parent=HMEL014099g1.t1								
2006	Hmel219003	3178293	3179867	+	0	NA	Intergenic	Intergenic	6219	ID=HMEL006178g2.t1-E1;Parent=HMEL006178g2.t1								
2245	Hmel220005	554368	554718	+	0	NA	Intergenic	Intergenic	-1365	ID=HMEL035053g1.t1-E3;Parent=HMEL035053g1.t1								
1764	Hmel218007	702759	703325	+	0	NA	Intergenic	Intergenic	6510	ID=HMEL002562g1.t1-E10;Parent=HMEL002562g1.t1								
2130	Hmel219014	107523	107953	+	0	NA	promoter-TSS (ID=HMEL012804g1.t1-E2;Parent=HMEL012804g1.t1)	-promoter-TSS (ID=HMEL012804g1.t1-E2;Parent=HMEL012804g1.t1)	-801	ID=HMEL012804g1.t1-E2;Parent=HMEL012804g1.t1								
1908	Hmel202006	2448729	2449122	+	0	NA	Intergenic	Intergenic	-1667	ID=HMEL008673g1.t1-E1;Parent=HMEL008673g1.t1								
1028	Hmel212006	426490	426798	+	0	NA	Intergenic	Intergenic	14782	ID=HMEL031536g1.t1-E2;Parent=HMEL031536g1.t1								
1589	Hmel217004	433919	434085	+	0	NA	Intergenic	Intergenic	16399	ID=HMEL033774g1.t1-E1;Parent=HMEL033774g1.t1								
198	Hmel207002	4137221	4137896	+	0	NA	promoter-TSS (ID=HMEL013747g1.t1-E5;Parent=HMEL013747g1.t1)	-promoter-TSS (ID=HMEL013747g1.t1-E5;Parent=HMEL013747g1.t1)	-234	ID=HMEL013747g1.t1-E5;Parent=HMEL013747g1.t1								
2550	Hmel204001	1209496	1209772	+	0	NA	Intergenic	Intergenic	11278	ID=HMEL009716g1.t1-E7;Parent=HMEL009716g1.t1								
1718	Hmel218003	724930	725730	+	0	NA	Intergenic	Intergenic	19726	ID=HMEL001028-RA-E1;Parent=HMEL001028-RA								
1098	Hmel212013	1488243	1488434	+	0	NA	Intergenic	Intergenic	8777	ID=HMEL031671g1.t1-E2;Parent=HMEL031671g1.t1								
1059	Hmel212011	1086112	1086481	+	0	NA	Intergenic	Intergenic	-2564	ID=HMEL012669g1.t2-E1;Parent=HMEL012669g1.t2								
2683	Hmel205020	802837	802964	+	0	NA	Intergenic	Intergenic	-8434	ID=HMEL036806g1.t1-E1;Parent=HMEL036806g1.t1								
913	Hmel211016	66400	67376	+	0	NA	Intergenic	Intergenic	-4407	ID=HMEL031257g1.t1-E4;Parent=HMEL031257g1.t1								
2019	Hmel219003	3682849	3683544	+	0	NA	TTS (ID=HMEL034635g1.t1-E1;Parent=HMEL034635g1.t1)	-TTS (ID=HMEL034635g1.t1-E1;Parent=HMEL034635g1.t1)	748	ID=HMEL034635g1.t1-E1;Parent=HMEL034635g1.t1								
2665	Hmel205017	650462	650912	+	0	NA	Intergenic	Intergenic	8425	ID=HMEL036755g1.t1-E1;Parent=HMEL036755g1.t1								
202	Hmel201009	2170413	2170784	+	0	NA	TTS (ID=HMEL013861g1.t1-E10;Parent=HMEL013861g1.t1)	-TTS (ID=HMEL013861g1.t1-E10;Parent=HMEL013861g1.t1)	486	ID=HMEL013861g1.t1-E10;Parent=HMEL013861g1.t1								
361	Hmel208017	483729	484000	+	0	NA	Intergenic	Intergenic	5767	ID=HMEL037901g1.t1-E2;Parent=HMEL037901g1.t1								
2468	Hmel203041	127811	128558	+	0	NA	Intergenic	Intergenic	-11578	ID=HMEL036050g1.t1-E1;Parent=HMEL036050g1.t1								
184	Hmel207002	2795663	2795798	+	0	NA	Intergenic	Intergenic	-1906	ID=HMEL007134g1.t1-E1;Parent=HMEL007134g1.t1								
776	Hmel201011	1627721	1627980	+	0	NA	Intergenic	Intergenic	-3472	ID=HMEL033052g1.t1-E1;Parent=HMEL033052g1.t1								
2183	Hmel220003	380793	381073	+	0	NA	Intergenic	Intergenic	-37188	ID=HMEL016468g1.t1-E1;Parent=HMEL016468g1.t1								
1819	Hmel218014	93570	93724	+	0	NA	Intergenic	Intergenic	15229	ID=HMEL034341g1.t1-E2;Parent=HMEL034341g1.t1								
1459	Hmel215045	13684	14286	+	0	NA	NA	NA	NA	NA								
1570	Hmel217001	350444	351129	+	0	NA	promoter-TSS (ID=HMEL016452g4.t1-E2;Parent=HMEL016452g4.t1)	-promoter-TSS (ID=HMEL016452g4.t1-E2;Parent=HMEL016452g4.t1)	-278	ID=HMEL016452g4.t1-E2;Parent=HMEL016452g4.t1								
2673	Hmel205020	239757	240169	+	0	NA	Intergenic	Intergenic	1901	ID=HMEL020436g1.t1-E4;Parent=HMEL020436g1.t1								
1984	Hmel218018	9284104	9284657	+	0	NA	Intergenic	Intergenic	-4720	ID=HMEL003746g1.t1-E1;Parent=HMEL003746g1.t1								
1269	Hmel213065	553965	554292	+	0	NA	Intergenic	Intergenic	-3719	ID=HMEL032151g1.t1-E9;Parent=HMEL032151g1.t1								
181	Hmel207002	2715319	2715687	+	0	NA	Intergenic	Intergenic	-5643	ID=HMEL007128g1.t1-E2;Parent=HMEL007128g1.t1								
412	Hmel208046	301047	301388	+	0	NA	Intergenic	Intergenic	-7226	ID=HMEL038104g1.t1-E1;Parent=HMEL038104g1.t1								
307	Hmel207021	978538	978764	+	0	NA	Intergenic	Intergenic	-11641	ID=HMEL037686g1.t1-E1;Parent=HMEL037686g1.t1								
1671	Hmel217014	369221	370853	+	0	NA	Intergenic	Intergenic	4109	ID=HMEL033904g1.t1-E1;Parent=HMEL033904g1.t1								
2041	Hmel219003	4692686	4693337	+	0	NA	Intergenic	Intergenic	-13546	ID=HMEL013138g1.t1-E1;Parent=HMEL013138g1.t1								
1467	Hmel215047	449956	450094	+	0	NA	Intergenic	Intergenic	-7415	ID=HMEL032868g1.t1-E1;Parent=HMEL032868g1.t1								
1463	Hmel215047	81196	81436	+	0	NA	Intergenic	Intergenic	-5183	ID=HMEL021229g1.t1-E1;Parent=HMEL021229g1.t1								
830	Hmel211004	3963555	3963749	+	0	NA	Intergenic	Intergenic	-4249	ID=HMEL015692-RA-E1;Parent=HMEL015692-RA								
154	Hmel207002	906015	906315	+	0	NA	Intergenic	Intergenic	1675	ID=HMEL037376g1.t1-E1;Parent=HMEL037376g1.t1								
2062	Hmel219003	6223220	6223408	+	0	NA	Intergenic	Intergenic	-2292	ID=HMEL034686g1.t1-E1;Parent=HMEL034686g1.t1								
1101	Hmel201019	896588	896761	+	0	NA	Intergenic	Intergenic	-1536	ID=HMEL013433g1.t1-E1;Parent=HMEL013433g1.t1								
704	Hmel201011	910960	911663	+	0	NA	TTS (ID=HMEL033029g1.t1-E3;Parent=HMEL033029g1.t1)	-TTS (ID=HMEL033029g1.t1-E3;Parent=HMEL033029g1.t1)	1171	ID=HMEL033029g1.t1-E3;Parent=HMEL033029g1.t1								
326	Hmel207021	2178941	2180000	+	0	NA	Intergenic	Intergenic	-18421	ID=HMEL013372g1.t1-E1;Parent=HMEL013372g1.t1								
1462	Hmel215045	44704	46170	+	0	NA	NA	NA	NA	NA								
1165	Hmel213013	294468	294978	+	0	NA	TTS (ID=HMEL015364g1.t1-E6;Parent=HMEL015364g1.t1)	-TTS (ID=HMEL015364g1.t1-E6;Parent=HMEL015364g1.t1)	340	ID=HMEL015364g1.t1-E6;Parent=HMEL015364g1.t1								
2543	Hmel204001	1033597	1034557	+	0	NA	Intergenic	Intergenic	-12714	ID=HMEL036324g1.t1-E1;Parent=HMEL036324g1.t1								
681	Hmel210011	290913	291292	+	0	NA	Intergenic	Intergenic	-1547	ID=HMEL013321g1.t1-E1;Parent=HMEL013321g1.t1								
335	Hmel207023	283305	284319	+	0	NA	Intergenic	Intergenic	-5649	ID=HMEL037738g1.t2-E1;Parent=HMEL037738g1.t2								
1029	Hmel212006	453284	453462	+	0	NA	Intergenic	Intergenic	9710	ID=HMEL031537g1.t1-E5;Parent=HMEL031537g1.t1								
5	Hmel205024	228513	229016	+	0	NA	Intergenic	Intergenic	-12833	ID=HMEL036851g1.t1-E1;Parent=HMEL036851g1.t1								
2694	Hmel205022	273731	274604	+	0	NA	Intergenic	Intergenic	-9445	ID=HMEL021529g1.t2-E2;Parent=HMEL021529g1.t2								
2105	Hmel219009	171494	172147	+	0	NA	Intergenic	Intergenic	2978	ID=HMEL008269g1.t1-E9;Parent=HMEL008269g1.t1								
1957	Hmel218018	8442788	8443263	+	0	NA	Intergenic	Intergenic	9986	ID=HMEL009227g1.t1-E2;Parent=HMEL009227g1.t1								
554	Hmel209007	5293343	5294462	+	0	NA	Intergenic	Intergenic	-4980	ID=HMEL030516g1.t1-E1;Parent=HMEL030516g1.t1								
2657	Hmel205017	17747	17963	+	0	NA	Intergenic	Intergenic	-6778	ID=HMEL036714g1.t1-E1;Parent=HMEL036714g1.t1								
552	Hmel201009	5410118	5410280	+	0	NA	Intergenic	Intergenic	-5123	ID=HMEL030279g1.t1-E6;Parent=HMEL030279g1.t1								
1867	Hmel218018	2650043	2650624	+	0	NA	Intergenic	Intergenic	-9184	ID=HMEL004132g1.t1-E1;Parent=HMEL004132g1.t1								
1623	Hmel217004	1915832	1916389	+	0	NA	Intergenic	Intergenic	-1814	ID=HMEL033808g1.t1-E1;Parent=HMEL033808g1.t1								
2505	Hmel203067	578651	578993	+	0	NA	Intergenic	Intergenic	-12776	ID=HMEL036143g1.t1-E1;Parent=HMEL036143g1.t1								
74	Hmel206009	2540861	2541135	+	0	NA	Intergenic	Intergenic	17168	ID=HMEL005355g1.t1-E5;Parent=HMEL005355g1.t1								
890	Hmel211012	988501	988934	+	0	NA	Intergenic	Intergenic	-7304	ID=HMEL015096g1.t1-E2;Parent=HMEL015096g1.t1								
440	Hmel208051	1653797	1654160	+	0	NA	TTS (ID=HMEL038182g1.t1-E2;Parent=HMEL038182g1.t1)	-TTS (ID=HMEL038182g1.t1-E2;Parent=HMEL038182g1.t1)	1171	ID=HMEL038182g1.t1-E2;Parent=HMEL038182g1.t1								
1926	Hmel218018	7372353	7374566	+	0	NA	Intergenic	Intergenic	-14800	ID=HMEL034478g1.t1-E1;Parent=HMEL034478g1.t1								
1289	Hmel213067	636930	638253	+	0	NA	Intergenic	Intergenic	68831	ID=HMEL032193g1.t1-E1;Parent=HMEL032193g1.t1								
299	Hmel207021	360784	361680	+	0	NA	Intergenic	Intergenic	-1927	ID=HMEL037660g1.t1-E2;Parent=HMEL037660g1.t1								
2024	Hmel219003	4472802	4473326	+	0	NA	Intergenic	Intergenic	4258	ID=HMEL013143g1.t1-E7;Parent=HMEL013143g1.t1								
2525	Hmel203069	667974	668643	+	0	NA	TTS (ID=HMEL036199g1.t1-E2;Parent=HMEL036199g1.t1)	-TTS (ID=HMEL036199g1.t1-E2;Parent=HMEL036199g1.t1)	985	ID=HMEL036199g1.t1-E2;Parent=HMEL036199g1.t1								
1282	Hmel213067	253357	254681	+	0	NA	exon (ID=HMEL003056g2.t1-E1;Parent=HMEL003056g2.t1, exon 1 of 1)	-exon (ID=HMEL003056g2.t1-E1;Parent=HMEL003056g2.t1, exon 1 of 1)	249	ID=HMEL003056g2.t1-E1;Parent=HMEL003056g2.t1								
1694	Hmel217018	568165	569466	+	0	NA	promoter-TSS (ID=HMEL033968g1.t1-E2;Parent=HMEL033968g1.t1)	-promoter-TSS (ID=HMEL033968g1.t1-E2;Parent=HMEL033968g1.t1)	-352	ID=HMEL033968g1.t1-E2;Parent=HMEL033968g1.t1								
841	Hmel201011	2231052	2231494	+	0	NA	Intergenic	Intergenic	-2027	ID=HMEL011434-RA-E4;Parent=HMEL011434-RA								
1898	Hmel218018	6297354	6297551	+	0	NA	Intergenic	Intergenic	-19315	ID=HMEL034459g1.t1-E1;Parent=HMEL034459g1.t1								
1044	Hmel212009	1189097	1189409	+	0	NA	promoter-TSS (ID=HMEL011940g1.t1-E8;Parent=HMEL011940g1.t1)	-promoter-TSS (ID=HMEL011940g1.t1-E8;Parent=HMEL011940g1.t1)	-61	ID=HMEL011940g1.t1-E8;Parent=HMEL011940g1.t1								
1350	Hmel214008	904480	905226	+	0	NA	Intergenic	Intergenic	-13200	ID=HMEL032330g1.t1-E1;Parent=HMEL032330g1.t1								
1751	Hmel218005	418834	419242	+	0	NA	Intergenic	Intergenic	7852	ID=HMEL014928g1.t2-E14;Parent=HMEL014928g1.t2								
91	Hmel206009	3239484	3239972	+	0	NA	Intergenic	Intergenic	33104	ID=HMEL037053g1.t1-E1;Parent=HMEL037053g1.t1								
2137	Hmel219014	486763	487591	+	0	NA	TTS (ID=HMEL012859g3.t1-E1;Parent=HMEL012859g3.t1)	-TTS (ID=HMEL012859g3.t1-E1;Parent=HMEL012859g3.t1)	1336	ID=HMEL012859g3.t1-E1;Parent=HMEL012859g3.t1								
1240	Hmel213051	47936	48710	+	0	NA	TTS (ID=HMEL009931g1.t1-E1;Parent=HMEL009931g1.t1)	-TTS (ID=HMEL009931g1.t1-E1;Parent=HMEL009931g1.t1)	259	ID=HMEL009931g1.t1-E1;Parent=HMEL009931g1.t1								
467	Hmel209001	1264975	1265835	+	0	NA	Intergenic	Intergenic	38305	ID=HMEL007611-RA-E4;Parent=HMEL007611-RA								
2121	Hmel219012	326247	326683	+	0	NA	Intergenic	Intergenic	-32569	ID=HMEL034766g1.t1-E1;Parent=HMEL034766g1.t1								
474	Hmel209001	1528452	1528707	+	0	NA	Intergenic	Intergenic	37419	ID=HMEL004103g1.t1-E1;Parent=HMEL004103g1.t1								
481	Hmel209005	842326	842690	+	0	NA	Intergenic	Intergenic	-1865	ID=HMEL030334g1.t1-E1;Parent=HMEL030334g1.t1								
867	Hmel211011	200264	200632	+	0	NA	Intergenic	Intergenic	-2411	ID=HMEL013584g2.t1-E2;Parent=HMEL013584g2.t1								
1976	Hmel218018	9193512	9194043	+	0	NA	Intergenic	Intergenic	-8943	ID=HMEL003749g1.t1-E1;Parent=HMEL003749g1.t1								
817	Hmel211004	2401671	2402170	+	0	NA	Intergenic	Intergenic	7900	ID=HMEL011725g1.t1-E1;Parent=HMEL011725g1.t1								
563	Hmel210001	1496460	1496873	+	0	NA	Intergenic	Intergenic	-11415	ID=HMEL030603g1.t1-E1;Parent=HMEL030603g1.t1								
229	Hmel207002	6259021	6260138	+	0	NA	Intergenic	Intergenic	-42032	ID=HMEL037495g1.t1-E1;Parent=HMEL037495g1.t1								
673	Hmel210009	417957	418269	+	0	NA	Intergenic	Intergenic	-2771	ID=HMEL005949g1.t1-E1;Parent=HMEL005949g1.t1								
68	Hmel206009	2338814	2339221	+	0	NA	Intergenic	Intergenic	18386	ID=HMEL005364g1.t1-E6;Parent=HMEL005364g1.t1								
2059	Hmel219003	6186274	6186558	+	0	NA	Intergenic	Intergenic	1529	ID=HMEL034683g1.t1-E1;Parent=HMEL034683g1.t1								
315	Hmel207021	1870734	1871363	+	0	NA	Intergenic	Intergenic	16900	ID=HMEL037709g1.t1-E2;Parent=HMEL037709g1.t1								
2514	Hmel203067	764229	764486	+	0	NA	Intergenic	Intergenic	-15025	ID=HMEL025055-RA-E1;Parent=HMEL025055-RA								
1827	Hmel218018	191235	192475	+	0	NA	TTS (ID=HMEL034351g1.t1-E1;Parent=HMEL034351g1.t1)	-TTS (ID=HMEL034351g1.t1-E1;Parent=HMEL034351g1.t1)	457	ID=HMEL034351g1.t1-E1;Parent=HMEL034351g1.t1								
2501	Hmel203067	466884	467044	+	0	NA	promoter-TSS (ID=HMEL036140g1.t1-E1;Parent=HMEL036140g1.t1)	-promoter-TSS (ID=HMEL036140g1.t1-E1;Parent=HMEL036140g1.t1)	-556	ID=HMEL036140g1.t1-E1;Parent=HMEL036140g1.t1								
2366	Hmel220012	461163	462028	+	0	NA	Intergenic	Intergenic	-5234	ID=HMEL035299g1.t1-E1;Parent=HMEL035299g1.t1								
1947	Hmel218018	8124943	8125148	+	0	NA	Intergenic	Intergenic	-31233	ID=HMEL016601g1.t1-E1;Parent=HMEL016601g1.t1								
1347	Hmel214008	677869	678614	+	0	NA	Intergenic	Intergenic	8245	ID=HMEL032319g1.t1-E4;Parent=HMEL032319g1.t1								
222	Hmel207002	6064755	6064952	+	0	NA	Intergenic	Intergenic	-14222	ID=HMEL017796g2.t1-E1;Parent=HMEL017796g2.t1								
1504	Hmel202006	733731	734261	+	0	NA	promoter-TSS (ID=HMEL010190g1.t1-E4;Parent=HMEL010190g1.t1)	-promoter-TSS (ID=HMEL010190g1.t1-E4;Parent=HMEL010190g1.t1)	10	ID=HMEL010190g1.t1-E4;Parent=HMEL010190g1.t1								
25	Hmel206006	855749	855996	+	0	NA	Intergenic	Intergenic	-3245	ID=HMEL036943g1.t1-E1;Parent=HMEL036943g1.t1								
2270	Hmel220005	1856928	1857289	+	0	NA	Intergenic	Intergenic	1537	ID=HMEL035110g1.t2-E2;Parent=HMEL035110g1.t2								
2418	Hmel221012	1514679	1514879	+	0	NA	Intergenic	Intergenic	3723	ID=HMEL006388g1.t1-E1;Parent=HMEL006388g1.t1								
305	Hmel207021	780773	780960	+	0	NA	TTS (ID=HMEL016330g1.t1-E1;Parent=HMEL016330g1.t1)	-TTS (ID=HMEL016330g1.t1-E1;Parent=HMEL016330g1.t1)	2995	ID=HMEL016330g1.t1-E1;Parent=HMEL016330g1.t1								
1253	Hmel213062	569229	570298	+	0	NA	Intergenic	Intergenic	2808	ID=HMEL032113g1.t1-E1;Parent=HMEL032113g1.t1								
928	Hmel212001	1725076	1725464	+	0	NA	Intergenic	Intergenic	9968	ID=HMEL005670g1.t1-E2;Parent=HMEL005670g1.t1								
1644	Hmel217004	3094761	3095201	+	0	NA	Intergenic	Intergenic	9259	ID=HMEL005246g1.t1-E5;Parent=HMEL005246g1.t1								
1526	Hmel216011	1664895	1665059	+	0	NA	Intergenic	Intergenic	-5408	ID=HMEL033563g1.t1-E1;Parent=HMEL033563g1.t1								
217	Hmel207002	5859587	5859754	+	0	NA	Intergenic	Intergenic	-13696	ID=HMEL037488g1.t1-E1;Parent=HMEL037488g1.t1								
2648	Hmel201007	1559093	1559529	+	0	NA	Intergenic	Intergenic	-4417	ID=HMEL010942g1.t1-E5;Parent=HMEL010942g1.t1								
1730	Hmel218003	1690592	1690970	+	0	NA	Intergenic	Intergenic	15859	ID=HMEL034229g1.t1-E3;Parent=HMEL034229g1.t1								
158	Hmel207002	1572167	1572438	+	0	NA	Intergenic	Intergenic	-2093	ID=HMEL011239g1.t1-E4;Parent=HMEL011239g1.t1								
281	Hmel207011	228395	229453	+	0	NA	Intergenic	Intergenic	1711	ID=HMEL007904g1.t1-E2;Parent=HMEL007904g1.t1								
46	Hmel206009	772306	773121	+	0	NA	Intergenic	Intergenic	-27074	ID=HMEL017101g1.t1-E1;Parent=HMEL017101g1.t1								
1851	Hmel218018	1284165	1284794	+	0	NA	Intergenic	Intergenic	-6181	ID=HMEL034364g1.t1-E1;Parent=HMEL034364g1.t1								
1316	Hmel213069	1043386	1043567	+	0	NA	TTS (ID=HMEL003131g1.t1-E1;Parent=HMEL003131g1.t1)	-TTS (ID=HMEL003131g1.t1-E1;Parent=HMEL003131g1.t1)	734	ID=HMEL003131g1.t1-E1;Parent=HMEL003131g1.t1								
2630	Hmel201007	1482781	1483399	+	0	NA	Intergenic	Intergenic	24085	ID=HMEL022587g1.t1-E19;Parent=HMEL022587g1.t1								
2373	Hmel220014	37983	38592	+	0	NA	Intergenic	Intergenic	5290	ID=HMEL003491g1.t1-E2;Parent=HMEL003491g1.t1								
1418	Hmel215006	1177786	1178050	+	0	NA	Intergenic	Intergenic	13715	ID=HMEL032679g1.t1-E2;Parent=HMEL032679g1.t1								
36	Hmel201009	373128	374481	+	0	NA	Intergenic	Intergenic	4973	ID=HMEL030124g1.t1-E3;Parent=HMEL030124g1.t1								
2263	Hmel220005	1768668	1769264	+	0	NA	Intergenic	Intergenic	2004	ID=HMEL035106g1.t1-E2;Parent=HMEL035106g1.t1								
1368	Hmel214019	594920	595156	+	0	NA	TTS (ID=HMEL014216g1.t1-E1;Parent=HMEL014216g1.t1)	-TTS (ID=HMEL014216g1.t1-E1;Parent=HMEL014216g1.t1)	1921	ID=HMEL014216g1.t1-E1;Parent=HMEL014216g1.t1								
748	Hmel210011	4125913	4126159	+	0	NA	Intergenic	Intergenic	19562	ID=HMEL030911g1.t1-E1;Parent=HMEL030911g1.t1								
472	Hmel209001	1453988	1454387	+	0	NA	Intergenic	Intergenic	8629	ID=HMEL004102g1.t1-E1;Parent=HMEL004102g1.t1								
1655	Hmel217004	3635731	3636046	+	0	NA	Intergenic	Intergenic	5803	ID=HMEL033849g1.t1-E1;Parent=HMEL033849g1.t1								
1943	Hmel218018	7789426	7789659	+	0	NA	Intergenic	Intergenic	4001	ID=HMEL016588g4.t1-E1;Parent=HMEL016588g4.t1								
317	Hmel207021	1959088	1959983	+	0	NA	Intergenic	Intergenic	17819	ID=HMEL009406g1.t1-E3;Parent=HMEL009406g1.t1								
711	Hmel210011	2663927	2664768	+	0	NA	Intergenic	Intergenic	-3420	ID=HMEL015940g1.t1-E4;Parent=HMEL015940g1.t1								
132	Hmel206019	1499164	1500170	+	0	NA	Intergenic	Intergenic	-4081	ID=HMEL037238g1.t1-E1;Parent=HMEL037238g1.t1								
1791	Hmel218007	1389378	1389763	+	0	NA	TTS (ID=HMEL015330g1.t1-E4;Parent=HMEL015330g1.t1)	-TTS (ID=HMEL015330g1.t1-E4;Parent=HMEL015330g1.t1)	787	ID=HMEL015330g1.t1-E4;Parent=HMEL015330g1.t1								
1254	Hmel213062	656882	657216	+	0	NA	Intergenic	Intergenic	-26145	ID=HMEL032117g1.t1-E1;Parent=HMEL032117g1.t1								
1642	Hmel217004	3080228	3080485	+	0	NA	promoter-TSS (ID=HMEL005246g1.t1-E2;Parent=HMEL005246g1.t1)	-promoter-TSS (ID=HMEL005246g1.t1-E2;Parent=HMEL005246g1.t1)	-539	ID=HMEL005246g1.t1-E2;Parent=HMEL005246g1.t1								
892	Hmel211012	992244	993019	+	0	NA	Intergenic	Intergenic	-3390	ID=HMEL015096g1.t1-E2;Parent=HMEL015096g1.t1								
2180	Hmel220003	265282	266046	+	0	NA	Intergenic	Intergenic	5595	ID=HMEL034980g1.t1-E2;Parent=HMEL034980g1.t1								
2071	Hmel219003	6376977	6377281	+	0	NA	Intergenic	Intergenic	-1974	ID=HMEL002697g1.t1-E4;Parent=HMEL002697g1.t1								
1428	Hmel215006	1344264	1344953	+	0	NA	Intergenic	Intergenic	19258	ID=HMEL000026-RA-E14;Parent=HMEL000026-RA								
546	Hmel201009	5390072	5390321	+	0	NA	promoter-TSS (ID=HMEL030279g1.t1-E14;Parent=HMEL030279g1.t1)	-promoter-TSS (ID=HMEL030279g1.t1-E14;Parent=HMEL030279g1.t1)	-416	ID=HMEL030279g1.t1-E14;Parent=HMEL030279g1.t1								
537	Hmel209007	3531796	3532199	+	0	NA	Intergenic	Intergenic	4199	ID=HMEL030453g1.t1-E35;Parent=HMEL030453g1.t1								
1018	Hmel212006	130873	132297	+	0	NA	Intergenic	Intergenic	-11053	ID=HMEL031530g1.t1-E1;Parent=HMEL031530g1.t1								
1125	Hmel213004	47311	47852	+	0	NA	Intergenic	Intergenic	2975	ID=HMEL006999g1.t1-E2;Parent=HMEL006999g1.t1								
2279	Hmel220005	2299213	2300083	+	0	NA	promoter-TSS (ID=HMEL035136g1.t1-E2;Parent=HMEL035136g1.t1)	-promoter-TSS (ID=HMEL035136g1.t1-E2;Parent=HMEL035136g1.t1)	-944	ID=HMEL035136g1.t1-E2;Parent=HMEL035136g1.t1								
1007	Hmel212004	608005	608150	+	0	NA	Intergenic	Intergenic	24650	ID=HMEL031511g1.t1-E3;Parent=HMEL031511g1.t1								
1443	Hmel215017	11457	11788	+	0	NA	Intergenic	Intergenic	-11371	ID=HMEL032714g1.t1-E1;Parent=HMEL032714g1.t1								
741	Hmel210011	3947724	3948124	+	0	NA	Intergenic	Intergenic	10334	ID=HMEL030906g1.t1-E2;Parent=HMEL030906g1.t1								
1833	Hmel218018	480465	481112	+	0	NA	Intergenic	Intergenic	6353	ID=HMEL017487-RA-E1;Parent=HMEL017487-RA								
1186	Hmel213025	137249	137731	+	0	NA	Intergenic	Intergenic	-2399	ID=HMEL031927g1.t1-E1;Parent=HMEL031927g1.t1								
998	Hmel212004	419713	419889	+	0	NA	Intergenic	Intergenic	3781	ID=HMEL031508g1.t1-E2;Parent=HMEL031508g1.t1								
1789	Hmel218007	1377166	1377756	+	0	NA	Intergenic	Intergenic	-4188	ID=HMEL034316g1.t1-E1;Parent=HMEL034316g1.t1								
2240	Hmel220005	210856	211206	+	0	NA	promoter-TSS (ID=HMEL007733g3.t1-E2;Parent=HMEL007733g3.t1)	-promoter-TSS (ID=HMEL007733g3.t1-E2;Parent=HMEL007733g3.t1)	-135	ID=HMEL007733g3.t1-E2;Parent=HMEL007733g3.t1								
2076	Hmel219003	6962699	6963165	+	0	NA	Intergenic	Intergenic	-4471	ID=HMEL005995g1.t1-E1;Parent=HMEL005995g1.t1								
529	Hmel201009	5172719	5172995	+	0	NA	Intergenic	Intergenic	-7845	ID=HMEL030269g1.t1-E1;Parent=HMEL030269g1.t1								
1545	Hmel216012	138560	138728	+	0	NA	Intergenic	Intergenic	3912	ID=HMEL011490g1.t1-E1;Parent=HMEL011490g1.t1								
1838	Hmel218018	724653	725018	+	0	NA	Intergenic	Intergenic	14102	ID=HMEL016237g1.t1-E5;Parent=HMEL016237g1.t1								
1773	Hmel218007	883536	884011	+	0	NA	TTS (ID=HMEL034302g1.t1-E17;Parent=HMEL034302g1.t1)	-TTS (ID=HMEL034302g1.t1-E17;Parent=HMEL034302g1.t1)	788	ID=HMEL034302g1.t1-E17;Parent=HMEL034302g1.t1								
1058	Hmel201019	682536	683850	+	0	NA	promoter-TSS (ID=HMEL004713g1.t1-E1;Parent=HMEL004713g1.t1)	-promoter-TSS (ID=HMEL004713g1.t1-E1;Parent=HMEL004713g1.t1)	-591	ID=HMEL004713g1.t1-E1;Parent=HMEL004713g1.t1								
2573	Hmel201007	507778	508082	+	0	NA	Intergenic	Intergenic	-32419	ID=HMEL014541g1.t1-E1;Parent=HMEL014541g1.t1								
987	Hmel201013	19004	19514	+	0	NA	NA	NA	NA	NA								
1150	Hmel201019	1402778	1403601	+	0	NA	TTS (ID=HMEL014744g1.t1-E1;Parent=HMEL014744g1.t1)	-TTS (ID=HMEL014744g1.t1-E1;Parent=HMEL014744g1.t1)	883	ID=HMEL014744g1.t1-E1;Parent=HMEL014744g1.t1								
1535	Hmel216011	2077390	2077537	+	0	NA	Intergenic	Intergenic	-2850	ID=HMEL033576g1.t1-E1;Parent=HMEL033576g1.t1								
2390	Hmel220021	94564	95007	+	0	NA	Intergenic	Intergenic	2512	ID=HMEL035396g1.t1-E2;Parent=HMEL035396g1.t1								
1335	Hmel202004	311367	312679	+	0	NA	Intergenic	Intergenic	4518	ID=HMEL033194g1.t1-E2;Parent=HMEL033194g1.t1								
