PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_eratoUnique_5thdown.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_5th_p05FC1_eratoUnique_5thdown_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
952	Herato0701	3320800	3321369	+	0	NA	Intergenic	Intergenic	-28088	ID=evm.model.Herato0701.169-E1;Parent=evm.model.Herato0701.169								
2691	Herato1708	1294111	1294493	+	0	NA	Intergenic	Intergenic	5826	ID=evm.model.Herato1708.70-E1;Parent=evm.model.Herato1708.70								
6758	Herato0501	284939	285485	+	0	NA	Intergenic	Intergenic	-31138	ID=evm.model.Herato0501.14-E1;Parent=evm.model.Herato0501.14								
4804	Herato1202	12030585	12030958	+	0	NA	Intergenic	Intergenic	-2190	ID=evm.model.Herato1202.466-E1;Parent=evm.model.Herato1202.466								
4498	Herato1202	4240715	4241226	+	0	NA	Intergenic	Intergenic	5145	ID=evm.model.Herato1202.150.1-E7;Parent=evm.model.Herato1202.150.1								
1071	Herato0701	6080321	6080824	+	0	NA	Intergenic	Intergenic	41358	ID=evm.model.Herato0701.278-E10;Parent=evm.model.Herato0701.278								
3058	Herato0301	4069952	4071220	+	0	NA	Intergenic	Intergenic	10970	ID=evm.model.Herato0301.103-E2;Parent=evm.model.Herato0301.103								
4331	Herato1202	683140	683337	+	0	NA	Intergenic	Intergenic	-3526	ID=evm.model.Herato1202.32-E8;Parent=evm.model.Herato1202.32								
4158	Herato1904	7552964	7553145	+	0	NA	Intergenic	Intergenic	4324	ID=evm.model.Herato1904.264.1-E1;Parent=evm.model.Herato1904.264.1								
5388	Herato1408	5975092	5975449	+	0	NA	Intergenic	Intergenic	-5689	ID=evm.model.Herato1408.237-E3;Parent=evm.model.Herato1408.237								
6602	Herato2001	4984521	4985043	+	0	NA	Intergenic	Intergenic	-29369	ID=evm.model.Herato2001.170-E1;Parent=evm.model.Herato2001.170								
5817	Herato1805	2376802	2377349	+	0	NA	Intergenic	Intergenic	-66999	ID=evm.model.Herato1805.85-E1;Parent=evm.model.Herato1805.85								
6393	Herato1603	3128743	3129026	+	0	NA	Intergenic	Intergenic	-73130	ID=evm.model.Herato1603.86-E1;Parent=evm.model.Herato1603.86								
5949	Herato1805	4929521	4929974	+	0	NA	Intergenic	Intergenic	-60901	ID=evm.model.Herato1805.128-E1;Parent=evm.model.Herato1805.128								
179	Herato0101	8537431	8537683	+	0	NA	TTS (ID=evm.model.Herato0101.255-E1;Parent=evm.model.Herato0101.255)	-TTS (ID=evm.model.Herato0101.255-E1;Parent=evm.model.Herato0101.255)	891	ID=evm.model.Herato0101.255-E1;Parent=evm.model.Herato0101.255								
8226	Herato2101	4993840	4993984	+	0	NA	promoter-TSS (ID=evm.model.Herato2101.166-E4;Parent=evm.model.Herato2101.166)	-promoter-TSS (ID=evm.model.Herato2101.166-E4;Parent=evm.model.Herato2101.166)	-486	ID=evm.model.Herato2101.166-E4;Parent=evm.model.Herato2101.166								
8729	Herato0310	5251684	5252038	+	0	NA	Intergenic	Intergenic	44605	ID=evm.model.Herato0310.123-E3;Parent=evm.model.Herato0310.123								
6760	Herato2001	8617311	8618027	+	0	NA	Intergenic	Intergenic	-24963	ID=evm.model.Herato2001.365-E1;Parent=evm.model.Herato2001.365								
3705	Herato1605	676854	677552	+	0	NA	Intergenic	Intergenic	6142	ID=evm.model.Herato1605.30-E7;Parent=evm.model.Herato1605.30								
3948	Herato1108	6239078	6239342	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.265-E11;Parent=evm.model.Herato1108.265)	-promoter-TSS (ID=evm.model.Herato1108.265-E11;Parent=evm.model.Herato1108.265)	-805	ID=evm.model.Herato1108.265-E11;Parent=evm.model.Herato1108.265								
2499	Herato0101	1412262	1412819	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.33-E2;Parent=evm.model.Herato0101.33)	-promoter-TSS (ID=evm.model.Herato0101.33-E2;Parent=evm.model.Herato0101.33)	-932	ID=evm.model.Herato0101.33-E2;Parent=evm.model.Herato0101.33								
7701	Herato2001	16866466	16866717	+	0	NA	Intergenic	Intergenic	-1333	ID=evm.model.Herato2001.652-E2;Parent=evm.model.Herato2001.652								
4016	Herato1108	8052452	8052834	+	0	NA	Intergenic	Intergenic	-2058	ID=evm.model.Herato1108.356-E8;Parent=evm.model.Herato1108.356								
3882	Herato1108	4652395	4652658	+	0	NA	Intergenic	Intergenic	13167	ID=evm.model.Herato1108.179-E3;Parent=evm.model.Herato1108.179								
1830	Herato0801	4182075	4183079	+	0	NA	Intergenic	Intergenic	2246	ID=evm.model.Herato0801.88-E3;Parent=evm.model.Herato0801.88								
3917	Herato1108	5364079	5365636	+	0	NA	Intergenic	Intergenic	-2080	ID=evm.model.Herato1108.236-E1;Parent=evm.model.Herato1108.236								
3060	Herato1805	2966450	2966752	+	0	NA	Intergenic	Intergenic	4546	ID=evm.model.Herato1805.88-E39;Parent=evm.model.Herato1805.88								
3167	Herato1805	4083171	4083923	+	0	NA	Intergenic	Intergenic	10570	ID=evm.model.Herato1805.106-E1;Parent=evm.model.Herato1805.106								
7411	Herato0211	20953	21204	+	0	NA	Intergenic	Intergenic	51354	ID=evm.model.Herato0211.1-E7;Parent=evm.model.Herato0211.1								
6433	Herato0206	53808	54034	+	0	NA	Intergenic	Intergenic	-3400	ID=evm.model.Herato0206.2.1-E2;Parent=evm.model.Herato0206.2.1								
5695	Herato1301	14239734	14240126	+	0	NA	Intergenic	Intergenic	-41125	ID=evm.model.Herato1301.536-E1;Parent=evm.model.Herato1301.536								
4203	Herato1108	11878885	11879069	+	0	NA	TTS (ID=evm.model.Herato1108.507-E1;Parent=evm.model.Herato1108.507)	-TTS (ID=evm.model.Herato1108.507-E1;Parent=evm.model.Herato1108.507)	1357	ID=evm.model.Herato1108.507-E1;Parent=evm.model.Herato1108.507								
7163	Herato1801	3809059	3809780	+	0	NA	Intergenic	Intergenic	6508	ID=evm.model.Herato1801.132-E6;Parent=evm.model.Herato1801.132								
7453	Herato2001	2539383	2539577	+	0	NA	TTS (ID=evm.model.Herato2001.72_evm.model.Herato2001.73-E2;Parent=evm.model.Herato2001.72_evm.model.Herato2001.73)	-TTS (ID=evm.model.Herato2001.72_evm.model.Herato2001.73-E2;Parent=evm.model.Herato2001.72_evm.model.Herato2001.73)	366	ID=evm.model.Herato2001.72_evm.model.Herato2001.73-E3;Parent=evm.model.Herato2001.72_evm.model.Herato2001.73								
258	Herato0606	1467564	1468155	+	0	NA	Intergenic	Intergenic	64794	ID=evm.model.Herato0606.50-E12;Parent=evm.model.Herato0606.50								
2620	Herato0904	314193	315590	+	0	NA	Intergenic	Intergenic	6817	ID=evm.model.Herato0904.24-E5;Parent=evm.model.Herato0904.24								
8137	Herato1801	4819333	4819919	+	0	NA	TTS (ID=evm.model.Herato1801.165-E12;Parent=evm.model.Herato1801.165)	-TTS (ID=evm.model.Herato1801.165-E12;Parent=evm.model.Herato1801.165)	793	ID=evm.model.Herato1801.165.1-E12;Parent=evm.model.Herato1801.165.1								
4022	Herato1108	8153697	8154254	+	0	NA	Intergenic	Intergenic	-1302	ID=evm.model.Herato1108.359.5-E2;Parent=evm.model.Herato1108.359.5								
2138	Herato0901	955738	956482	+	0	NA	Intergenic	Intergenic	11011	ID=evm.model.Herato0901.36-E1;Parent=evm.model.Herato0901.36								
6479	Herato2001	1768832	1769079	+	0	NA	TTS (ID=evm.model.Herato2001.35-E1;Parent=evm.model.Herato2001.35)	-TTS (ID=evm.model.Herato2001.35-E1;Parent=evm.model.Herato2001.35)	1256	ID=evm.model.Herato2001.35-E1;Parent=evm.model.Herato2001.35								
7376	Herato2001	1358592	1359048	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.22.1-E1;Parent=evm.model.Herato2001.22.1)	-promoter-TSS (ID=evm.model.Herato2001.22.1-E1;Parent=evm.model.Herato2001.22.1)	-819	ID=evm.model.Herato2001.22.1-E1;Parent=evm.model.Herato2001.22.1								
141	Herato0601	1585249	1586078	+	0	NA	Intergenic	Intergenic	5175	ID=evm.model.Herato0601.20-E3;Parent=evm.model.Herato0601.20								
3043	Herato1805	2694500	2694661	+	0	NA	Intergenic	Intergenic	46319	ID=novel_model_238_novel_model_241-E2;Parent=novel_model_238_novel_model_241								
4228	Herato1108	12277275	12277543	+	0	NA	Intergenic	Intergenic	-14790	ID=evm.model.Herato1108.518-E1;Parent=evm.model.Herato1108.518								
1230	Herato0101	11040889	11041040	+	0	NA	Intergenic	Intergenic	-1389	ID=evm.model.Herato0101.316-E1;Parent=evm.model.Herato0101.316								
2793	Herato1301	10633872	10634369	+	0	NA	Intergenic	Intergenic	48517	ID=evm.model.Herato1301.426-E1;Parent=evm.model.Herato1301.426								
6155	Herato0503	7558490	7559025	+	0	NA	Intergenic	Intergenic	5339	ID=evm.model.Herato0503.279-E3;Parent=evm.model.Herato0503.279								
6387	Herato1411	1805893	1806232	+	0	NA	Intergenic	Intergenic	-22033	ID=evm.model.Herato1411.53_evm.model.Herato1411.55_evm.model.Herato1411.55.1-E3;Parent=evm.model.Herato1411.53_evm.model.Herato1411.55_evm.model.Herato1411.55.1								
5865	Herato1904	4787894	4788512	+	0	NA	Intergenic	Intergenic	-37393	ID=evm.model.Herato1904.162-E1;Parent=evm.model.Herato1904.162								
7446	Herato2101	9148731	9149338	+	0	NA	Intergenic	Intergenic	26717	ID=evm.model.Herato2101.311.1-E10;Parent=evm.model.Herato2101.311.1								
3590	Herato1411	620694	621423	+	0	NA	Intergenic	Intergenic	-7076	ID=evm.model.Herato1411.17-E4;Parent=evm.model.Herato1411.17								
1060	Herato0701	5771690	5771951	+	0	NA	Intergenic	Intergenic	-6440	ID=evm.model.Herato0701.268.1-E2;Parent=evm.model.Herato0701.268.1								
3759	Herato0411	3840108	3841147	+	0	NA	promoter-TSS (ID=evm.model.Herato0411.87-E6;Parent=evm.model.Herato0411.87)	-promoter-TSS (ID=evm.model.Herato0411.87-E6;Parent=evm.model.Herato0411.87)	-873	ID=evm.model.Herato0411.87-E6;Parent=evm.model.Herato0411.87								
2104	Herato0901	69596	69776	+	0	NA	Intergenic	Intergenic	-2012	ID=evm.model.Herato0901.4-E1;Parent=evm.model.Herato0901.4								
6171	Herato1408	1843651	1843859	+	0	NA	Intergenic	Intergenic	-14639	ID=evm.model.Herato1408.58-E1;Parent=evm.model.Herato1408.58								
2894	Herato1003	1341103	1342002	+	0	NA	Intergenic	Intergenic	10995	ID=evm.model.Herato1003.46-E7;Parent=evm.model.Herato1003.46								
2126	Herato0901	538682	539568	+	0	NA	promoter-TSS (ID=evm.model.Herato0901.25-E3;Parent=evm.model.Herato0901.25)	-promoter-TSS (ID=evm.model.Herato0901.25-E3;Parent=evm.model.Herato0901.25)	-823	ID=evm.model.Herato0901.25-E3;Parent=evm.model.Herato0901.25								
2858	Herato1301	13314502	13315237	+	0	NA	Intergenic	Intergenic	1859	ID=evm.model.Herato1301.506.1-E9;Parent=evm.model.Herato1301.506.1								
4221	Herato1108	12213708	12214074	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.518.1-E1;Parent=evm.model.Herato1108.518.1)	-promoter-TSS (ID=evm.model.Herato1108.518.1-E1;Parent=evm.model.Herato1108.518.1)	-508	ID=evm.model.Herato1108.518.1-E1;Parent=evm.model.Herato1108.518.1								
8644	Herato0508	326858	327533	+	0	NA	Intergenic	Intergenic	-1109	ID=evm.model.Herato0508.9-E2;Parent=evm.model.Herato0508.9								
2526	Herato0101	14701789	14702117	+	0	NA	Intergenic	Intergenic	24929	ID=evm.model.Herato0101.525-E1;Parent=evm.model.Herato0101.525								
972	Herato0101	10560340	10560811	+	0	NA	Intergenic	Intergenic	-53088	ID=evm.model.Herato0101.307-E1;Parent=evm.model.Herato0101.307								
7787	Herato0310	2233213	2233749	+	0	NA	Intergenic	Intergenic	-29013	ID=evm.model.Herato0310.49-E1;Parent=evm.model.Herato0310.49								
8397	Herato1903	22285	22433	+	0	NA	Intergenic	Intergenic	-3950	ID=evm.model.Herato1903.11-E4;Parent=evm.model.Herato1903.11								
3	Herato0508	504509	504724	+	0	NA	Intergenic	Intergenic	-5126	ID=evm.model.Herato0508.23_evm.model.Herato0508.25_evm.model.Herato0508.91.1-E1;Parent=evm.model.Herato0508.23_evm.model.Herato0508.25_evm.model.Herato0508.91.1								
7802	Herato2101	11934169	11934406	+	0	NA	Intergenic	Intergenic	-7894	ID=evm.model.Herato2101.397-E2;Parent=evm.model.Herato2101.397								
5643	Herato1801	4115530	4115884	+	0	NA	Intergenic	Intergenic	-1287	ID=evm.model.Herato1801.140-E1;Parent=evm.model.Herato1801.140								
248	Herato0606	1205963	1206166	+	0	NA	Intergenic	Intergenic	-2225	ID=evm.model.Herato0606.41-E1;Parent=evm.model.Herato0606.41								
5608	Herato1301	12130138	12130435	+	0	NA	Intergenic	Intergenic	22802	ID=evm.model.Herato1301.479-E1;Parent=evm.model.Herato1301.479								
802	Herato0101	10107292	10108328	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.291-E3;Parent=evm.model.Herato0101.291)	-promoter-TSS (ID=evm.model.Herato0101.291-E3;Parent=evm.model.Herato0101.291)	-898	ID=evm.model.Herato0101.291.3-E3;Parent=evm.model.Herato0101.291.3								
3924	Herato1108	5657548	5657803	+	0	NA	Intergenic	Intergenic	5120	ID=evm.model.Herato1108.241-E20;Parent=evm.model.Herato1108.241								
3420	Herato1007	885278	885586	+	0	NA	Intergenic	Intergenic	-1385	ID=evm.model.Herato1007.38-E3;Parent=evm.model.Herato1007.38								
8097	Herato0310	8793002	8794037	+	0	NA	Intergenic	Intergenic	5069	ID=evm.model.Herato0310.241.3-E9;Parent=evm.model.Herato0310.241.3								
5130	Herato1202	19038861	19039548	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.771-E5;Parent=evm.model.Herato1202.771)	-promoter-TSS (ID=evm.model.Herato1202.771-E5;Parent=evm.model.Herato1202.771)	-616	ID=evm.model.Herato1202.771-E5;Parent=evm.model.Herato1202.771								
3269	Herato1005	831202	831474	+	0	NA	TTS (ID=evm.model.Herato1005.55-E1;Parent=evm.model.Herato1005.55)	-TTS (ID=evm.model.Herato1005.55-E1;Parent=evm.model.Herato1005.55)	779	ID=evm.model.Herato1005.55-E1;Parent=evm.model.Herato1005.55								
2632	Herato1301	3758744	3759026	+	0	NA	Intergenic	Intergenic	6643	ID=evm.model.Herato1301.109-E30;Parent=evm.model.Herato1301.109								
5684	Herato1301	14107663	14108115	+	0	NA	Intergenic	Intergenic	-173166	ID=evm.model.Herato1301.536-E1;Parent=evm.model.Herato1301.536								
6261	Herato1601	5222547	5222696	+	0	NA	Intergenic	Intergenic	6394	ID=evm.model.Herato1601.113-E1;Parent=evm.model.Herato1601.113								
6243	Herato1910	1457040	1457709	+	0	NA	promoter-TSS (ID=evm.model.Herato1910.102-E5;Parent=evm.model.Herato1910.102)	-promoter-TSS (ID=evm.model.Herato1910.102-E5;Parent=evm.model.Herato1910.102)	-516	ID=evm.model.Herato1910.102-E5;Parent=evm.model.Herato1910.102								
8349	Herato1801	3016472	3016718	+	0	NA	Intergenic	Intergenic	4462	ID=evm.model.Herato1801.109-E3;Parent=evm.model.Herato1801.109								
4869	Herato0101	20513701	20513904	+	0	NA	Intergenic	Intergenic	1306	ID=evm.model.Herato0101.782-E4;Parent=evm.model.Herato0101.782								
2812	Herato1301	11242025	11242326	+	0	NA	Intergenic	Intergenic	-6622	ID=evm.model.Herato1301.446-E1;Parent=evm.model.Herato1301.446								
6361	Herato1904	2018087	2018229	+	0	NA	Intergenic	Intergenic	15910	ID=evm.model.Herato1904.75-E16;Parent=evm.model.Herato1904.75								
560	Herato0101	9336900	9337395	+	0	NA	TTS (ID=evm.model.Herato0101.283-E11;Parent=evm.model.Herato0101.283)	-TTS (ID=evm.model.Herato0101.283-E11;Parent=evm.model.Herato0101.283)	698	ID=evm.model.Herato0101.283-E11;Parent=evm.model.Herato0101.283								
2830	Herato1001	5810342	5812477	+	0	NA	Intergenic	Intergenic	1596	ID=evm.model.Herato1001.188-E3;Parent=evm.model.Herato1001.188								
798	Herato1007	3940484	3940850	+	0	NA	Intergenic	Intergenic	-18040	ID=evm.model.Herato1007.146-E1;Parent=evm.model.Herato1007.146								
898	Herato0701	2491508	2492151	+	0	NA	Intergenic	Intergenic	-1061	ID=evm.model.Herato0701.147.1-E1;Parent=evm.model.Herato0701.147.1								
3670	Herato1411	2725790	2726069	+	0	NA	Intergenic	Intergenic	1633	ID=evm.model.Herato1411.104-E1;Parent=evm.model.Herato1411.104								
7391	Herato2001	1704952	1705484	+	0	NA	Intergenic	Intergenic	2016	ID=evm.model.Herato2001.35.1-E3;Parent=evm.model.Herato2001.35.1								
7239	Herato2101	1951247	1951520	+	0	NA	promoter-TSS (ID=evm.model.Herato2101.65-E3;Parent=evm.model.Herato2101.65)	-promoter-TSS (ID=evm.model.Herato2101.65-E3;Parent=evm.model.Herato2101.65)	-948	ID=evm.model.Herato2101.65-E3;Parent=evm.model.Herato2101.65								
1273	Herato0701	9150122	9150327	+	0	NA	Intergenic	Intergenic	2742	ID=evm.model.Herato0701.388-E13;Parent=evm.model.Herato0701.388								
451	Herato0204	496855	497368	+	0	NA	Intergenic	Intergenic	4127	ID=evm.model.Herato0204.27.2-E7;Parent=evm.model.Herato0204.27.2								
7573	Herato2101	16052725	16052898	+	0	NA	Intergenic	Intergenic	2189	ID=evm.model.Herato2101.498-E6;Parent=evm.model.Herato2101.498								
7632	Herato2001	7751099	7751794	+	0	NA	Intergenic	Intergenic	-2805	ID=evm.model.Herato2001.314-E3;Parent=evm.model.Herato2001.314								
6227	Herato0310	10600853	10601123	+	0	NA	Intergenic	Intergenic	-1304	ID=evm.model.Herato0310.337-E1;Parent=evm.model.Herato0310.337								
2448	Herato0901	8612693	8613307	+	0	NA	promoter-TSS (ID=evm.model.Herato0901.275-E2;Parent=evm.model.Herato0901.275)	-promoter-TSS (ID=evm.model.Herato0901.275-E2;Parent=evm.model.Herato0901.275)	-730	ID=evm.model.Herato0901.275-E2;Parent=evm.model.Herato0901.275								
2969	Herato2101	15079583	15080456	+	0	NA	Intergenic	Intergenic	-1945	ID=evm.model.Herato2101.484-E2;Parent=evm.model.Herato2101.484								
7898	Herato0310	5975103	5975362	+	0	NA	Intergenic	Intergenic	-1449	ID=evm.model.Herato0310.148-E3;Parent=evm.model.Herato0310.148								
4557	Herato1411	1790383	1790719	+	0	NA	Intergenic	Intergenic	-6522	ID=evm.model.Herato1411.53_evm.model.Herato1411.55_evm.model.Herato1411.55.1-E3;Parent=evm.model.Herato1411.53_evm.model.Herato1411.55_evm.model.Herato1411.55.1								
2721	Herato1001	2263765	2263964	+	0	NA	Intergenic	Intergenic	14687	ID=evm.model.Herato1001.80-E9;Parent=evm.model.Herato1001.80								
3595	Herato1411	746258	746597	+	0	NA	Intergenic	Intergenic	2486	ID=evm.model.Herato1411.20-E1;Parent=evm.model.Herato1411.20								
4788	Herato1202	11619646	11620046	+	0	NA	Intergenic	Intergenic	-25331	ID=evm.model.Herato1202.454-E1;Parent=evm.model.Herato1202.454								
4909	Herato1202	14574948	14575336	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.563-E1;Parent=evm.model.Herato1202.563)	-promoter-TSS (ID=evm.model.Herato1202.563-E1;Parent=evm.model.Herato1202.563)	-39	ID=evm.model.Herato1202.563-E1;Parent=evm.model.Herato1202.563								
4384	Herato1202	2142041	2142767	+	0	NA	Intergenic	Intergenic	32340	ID=evm.model.Herato1202.72-E6;Parent=evm.model.Herato1202.72								
8743	Herato0503	5706895	5707249	+	0	NA	Intergenic	Intergenic	-13021	ID=evm.model.Herato0503.187-E1;Parent=evm.model.Herato0503.187								
3331	Herato0204	625454	625642	+	0	NA	Intergenic	Intergenic	4739	ID=evm.model.Herato0204.27.4-E2;Parent=evm.model.Herato0204.27.4								
5335	Herato1301	3253338	3253510	+	0	NA	Intergenic	Intergenic	2688	ID=evm.model.Herato1301.90-E1;Parent=evm.model.Herato1301.90								
5148	Herato1202	19302265	19302644	+	0	NA	Intergenic	Intergenic	-14857	ID=evm.model.Herato1202.781-E3;Parent=evm.model.Herato1202.781								
540	Herato0606	6190944	6191617	+	0	NA	Intergenic	Intergenic	-12104	ID=evm.model.Herato0606.214-E1;Parent=evm.model.Herato0606.214								
6673	Herato1505	2270553	2270945	+	0	NA	Intergenic	Intergenic	35610	ID=evm.model.Herato1505.86-E14;Parent=evm.model.Herato1505.86								
1615	Herato0101	11822851	11823051	+	0	NA	Intergenic	Intergenic	3051	ID=evm.model.Herato0101.368-E2;Parent=evm.model.Herato0101.368								
3065	Herato1301	18760772	18761059	+	0	NA	TTS (ID=evm.model.Herato1301.643-E9;Parent=evm.model.Herato1301.643)	-TTS (ID=evm.model.Herato1301.643-E9;Parent=evm.model.Herato1301.643)	764	ID=evm.model.Herato1301.643-E9;Parent=evm.model.Herato1301.643								
7959	Herato1910	834301	834480	+	0	NA	promoter-TSS (ID=evm.model.Herato1910.61.5-E2;Parent=evm.model.Herato1910.61.5)	-promoter-TSS (ID=evm.model.Herato1910.61.5-E2;Parent=evm.model.Herato1910.61.5)	-573	ID=evm.model.Herato1910.61.5-E2;Parent=evm.model.Herato1910.61.5								
2073	Herato0821	2947260	2949308	+	0	NA	Intergenic	Intergenic	-2766	ID=evm.model.Herato0821.116-E2;Parent=evm.model.Herato0821.116								
2406	Herato0901	7404920	7405994	+	0	NA	Intergenic	Intergenic	1233	ID=evm.model.Herato0901.246.2-E4;Parent=evm.model.Herato0901.246.2								
76	Herato1003	562686	562961	+	0	NA	Intergenic	Intergenic	-1230	ID=evm.model.Herato1003.12-E12;Parent=evm.model.Herato1003.12								
7621	Herato2001	14576821	14576961	+	0	NA	Intergenic	Intergenic	22672	ID=evm.model.Herato2001.569-E2;Parent=evm.model.Herato2001.569								
982	Herato0701	4036313	4036610	+	0	NA	Intergenic	Intergenic	-2895	ID=evm.model.Herato0701.187-E1;Parent=evm.model.Herato0701.187								
8752	Herato0310	6010645	6010883	+	0	NA	Intergenic	Intergenic	11863	ID=evm.model.Herato0310.149-E7;Parent=evm.model.Herato0310.149								
2592	Herato0101	14842315	14842520	+	0	NA	Intergenic	Intergenic	-7231	ID=evm.model.Herato0101.531-E20;Parent=evm.model.Herato0101.531								
7646	Herato0301	3704438	3704650	+	0	NA	Intergenic	Intergenic	-12433	ID=evm.model.Herato0301.97.1-E1;Parent=evm.model.Herato0301.97.1								
8151	Herato1807	2970116	2970933	+	0	NA	Intergenic	Intergenic	56551	ID=evm.model.Herato1807.60-E2;Parent=evm.model.Herato1807.60								
1345	Herato0701	10319156	10319549	+	0	NA	Intergenic	Intergenic	-9008	ID=evm.model.Herato0701.426-E2;Parent=evm.model.Herato0701.426								
2290	Herato1202	17501441	17501889	+	0	NA	Intergenic	Intergenic	8263	ID=evm.model.Herato1202.713-E1;Parent=evm.model.Herato1202.713								
4431	Herato1705	1137853	1138093	+	0	NA	Intergenic	Intergenic	-45216	ID=evm.model.Herato1705.13-E1;Parent=evm.model.Herato1705.13								
1123	Herato0701	6833416	6833744	+	0	NA	Intergenic	Intergenic	-1800	ID=evm.model.Herato0701.307-E2;Parent=evm.model.Herato0701.307								
758	Herato0606	11997029	11997308	+	0	NA	Intergenic	Intergenic	-2594	ID=evm.model.Herato0606.441.3-E1;Parent=evm.model.Herato0606.441.3								
6351	Herato1505	1938707	1939018	+	0	NA	promoter-TSS (ID=evm.model.Herato1505.75-E1;Parent=evm.model.Herato1505.75)	-promoter-TSS (ID=evm.model.Herato1505.75-E1;Parent=evm.model.Herato1505.75)	-211	ID=evm.model.Herato1505.75-E1;Parent=evm.model.Herato1505.75								
5902	Herato0503	465865	466544	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.15-E1;Parent=evm.model.Herato0503.15)	-promoter-TSS (ID=evm.model.Herato0503.15-E1;Parent=evm.model.Herato0503.15)	51	ID=evm.model.Herato0503.15-E1;Parent=evm.model.Herato0503.15								
14	Herato0508	684802	685039	+	0	NA	promoter-TSS (ID=evm.model.Herato0508.32-E4;Parent=evm.model.Herato0508.32)	-promoter-TSS (ID=evm.model.Herato0508.32-E4;Parent=evm.model.Herato0508.32)	-380	ID=evm.model.Herato0508.32-E4;Parent=evm.model.Herato0508.32								
4761	Herato1605	3944325	3945309	+	0	NA	Intergenic	Intergenic	3625	ID=evm.model.Herato1605.120-E5;Parent=evm.model.Herato1605.120								
2587	Herato1301	2739832	2740079	+	0	NA	Intergenic	Intergenic	12033	ID=evm.model.Herato1301.65-E2;Parent=evm.model.Herato1301.65								
2328	Herato0901	5337444	5337837	+	0	NA	Intergenic	Intergenic	-61628	ID=evm.model.Herato0901.146-E1;Parent=evm.model.Herato0901.146								
5630	Herato1901	3130435	3130607	+	0	NA	Intergenic	Intergenic	-13062	ID=evm.model.Herato1901.105-E3;Parent=evm.model.Herato1901.105								
2889	Herato1003	1175029	1177257	+	0	NA	Intergenic	Intergenic	-1518	ID=evm.model.Herato1003.40-E2;Parent=evm.model.Herato1003.40								
3786	Herato0101	17776570	17776745	+	0	NA	Intergenic	Intergenic	-18984	ID=evm.model.Herato0101.703-E1;Parent=evm.model.Herato0101.703								
234	Herato0606	308790	308933	+	0	NA	Intergenic	Intergenic	-21854	ID=evm.model.Herato0606.8-E1;Parent=evm.model.Herato0606.8								
7867	Herato0411	6301259	6301599	+	0	NA	Intergenic	Intergenic	6274	ID=evm.model.Herato0411.148-E3;Parent=evm.model.Herato0411.148								
594	Herato0606	7481909	7482083	+	0	NA	Intergenic	Intergenic	-7535	ID=evm.model.Herato0606.257-E1;Parent=evm.model.Herato0606.257								
2924	Herato2101	13995287	13996077	+	0	NA	Intergenic	Intergenic	-14978	ID=evm.model.Herato2101.444-E1;Parent=evm.model.Herato2101.444								
6746	Herato1507	937847	938301	+	0	NA	Intergenic	Intergenic	106733	ID=evm.model.Herato1507.36-E6;Parent=evm.model.Herato1507.36								
4580	Herato1202	6554355	6554844	+	0	NA	Intergenic	Intergenic	-17057	ID=evm.model.Herato1202.271-E1;Parent=evm.model.Herato1202.271								
5213	Herato1805	8946189	8946427	+	0	NA	Intergenic	Intergenic	7233	ID=novel_model_239-E2;Parent=novel_model_239								
4302	Herato0101	19075231	19075522	+	0	NA	Intergenic	Intergenic	-9069	ID=evm.model.Herato0101.756-E1;Parent=evm.model.Herato0101.756								
3554	Herato1408	5829992	5830213	+	0	NA	Intergenic	Intergenic	21215	ID=evm.model.Herato1408.229-E2;Parent=evm.model.Herato1408.229								
6158	Herato1908	2082184	2082357	+	0	NA	Intergenic	Intergenic	-1105	ID=evm.model.Herato1908.70-E1;Parent=evm.model.Herato1908.70								
6936	Herato1910	3350629	3350888	+	0	NA	Intergenic	Intergenic	50585	ID=evm.model.Herato1910.158-E5;Parent=evm.model.Herato1910.158								
6551	Herato1411	6808428	6808821	+	0	NA	Intergenic	Intergenic	12213	ID=evm.model.Herato1411.253-E2;Parent=evm.model.Herato1411.253								
6107	Herato0310	7268033	7268465	+	0	NA	Intergenic	Intergenic	-17184	ID=evm.model.Herato0310.179-E1;Parent=evm.model.Herato0310.179								
3116	Herato1805	3621536	3621893	+	0	NA	Intergenic	Intergenic	48019	ID=evm.model.Herato1805.103-E1;Parent=evm.model.Herato1805.103								
