PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_melpUnique_5thup.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_melpUnique_5thup_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
5787	Hmel220014	921195	921745	+	0	NA	Intergenic	Intergenic	7119	ID=HMEL035328g1.t1-E3;Parent=HMEL035328g1.t1								
3696	Hmel213065	412467	412738	+	0	NA	Intergenic	Intergenic	-4200	ID=HMEL032145g1.t1-E1;Parent=HMEL032145g1.t1								
906	Hmel204013	560691	560899	+	0	NA	Intergenic	Intergenic	40120	ID=HMEL036397g1.t1-E2;Parent=HMEL036397g1.t1								
2205	Hmel209007	361191	361565	+	0	NA	promoter-TSS (ID=HMEL007479g2.t1-E4;Parent=HMEL007479g2.t1)	-promoter-TSS (ID=HMEL007479g2.t1-E4;Parent=HMEL007479g2.t1)	-666	ID=HMEL007479g2.t1-E4;Parent=HMEL007479g2.t1								
1349	Hmel206009	584568	585199	+	0	NA	Intergenic	Intergenic	19107	ID=HMEL037007g1.t1-E1;Parent=HMEL037007g1.t1								
177	Hmel201009	2961889	2963488	+	0	NA	Intergenic	Intergenic	-2787	ID=HMEL017202g1.t2-E1;Parent=HMEL017202g1.t2								
2213	Hmel209007	419763	419922	+	0	NA	TTS (ID=HMEL007474g1.t1-E1;Parent=HMEL007474g1.t1)	-TTS (ID=HMEL007474g1.t1-E1;Parent=HMEL007474g1.t1)	905	ID=HMEL007474g1.t1-E1;Parent=HMEL007474g1.t1								
3346	Hmel213004	368215	368382	+	0	NA	Intergenic	Intergenic	7269	ID=HMEL031770g1.t1-E1;Parent=HMEL031770g1.t1								
2940	Hmel211012	917562	918343	+	0	NA	Intergenic	Intergenic	-9337	ID=HMEL015092g1.t1-E1;Parent=HMEL015092g1.t1								
22	Hmel201002	1571674	1572093	+	0	NA	Intergenic	Intergenic	18044	ID=HMEL030032g1.t1-E2;Parent=HMEL030032g1.t1								
205	Hmel201009	4012945	4014095	+	0	NA	Intergenic	Intergenic	10781	ID=HMEL030236g1.t1-E18;Parent=HMEL030236g1.t1								
3072	Hmel212001	2835948	2836283	+	0	NA	Intergenic	Intergenic	9860	ID=HMEL016850g1.t1-E2;Parent=HMEL016850g1.t1								
4345	Hmel216010	190052	190294	+	0	NA	Intergenic	Intergenic	-6296	ID=HMEL006570g1.t1-E1;Parent=HMEL006570g1.t1								
3213	Hmel212011	400826	401923	+	0	NA	Intergenic	Intergenic	-5176	ID=HMEL031593g1.t1-E1;Parent=HMEL031593g1.t1								
3296	Hmel212013	2813921	2814073	+	0	NA	promoter-TSS (ID=HMEL012642g1.t1-E6;Parent=HMEL012642g1.t1)	-promoter-TSS (ID=HMEL012642g1.t1-E6;Parent=HMEL012642g1.t1)	-957	ID=HMEL012642g1.t1-E6;Parent=HMEL012642g1.t1								
5730	Hmel220005	5712140	5712973	+	0	NA	Intergenic	Intergenic	9104	ID=HMEL012769g1.t1-E1;Parent=HMEL012769g1.t1								
2681	Hmel210011	5081457	5082051	+	0	NA	Intergenic	Intergenic	-38625	ID=HMEL030933g1.t1-E1;Parent=HMEL030933g1.t1								
1260	Hmel206004	27333	28183	+	0	NA	promoter-TSS (ID=HMEL015911g1.t1-E1;Parent=HMEL015911g1.t1)	-promoter-TSS (ID=HMEL015911g1.t1-E1;Parent=HMEL015911g1.t1)	10	ID=HMEL015911g1.t1-E1;Parent=HMEL015911g1.t1								
874	Hmel204003	108256	108601	+	0	NA	Intergenic	Intergenic	-7016	ID=HMEL015899g1.t1-E2;Parent=HMEL015899g1.t1								
4795	Hmel217020	2467989	2469619	+	0	NA	promoter-TSS (ID=HMEL013462g2.t1-E1;Parent=HMEL013462g2.t1)	-promoter-TSS (ID=HMEL013462g2.t1-E1;Parent=HMEL013462g2.t1)	23	ID=HMEL013462g2.t1-E1;Parent=HMEL013462g2.t1								
493	Hmel202006	3790483	3792466	+	0	NA	Intergenic	Intergenic	-18517	ID=HMEL004268g1.t1-E1;Parent=HMEL004268g1.t1								
1708	Hmel207008	228589	228814	+	0	NA	Intergenic	Intergenic	-7602	ID=HMEL037520g1.t1-E1;Parent=HMEL037520g1.t1								
3719	Hmel213067	702527	703412	+	0	NA	Intergenic	Intergenic	-43273	ID=HMEL032194g1.t1-E1;Parent=HMEL032194g1.t1								
2220	Hmel209007	638348	638749	+	0	NA	Intergenic	Intergenic	-3440	ID=HMEL030379g1.t1-E1;Parent=HMEL030379g1.t1								
1436	Hmel206009	2469521	2469723	+	0	NA	Intergenic	Intergenic	-9590	ID=HMEL005358g4.t1-E1;Parent=HMEL005358g4.t1								
2528	Hmel210011	242549	242730	+	0	NA	Intergenic	Intergenic	1407	ID=HMEL013316g1.t1-E22;Parent=HMEL013316g1.t1								
1591	Hmel207002	1634621	1634942	+	0	NA	Intergenic	Intergenic	2610	ID=HMEL011240g1.t1-E1;Parent=HMEL011240g1.t1								
1677	Hmel207002	6378074	6378428	+	0	NA	Intergenic	Intergenic	-18422	ID=HMEL016486g1.t1-E1;Parent=HMEL016486g1.t1								
2174	Hmel209006	381560	381925	+	0	NA	Intergenic	Intergenic	-7197	ID=HMEL030348g1.t1-E1;Parent=HMEL030348g1.t1								
4699	Hmel217018	582917	584097	+	0	NA	Intergenic	Intergenic	5964	ID=HMEL033970g1.t1-E2;Parent=HMEL033970g1.t1								
5506	Hmel220001	77752	79354	+	0	NA	TTS (ID=HMEL034958g1.t1-E2;Parent=HMEL034958g1.t1)	-TTS (ID=HMEL034958g1.t1-E2;Parent=HMEL034958g1.t1)	239	ID=HMEL034958g1.t1-E2;Parent=HMEL034958g1.t1								
1320	Hmel206006	2513392	2514161	+	0	NA	Intergenic	Intergenic	-6229	ID=HMEL036982g1.t1-E1;Parent=HMEL036982g1.t1								
1026	Hmel205005	313715	314166	+	0	NA	promoter-TSS (ID=HMEL016013g1.t1-E2;Parent=HMEL016013g1.t1)	-promoter-TSS (ID=HMEL016013g1.t1-E2;Parent=HMEL016013g1.t1)	-261	ID=HMEL016013g1.t1-E2;Parent=HMEL016013g1.t1								
4493	Hmel216016	219330	220308	+	0	NA	promoter-TSS (ID=HMEL008070g1.t1-E3;Parent=HMEL008070g1.t1)	-promoter-TSS (ID=HMEL008070g1.t1-E3;Parent=HMEL008070g1.t1)	371	ID=HMEL008070g1.t1-E2;Parent=HMEL008070g1.t1								
2752	Hmel211002	226352	227362	+	0	NA	Intergenic	Intergenic	37150	ID=HMEL030984g1.t1-E2;Parent=HMEL030984g1.t1								
5606	Hmel220003	2606093	2606375	+	0	NA	Intergenic	Intergenic	-1966	ID=HMEL012544g1.t1-E2;Parent=HMEL012544g1.t1								
5750	Hmel220009	542687	543927	+	0	NA	Intergenic	Intergenic	-10679	ID=HMEL035260g1.t1-E1;Parent=HMEL035260g1.t1								
1390	Hmel206009	1256356	1256576	+	0	NA	Intergenic	Intergenic	3622	ID=HMEL037017g1.t1-E1;Parent=HMEL037017g1.t1								
1993	Hmel208021	955766	956636	+	0	NA	Intergenic	Intergenic	13681	ID=HMEL021682g1.t1-E6;Parent=HMEL021682g1.t1								
3544	Hmel213027	91866	92311	+	0	NA	Intergenic	Intergenic	-12247	ID=HMEL031965g1.t1-E1;Parent=HMEL031965g1.t1								
1469	Hmel206009	4331962	4332254	+	0	NA	promoter-TSS (ID=HMEL037084g1.t1-E13;Parent=HMEL037084g1.t1)	-promoter-TSS (ID=HMEL037084g1.t1-E13;Parent=HMEL037084g1.t1)	163	ID=HMEL037084g1.t1-E12;Parent=HMEL037084g1.t1								
1499	Hmel206012	903501	903680	+	0	NA	Intergenic	Intergenic	26545	ID=HMEL037123g1.t1-E8;Parent=HMEL037123g1.t1								
4674	Hmel217005	108361	108813	+	0	NA	Intergenic	Intergenic	6412	ID=HMEL033882g1.t1-E2;Parent=HMEL033882g1.t1								
400	Hmel201019	1315019	1315595	+	0	NA	Intergenic	Intergenic	2779	ID=HMEL003933g1.t1-E1;Parent=HMEL003933g1.t1								
919	Hmel204013	1245159	1245708	+	0	NA	Intergenic	Intergenic	-2193	ID=HMEL036411g1.t2-E2;Parent=HMEL036411g1.t2								
1268	Hmel206006	183081	183418	+	0	NA	exon (ID=HMEL036931g1.t1-E1;Parent=HMEL036931g1.t1, exon 1 of 1)	-exon (ID=HMEL036931g1.t1-E1;Parent=HMEL036931g1.t1, exon 1 of 1)	155	ID=HMEL036931g1.t1-E1;Parent=HMEL036931g1.t1								
5963	Hmel221012	367260	367507	+	0	NA	TTS (ID=HMEL035552g1.t1-E2;Parent=HMEL035552g1.t1)	-TTS (ID=HMEL035552g1.t1-E2;Parent=HMEL035552g1.t1)	655	ID=HMEL035552g1.t1-E2;Parent=HMEL035552g1.t1								
633	Hmel203001	93447	94975	+	0	NA	TTS (ID=HMEL035941g1.t1-E1;Parent=HMEL035941g1.t1)	-TTS (ID=HMEL035941g1.t1-E1;Parent=HMEL035941g1.t1)	795	ID=HMEL035941g1.t1-E1;Parent=HMEL035941g1.t1								
1372	Hmel206009	976317	977197	+	0	NA	Intergenic	Intergenic	-24709	ID=HMEL037011g1.t1-E1;Parent=HMEL037011g1.t1								
1977	Hmel208021	304283	304530	+	0	NA	promoter-TSS (ID=HMEL005694g1.t1-E1;Parent=HMEL005694g1.t1)	-promoter-TSS (ID=HMEL005694g1.t1-E1;Parent=HMEL005694g1.t1)	-285	ID=HMEL037950g1.t1-E1;Parent=HMEL037950g1.t1								
2023	Hmel208030	42523	43344	+	0	NA	Intergenic	Intergenic	-4451	ID=HMEL005600g1.t1-E1;Parent=HMEL005600g1.t1								
4387	Hmel216011	1840409	1840741	+	0	NA	Intergenic	Intergenic	11601	ID=HMEL033570g1.t1-E2;Parent=HMEL033570g1.t1								
3445	Hmel213017	37561	38725	+	0	NA	TTS (ID=HMEL020719g1.t1-E4;Parent=HMEL020719g1.t1)	-TTS (ID=HMEL020719g1.t1-E4;Parent=HMEL020719g1.t1)	1068	ID=HMEL020719g1.t1-E4;Parent=HMEL020719g1.t1								
1669	Hmel207002	6112834	6113644	+	0	NA	Intergenic	Intergenic	-12094	ID=HMEL005780g1.t1-E1;Parent=HMEL005780g1.t1								
1825	Hmel207021	1985140	1985353	+	0	NA	Intergenic	Intergenic	28439	ID=HMEL037713g1.t1-E1;Parent=HMEL037713g1.t1								
1285	Hmel206006	562348	563173	+	0	NA	Intergenic	Intergenic	-7987	ID=HMEL012152g1.t1-E1;Parent=HMEL012152g1.t1								
5468	Hmel219018	1274010	1275281	+	0	NA	Intergenic	Intergenic	10432	ID=HMEL034911g1.t1-E2;Parent=HMEL034911g1.t1								
3309	Hmel212013	3174598	3175001	+	0	NA	Intergenic	Intergenic	5643	ID=HMEL012337g1.t1-E4;Parent=HMEL012337g1.t1								
3594	Hmel213044	564902	565652	+	0	NA	Intergenic	Intergenic	-1566	ID=HMEL016749g1.t1-E1;Parent=HMEL016749g1.t1								
3757	Hmel213071	86206	87200	+	0	NA	Intergenic	Intergenic	6675	ID=HMEL004684g1.t1-E1;Parent=HMEL004684g1.t1								
1549	Hmel207001	72105	72500	+	0	NA	Intergenic	Intergenic	-4295	ID=HMEL037341g1.t1-E1;Parent=HMEL037341g1.t1								
1959	Hmel208019	330993	331640	+	0	NA	Intergenic	Intergenic	9123	ID=HMEL009964g1.t1-E1;Parent=HMEL009964g1.t1								
1242	Hmel205028	211801	212187	+	0	NA	TTS (ID=HMEL036891g1.t1-E1;Parent=HMEL036891g1.t1)	-TTS (ID=HMEL036891g1.t1-E1;Parent=HMEL036891g1.t1)	1192	ID=HMEL036891g1.t1-E1;Parent=HMEL036891g1.t1								
1208	Hmel205022	803725	804969	+	0	NA	Intergenic	Intergenic	32330	ID=HMEL036833g1.t1-E1;Parent=HMEL036833g1.t1								
1874	Hmel207023	568136	568338	+	0	NA	Intergenic	Intergenic	28227	ID=HMEL037744g1.t1-E2;Parent=HMEL037744g1.t1								
1803	Hmel207021	888285	888553	+	0	NA	promoter-TSS (ID=HMEL037684g1.t1-E1;Parent=HMEL037684g1.t1)	-promoter-TSS (ID=HMEL037684g1.t1-E1;Parent=HMEL037684g1.t1)	-294	ID=HMEL037684g1.t1-E1;Parent=HMEL037684g1.t1								
5533	Hmel220003	725376	727544	+	0	NA	Intergenic	Intergenic	-4055	ID=HMEL007249g1.t1-E1;Parent=HMEL007249g1.t1								
3542	Hmel213027	352585	352906	+	0	NA	Intergenic	Intergenic	-13705	ID=HMEL031971g1.t1-E1;Parent=HMEL031971g1.t1								
1201	Hmel205022	406644	407143	+	0	NA	Intergenic	Intergenic	-17512	ID=HMEL036819g1.t1-E1;Parent=HMEL036819g1.t1								
519	Hmel202006	2100266	2100511	+	0	NA	TTS (ID=HMEL014362g1.t1-E1;Parent=HMEL014362g1.t1)	-TTS (ID=HMEL014362g1.t1-E1;Parent=HMEL014362g1.t1)	1239	ID=HMEL014362g1.t1-E1;Parent=HMEL014362g1.t1								
5070	Hmel218018	4482144	4482820	+	0	NA	Intergenic	Intergenic	-9194	ID=HMEL015554g1.t1-E1;Parent=HMEL015554g1.t1								
5492	Hmel219019	417222	417923	+	0	NA	Intergenic	Intergenic	-6119	ID=HMEL018010g1.t1-E1;Parent=HMEL018010g1.t1								
5069	Hmel218018	4409439	4410005	+	0	NA	Intergenic	Intergenic	-1396	ID=HMEL034424g1.t1-E1;Parent=HMEL034424g1.t1								
3300	Hmel212013	2893208	2893425	+	0	NA	Intergenic	Intergenic	4317	ID=HMEL031700g1.t1-E2;Parent=HMEL031700g1.t1								
17	Hmel201002	1292303	1292721	+	0	NA	Intergenic	Intergenic	-8361	ID=HMEL011296g1.t1-E7;Parent=HMEL011296g1.t1								
4092	Hmel215030	91897	92490	+	0	NA	Intergenic	Intergenic	-21632	ID=HMEL032780g1.t1-E1;Parent=HMEL032780g1.t1								
2451	Hmel210004	7258644	7259405	+	0	NA	Intergenic	Intergenic	-3617	ID=HMEL030733g1.t1-E1;Parent=HMEL030733g1.t1								
5870	Hmel221001	639329	639610	+	0	NA	Intergenic	Intergenic	-1547	ID=HMEL011029g2.t1-E1;Parent=HMEL011029g2.t1								
5466	Hmel219018	1235769	1236553	+	0	NA	Intergenic	Intergenic	-26730	ID=HMEL034911g1.t1-E1;Parent=HMEL034911g1.t1								
3337	Hmel213001	52748	53227	+	0	NA	Intergenic	Intergenic	13483	ID=HmIR1_1-E15;Parent=HmIR1_1								
1274	Hmel206006	317459	318487	+	0	NA	Intergenic	Intergenic	-17612	ID=HMEL036935g1.t1-E1;Parent=HMEL036935g1.t1								
5119	Hmel218018	6840932	6841480	+	0	NA	promoter-TSS (ID=HMEL015839g1.t1-E4;Parent=HMEL015839g1.t1)	-promoter-TSS (ID=HMEL015839g1.t1-E4;Parent=HMEL015839g1.t1)	-8	ID=HMEL015839g1.t1-E4;Parent=HMEL015839g1.t1								
110	Hmel201009	162647	162956	+	0	NA	Intergenic	Intergenic	12266	ID=HMEL030118g1.t1-E3;Parent=HMEL030118g1.t1								
4861	Hmel218004	215924	216767	+	0	NA	Intergenic	Intergenic	1657	ID=HMEL034241g1.t1-E3;Parent=HMEL034241g1.t1								
2356	Hmel210004	1055326	1055909	+	0	NA	Intergenic	Intergenic	3814	ID=HMEL011109g1.t1-E10;Parent=HMEL011109g1.t1								
4721	Hmel217018	1040272	1040771	+	0	NA	Intergenic	Intergenic	-8107	ID=HMEL022206g1.t1-E1;Parent=HMEL022206g1.t1								
2210	Hmel209007	379938	381339	+	0	NA	promoter-TSS (ID=HMEL007477g1.t1-E2;Parent=HMEL007477g1.t1)	-promoter-TSS (ID=HMEL007477g1.t1-E2;Parent=HMEL007477g1.t1)	105	ID=HMEL007477g1.t1-E1;Parent=HMEL007477g1.t1								
3700	Hmel213065	604173	604417	+	0	NA	Intergenic	Intergenic	5818	ID=HMEL032151g1.t1-E3;Parent=HMEL032151g1.t1								
2658	Hmel210011	4608635	4609564	+	0	NA	Intergenic	Intergenic	-1806	ID=HMEL030922g1.t1-E5;Parent=HMEL030922g1.t1								
5823	Hmel220022	461057	461740	+	0	NA	Intergenic	Intergenic	-13439	ID=HMEL035404g1.t1-E1;Parent=HMEL035404g1.t1								
5871	Hmel221001	642960	643369	+	0	NA	Intergenic	Intergenic	3387	ID=HMEL011029g3.t1-E1;Parent=HMEL011029g3.t1								
646	Hmel203030	174225	176257	+	0	NA	Intergenic	Intergenic	-5823	ID=HMEL036017g1.t1-E1;Parent=HMEL036017g1.t1								
5380	Hmel219014	296170	296396	+	0	NA	Intergenic	Intergenic	14586	ID=HMEL014058g1.t1-E9;Parent=HMEL014058g1.t1								
5807	Hmel220017	806717	807177	+	0	NA	Intergenic	Intergenic	9204	ID=HMEL035362g1.t1-E2;Parent=HMEL035362g1.t1								
5322	Hmel219003	6872156	6873202	+	0	NA	Intergenic	Intergenic	-8841	ID=HMEL034703g1.t1-E1;Parent=HMEL034703g1.t1								
4005	Hmel215006	516979	517636	+	0	NA	Intergenic	Intergenic	-10300	ID=HMEL005802g1.t1-E2;Parent=HMEL005802g1.t1								
1220	Hmel205023	9805	10360	+	0	NA	Intergenic	Intergenic	-3617	ID=HMEL020351g1.t1-E1;Parent=HMEL020351g1.t1								
5266	Hmel219003	3615727	3616995	+	0	NA	Intergenic	Intergenic	-53992	ID=HMEL003149g1.t1-E1;Parent=HMEL003149g1.t1								
3663	Hmel213062	20618	21337	+	0	NA	Intergenic	Intergenic	-15765	ID=HMEL032104g1.t1-E1;Parent=HMEL032104g1.t1								
5276	Hmel219003	3928819	3929046	+	0	NA	promoter-TSS (ID=HMEL013180g1.t1-E4;Parent=HMEL013180g1.t1)	-promoter-TSS (ID=HMEL013180g1.t1-E4;Parent=HMEL013180g1.t1)	-646	ID=HMEL013180g1.t1-E4;Parent=HMEL013180g1.t1								
2652	Hmel210011	4326798	4327380	+	0	NA	Intergenic	Intergenic	-2842	ID=HMEL030918g1.t1-E1;Parent=HMEL030918g1.t1								
4263	Hmel216001	13650	14184	+	0	NA	Intergenic	Intergenic	20075	ID=HMEL013767g1.t1-E5;Parent=HMEL013767g1.t1								
2337	Hmel210001	1181678	1182816	+	0	NA	Intergenic	Intergenic	-6866	ID=HMEL017347g1.t1-E1;Parent=HMEL017347g1.t1								
4626	Hmel217004	2130699	2131028	+	0	NA	promoter-TSS (ID=HMEL016683g1.t1-E6;Parent=HMEL016683g1.t1)	-promoter-TSS (ID=HMEL016683g1.t1-E6;Parent=HMEL016683g1.t1)	-516	ID=HMEL016683g1.t1-E6;Parent=HMEL016683g1.t1								
5014	Hmel218018	2075422	2075806	+	0	NA	Intergenic	Intergenic	5705	ID=HMEL016189g1.t1-E1;Parent=HMEL016189g1.t1								
6151	Hmel204001	2081131	2081721	+	0	NA	promoter-TSS (ID=HMEL036348g1.t1-E10;Parent=HMEL036348g1.t1)	-promoter-TSS (ID=HMEL036348g1.t1-E10;Parent=HMEL036348g1.t1)	109	ID=HMEL036348g1.t1-E9;Parent=HMEL036348g1.t1								
2243	Hmel209007	1768032	1768432	+	0	NA	promoter-TSS (ID=HMEL015720g1.t1-E1;Parent=HMEL015720g1.t1)	-promoter-TSS (ID=HMEL015720g1.t1-E1;Parent=HMEL015720g1.t1)	-181	ID=HMEL015720g1.t1-E1;Parent=HMEL015720g1.t1								
1087	Hmel205012	888747	889558	+	0	NA	Intergenic	Intergenic	10980	ID=HMEL036671g1.t1-E3;Parent=HMEL036671g1.t1								
1288	Hmel206006	639410	639596	+	0	NA	Intergenic	Intergenic	-5835	ID=HMEL012156g1.t1-E1;Parent=HMEL012156g1.t1								
810	Hmel203069	1908773	1909222	+	0	NA	Intergenic	Intergenic	2451	ID=HMEL017412g2.t1-E3;Parent=HMEL017412g2.t1								
5425	Hmel219014	2674210	2674602	+	0	NA	TTS (ID=HMEL015726g1.t1-E7;Parent=HMEL015726g1.t1)	-TTS (ID=HMEL015726g1.t1-E7;Parent=HMEL015726g1.t1)	859	ID=HMEL015727g1.t1-E2;Parent=HMEL015727g1.t1								
5885	Hmel221001	1251625	1252324	+	0	NA	Intergenic	Intergenic	1796	ID=HMEL013527g2.t1-E1;Parent=HMEL013527g2.t1								
5838	Hmel220022	362723	362937	+	0	NA	TTS (ID=HMEL010874-RA-E10;Parent=HMEL010874-RA)	-TTS (ID=HMEL010874-RA-E10;Parent=HMEL010874-RA)	659	ID=HMEL010874-RA-E10;Parent=HMEL010874-RA								
4351	Hmel216010	121205	123001	+	0	NA	Intergenic	Intergenic	-15768	ID=HmelUGT44A4-E1;Parent=HmelUGT44A4								
4166	Hmel215047	896322	897226	+	0	NA	Intergenic	Intergenic	7498	ID=HMEL032882g1.t1-E1;Parent=HMEL032882g1.t1								
33	Hmel201002	2238873	2239201	+	0	NA	Intergenic	Intergenic	-12351	ID=HMEL014991g1.t1-E1;Parent=HMEL014991g1.t1								
1587	Hmel207002	1533749	1534898	+	0	NA	promoter-TSS (ID=HMEL011235g1.t1-E5;Parent=HMEL011235g1.t1)	-promoter-TSS (ID=HMEL011235g1.t1-E5;Parent=HMEL011235g1.t1)	168	ID=HMEL011235g1.t1-E4;Parent=HMEL011235g1.t1								
5654	Hmel220005	1197107	1197398	+	0	NA	Intergenic	Intergenic	-4164	ID=HMEL035076g1.t1-E4;Parent=HMEL035076g1.t1								
4256	Hmel216001	225075	225805	+	0	NA	Intergenic	Intergenic	-20335	ID=HMEL016242g1.t1-E1;Parent=HMEL016242g1.t1								
227	Hmel201009	5309363	5309666	+	0	NA	Intergenic	Intergenic	13271	ID=HMEL011651g1.t1-E1;Parent=HMEL011651g1.t1								
6235	Hmel221045	8409	8750	+	0	NA	Intergenic	Intergenic	-7345	ID=HMEL035804g1.t1-E1;Parent=HMEL035804g1.t1								
5619	Hmel220005	23243	24275	+	0	NA	promoter-TSS (ID=HMEL007718g2.t1-E2;Parent=HMEL007718g2.t1)	-promoter-TSS (ID=HMEL007718g2.t1-E2;Parent=HMEL007718g2.t1)	78	ID=HMEL007718g2.t1-E2;Parent=HMEL007718g2.t1								
4829	Hmel218003	1380147	1380545	+	0	NA	Intergenic	Intergenic	-18897	ID=HMEL003383g1.t2-E1;Parent=HMEL003383g1.t2								
1860	Hmel207023	432365	432943	+	0	NA	Intergenic	Intergenic	8335	ID=HMEL005443g1.t1-E20;Parent=HMEL005443g1.t1								
4577	Hmel217004	701360	701739	+	0	NA	Intergenic	Intergenic	-10068	ID=HMEL033779g1.t1-E1;Parent=HMEL033779g1.t1								
5379	Hmel219014	294857	295538	+	0	NA	Intergenic	Intergenic	13500	ID=HMEL014058g1.t1-E9;Parent=HMEL014058g1.t1								
2013	Hmel208026	553999	554150	+	0	NA	Intergenic	Intergenic	1475	ID=HMEL038005g1.t1-E1;Parent=HMEL038005g1.t1								
264	Hmel201011	1230162	1230361	+	0	NA	Intergenic	Intergenic	-3370	ID=HMEL033040g1.t1-E1;Parent=HMEL033040g1.t1								
806	Hmel203069	1888249	1888538	+	0	NA	Intergenic	Intergenic	-4107	ID=HMEL017413g1.t1-E1;Parent=HMEL017413g1.t1								
4960	Hmel218015	23646	24603	+	0	NA	Intergenic	Intergenic	-18132	ID=HMEL034345g1.t1-E1;Parent=HMEL034345g1.t1								
4477	Hmel216016	83444	83638	+	0	NA	promoter-TSS (ID=HMEL007883g1.t1-E1;Parent=HMEL007883g1.t1)	-promoter-TSS (ID=HMEL007883g1.t1-E1;Parent=HMEL007883g1.t1)	4	ID=HMEL021619g1.t1-E1;Parent=HMEL021619g1.t1								
6099	Hmel221036	452320	452900	+	0	NA	promoter-TSS (ID=HMEL012226g1.t1-E1;Parent=HMEL012226g1.t1)	-promoter-TSS (ID=HMEL012226g1.t1-E1;Parent=HMEL012226g1.t1)	-969	ID=HMEL012226g1.t1-E1;Parent=HMEL012226g1.t1								
1885	Hmel207028	125200	125892	+	0	NA	Intergenic	Intergenic	24872	ID=HMEL010451g1.t1-E2;Parent=HMEL010451g1.t1								
4899	Hmel218005	847555	848779	+	0	NA	Intergenic	Intergenic	17374	ID=HMEL034265g1.t1-E2;Parent=HMEL034265g1.t1								
2905	Hmel211009	355805	356082	+	0	NA	promoter-TSS (ID=HMEL006560g1.t1-E1;Parent=HMEL006560g1.t1)	-promoter-TSS (ID=HMEL006560g1.t1-E1;Parent=HMEL006560g1.t1)	-705	ID=HMEL006560g1.t1-E1;Parent=HMEL006560g1.t1								
1817	Hmel207021	1657370	1657988	+	0	NA	Intergenic	Intergenic	-5186	ID=HMEL037706g1.t1-E1;Parent=HMEL037706g1.t1								
5300	Hmel219003	4867613	4868058	+	0	NA	promoter-TSS (ID=HMEL034653g1.t1-E2;Parent=HMEL034653g1.t1)	-promoter-TSS (ID=HMEL034653g1.t1-E2;Parent=HMEL034653g1.t1)	-153	ID=HMEL034653g1.t1-E2;Parent=HMEL034653g1.t1								
5612	Hmel220003	2915989	2916238	+	0	NA	Intergenic	Intergenic	19538	ID=HMEL012521g1.t1-E6;Parent=HMEL012521g1.t1								
6078	Hmel221030	41581	41965	+	0	NA	Intergenic	Intergenic	7459	ID=HMEL035715g1.t1-E2;Parent=HMEL035715g1.t1								
2707	Hmel210012	40332	40830	+	0	NA	Intergenic	Intergenic	-16752	ID=HMEL030953g1.t1-E1;Parent=HMEL030953g1.t1								
4854	Hmel218004	71146	71521	+	0	NA	Intergenic	Intergenic	-1750	ID=HMEL014191g1.t1-E4;Parent=HMEL014191g1.t1								
556	Hmel202006	4561068	4561250	+	0	NA	promoter-TSS (ID=HMEL014045g1.t1-E7;Parent=HMEL014045g1.t1)	-promoter-TSS (ID=HMEL014045g1.t1-E7;Parent=HMEL014045g1.t1)	-324	ID=HMEL014045g1.t1-E7;Parent=HMEL014045g1.t1								
3998	Hmel215006	254638	254864	+	0	NA	Intergenic	Intergenic	-16314	ID=HMEL006667g1.t1-E1;Parent=HMEL006667g1.t1								
717	Hmel203057	13316	13804	+	0	NA	Intergenic	Intergenic	4495	ID=HMEL036125g1.t1-E2;Parent=HMEL036125g1.t1								
2817	Hmel211004	1152618	1152926	+	0	NA	Intergenic	Intergenic	-11841	ID=HMEL031053g1.t1-E1;Parent=HMEL031053g1.t1								
671	Hmel203033	427829	429540	+	0	NA	Intergenic	Intergenic	-8041	ID=HMEL017476g1.t1-E1;Parent=HMEL017476g1.t1								
1511	Hmel206012	1504741	1505952	+	0	NA	Intergenic	Intergenic	-3112	ID=HMEL004535g1.t1-E1;Parent=HMEL004535g1.t1								
6111	Hmel221044	237670	237922	+	0	NA	promoter-TSS (ID=HMEL025040g1.t2-E1;Parent=HMEL025040g1.t2)	-promoter-TSS (ID=HMEL025040g1.t2-E1;Parent=HMEL025040g1.t2)	-621	ID=HMEL025040g1.t2-E1;Parent=HMEL025040g1.t2								
5436	Hmel219016	122895	123559	+	0	NA	promoter-TSS (ID=HMEL002475g1.t1-E4;Parent=HMEL002475g1.t1)	-promoter-TSS (ID=HMEL002475g1.t1-E4;Parent=HMEL002475g1.t1)	331	ID=HMEL002475g1.t1-E3;Parent=HMEL002475g1.t1								
5857	Hmel221001	293508	294274	+	0	NA	TTS (ID=HMEL011045-RA-E4;Parent=HMEL011045-RA)	-TTS (ID=HMEL011045-RA-E4;Parent=HMEL011045-RA)	513	ID=HMEL011045-RA-E4;Parent=HMEL011045-RA								
