PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thdown_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_5th_p05FC1_shared_5thdown_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1589	Herato1701	4543997	4544175	+	0	NA	Intergenic	Intergenic	-54309	ID=evm.model.Herato1701.106-E1;Parent=evm.model.Herato1701.106								
198	Herato0701	5795722	5796266	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.268-E5;Parent=evm.model.Herato0701.268)	-promoter-TSS (ID=evm.model.Herato0701.268-E5;Parent=evm.model.Herato0701.268)	-180	ID=evm.model.Herato0701.268-E5;Parent=evm.model.Herato0701.268								
2550	Herato0401	1647758	1648238	+	0	NA	Intergenic	Intergenic	13025	ID=evm.model.Herato0401.41-E7;Parent=evm.model.Herato0401.41								
1718	Herato1801	1277491	1278192	+	0	NA	Intergenic	Intergenic	27250	ID=evm.model.Herato1801.64-E2;Parent=evm.model.Herato1801.64								
1098	Herato1202	17497779	17497972	+	0	NA	Intergenic	Intergenic	12053	ID=evm.model.Herato1202.713-E1;Parent=evm.model.Herato1202.713								
1059	Herato1202	15056284	15056674	+	0	NA	Intergenic	Intergenic	-2727	ID=evm.model.Herato1202.577-E1;Parent=evm.model.Herato1202.577								
2683	Herato0503	8607431	8607575	+	0	NA	Intergenic	Intergenic	-86984	ID=evm.model.Herato0503.332-E1;Parent=evm.model.Herato0503.332								
913	Herato1108	14061340	14062212	+	0	NA	Intergenic	Intergenic	-4073	ID=evm.model.Herato1108.594-E4;Parent=evm.model.Herato1108.594								
2019	Herato1904	1277817	1278385	+	0	NA	Intergenic	Intergenic	17754	ID=evm.model.Herato1904.43-E2;Parent=evm.model.Herato1904.43								
2665	Herato0503	7384546	7384981	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.263-E2;Parent=evm.model.Herato0503.263)	-promoter-TSS (ID=evm.model.Herato0503.263-E2;Parent=evm.model.Herato0503.263)	-54	ID=evm.model.Herato0503.263-E2;Parent=evm.model.Herato0503.263								
202	Herato0101	10845184	10845493	+	0	NA	Intergenic	Intergenic	1793	ID=evm.model.Herato0101.310-E18;Parent=evm.model.Herato0101.310								
361	Herato0801	3816871	3817093	+	0	NA	Intergenic	Intergenic	-76175	ID=evm.model.Herato0801.83-E1;Parent=evm.model.Herato0801.83								
2468	Herato0310	385228	385900	+	0	NA	Intergenic	Intergenic	-12446	ID=evm.model.Herato0310.9-E1;Parent=evm.model.Herato0310.9								
184	Herato0701	4041934	4042068	+	0	NA	Intergenic	Intergenic	-2069	ID=evm.model.Herato0701.188-E1;Parent=evm.model.Herato0701.188								
776	Herato0101	17714887	17715235	+	0	NA	Intergenic	Intergenic	23091	ID=evm.model.Herato0101.702.2-E14;Parent=evm.model.Herato0101.702.2								
2183	Herato2001	830019	830308	+	0	NA	Intergenic	Intergenic	-102559	ID=evm.model.Herato2001.18.1.1-E1;Parent=evm.model.Herato2001.18.1.1								
1819	Herato1805	2457665	2457848	+	0	NA	Intergenic	Intergenic	-147680	ID=evm.model.Herato1805.85-E1;Parent=evm.model.Herato1805.85								
1459	Herato1507	6430804	6431571	+	0	NA	Intergenic	Intergenic	18162	ID=evm.model.Herato1507.230-E1;Parent=evm.model.Herato1507.230								
1570	Herato1701	445661	446851	+	0	NA	Intergenic	Intergenic	-9535	ID=evm.model.Herato1701.21-E1;Parent=evm.model.Herato1701.21								
2673	Herato0503	7857250	7857613	+	0	NA	Intergenic	Intergenic	2971	ID=evm.model.Herato0503.297-E3;Parent=evm.model.Herato0503.297								
1984	Herato1807	4362608	4363484	+	0	NA	Intergenic	Intergenic	-5478	ID=evm.model.Herato1807.93-E1;Parent=evm.model.Herato1807.93								
1269	Herato1301	18143907	18144246	+	0	NA	Intergenic	Intergenic	-3993	ID=evm.model.Herato1301.628-E3;Parent=evm.model.Herato1301.628								
181	Herato0701	3947449	3947738	+	0	NA	Intergenic	Intergenic	-6665	ID=evm.model.Herato0701.184-E3;Parent=evm.model.Herato0701.184								
412	Herato0821	391119	391448	+	0	NA	Intergenic	Intergenic	1820	ID=evm.model.Herato0821.22-E1;Parent=evm.model.Herato0821.22								
307	Herato0701	14810500	14810708	+	0	NA	Intergenic	Intergenic	-72229	ID=evm.model.Herato0701.666.3-E1;Parent=evm.model.Herato0701.666.3								
1671	Herato1701	10615052	10617110	+	0	NA	promoter-TSS (ID=evm.model.Herato1701.365-E4;Parent=evm.model.Herato1701.365)	-promoter-TSS (ID=evm.model.Herato1701.365-E4;Parent=evm.model.Herato1701.365)	-187	ID=evm.model.Herato1701.365-E4;Parent=evm.model.Herato1701.365								
2041	Herato1904	2707015	2707719	+	0	NA	Intergenic	Intergenic	-14012	ID=evm.model.Herato1904.88-E1;Parent=evm.model.Herato1904.88								
1467	Herato1507	7004219	7004412	+	0	NA	Intergenic	Intergenic	10693	ID=evm.model.Herato1507.248-E1;Parent=evm.model.Herato1507.248								
1463	Herato1507	6506707	6506939	+	0	NA	Intergenic	Intergenic	-6505	ID=evm.model.Herato1507.230-E4;Parent=evm.model.Herato1507.230								
830	Herato1108	8006524	8006754	+	0	NA	Intergenic	Intergenic	-3516	ID=evm.model.Herato1108.355-E1;Parent=evm.model.Herato1108.355								
154	Herato0701	1580007	1580311	+	0	NA	Intergenic	Intergenic	-3213	ID=evm.model.Herato0701.80-E2;Parent=evm.model.Herato0701.80								
2062	Herato1904	4759694	4759870	+	0	NA	Intergenic	Intergenic	-8972	ID=evm.model.Herato1904.162-E1;Parent=evm.model.Herato1904.162								
1101	Herato0101	21001638	21001857	+	0	NA	Intergenic	Intergenic	-6830	ID=evm.model.Herato0101.808.1-E1;Parent=evm.model.Herato0101.808.1								
704	Herato0101	16789504	16790363	+	0	NA	TTS (ID=evm.model.Herato0101.647-E3;Parent=evm.model.Herato0101.647)	-TTS (ID=evm.model.Herato0101.647-E3;Parent=evm.model.Herato0101.647)	249	ID=evm.model.Herato0101.647-E3;Parent=evm.model.Herato0101.647								
326	Herato0701	16479582	16480749	+	0	NA	Intergenic	Intergenic	-25114	ID=evm.model.Herato0701.702-E1;Parent=evm.model.Herato0701.702								
1462	Herato1507	6474526	6475596	+	0	NA	Intergenic	Intergenic	15299	ID=evm.model.Herato1507.230-E2;Parent=evm.model.Herato1507.230								
1165	Herato1301	4354023	4354610	+	0	NA	TTS (ID=evm.model.Herato1301.123-E6;Parent=evm.model.Herato1301.123)	-TTS (ID=evm.model.Herato1301.123-E6;Parent=evm.model.Herato1301.123)	374	ID=evm.model.Herato1301.123-E6;Parent=evm.model.Herato1301.123								
2543	Herato0401	1407119	1407765	+	0	NA	Intergenic	Intergenic	8088	ID=evm.model.Herato0401.26-E6;Parent=evm.model.Herato0401.26								
681	Herato1005	2502877	2503302	+	0	NA	promoter-TSS (ID=evm.model.Herato1005.124-E1;Parent=evm.model.Herato1005.124)	-promoter-TSS (ID=evm.model.Herato1005.124-E1;Parent=evm.model.Herato1005.124)	75	ID=evm.model.Herato1005.124-E1;Parent=evm.model.Herato1005.124								
335	Herato0701	17645595	17646551	+	0	NA	Intergenic	Intergenic	-5132	ID=evm.model.Herato0701.739.1-E1;Parent=evm.model.Herato0701.739.1								
1029	Herato1202	11654060	11654223	+	0	NA	Intergenic	Intergenic	6621	ID=evm.model.Herato1202.455-E4;Parent=evm.model.Herato1202.455								
5	Herato0508	1382595	1383061	+	0	NA	Intergenic	Intergenic	-29277	ID=evm.model.Herato0508.62-E1;Parent=evm.model.Herato0508.62								
2694	Herato0508	316172	317044	+	0	NA	Intergenic	Intergenic	-7314	ID=evm.model.Herato0508.9.1-E2;Parent=evm.model.Herato0508.9.1								
2105	Herato1905	14662	15218	+	0	NA	Intergenic	Intergenic	3253	ID=evm.model.Herato1905.2-E9;Parent=evm.model.Herato1905.2								
1957	Herato1807	3313846	3314432	+	0	NA	Intergenic	Intergenic	-11660	ID=evm.model.Herato1807.64-E1;Parent=evm.model.Herato1807.64								
554	Herato0904	435963	437402	+	0	NA	Intergenic	Intergenic	-2284	ID=evm.model.Herato0904.24-E1;Parent=evm.model.Herato0904.24								
2657	Herato0503	6536389	6536702	+	0	NA	Intergenic	Intergenic	17925	ID=evm.model.Herato0503.229-E10;Parent=evm.model.Herato0503.229								
552	Herato0101	14818615	14818821	+	0	NA	Intergenic	Intergenic	-5356	ID=evm.model.Herato0101.531-E22;Parent=evm.model.Herato0101.531								
1867	Herato1805	5890434	5891046	+	0	NA	Intergenic	Intergenic	-1950	ID=evm.model.Herato1805.158-E1;Parent=evm.model.Herato1805.158								
1623	Herato1701	6500135	6500804	+	0	NA	Intergenic	Intergenic	-21972	ID=evm.model.Herato1701.185-E1;Parent=evm.model.Herato1701.185								
2505	Herato0310	5322033	5322424	+	0	NA	Intergenic	Intergenic	114972	ID=evm.model.Herato0310.123-E3;Parent=evm.model.Herato0310.123								
74	Herato0606	3908504	3908918	+	0	NA	Intergenic	Intergenic	-2694	ID=evm.model.Herato0606.120-E1;Parent=evm.model.Herato0606.120								
890	Herato1108	11974153	11974657	+	0	NA	Intergenic	Intergenic	-9103	ID=evm.model.Herato1108.512-E2;Parent=evm.model.Herato1108.512								
440	Herato0821	3329733	3330195	+	0	NA	Intergenic	Intergenic	-19157	ID=novel_model_96-E1;Parent=novel_model_96								
1926	Herato1807	2018870	2020522	+	0	NA	Intergenic	Intergenic	-12213	ID=evm.model.Herato1807.40-E1;Parent=evm.model.Herato1807.40								
1289	Herato1301	19500642	19501898	+	0	NA	Intergenic	Intergenic	-147921	ID=evm.model.Herato1301.671-E1;Parent=evm.model.Herato1301.671								
299	Herato0701	14062404	14063218	+	0	NA	Intergenic	Intergenic	-2053	ID=evm.model.Herato0701.636.1-E2;Parent=evm.model.Herato0701.636.1								
2024	Herato1904	2456295	2456794	+	0	NA	Intergenic	Intergenic	5376	ID=evm.model.Herato1904.87-E6;Parent=evm.model.Herato1904.87								
2525	Herato0310	7798287	7798973	+	0	NA	Intergenic	Intergenic	1934	ID=evm.model.Herato0310.207.18-E5;Parent=evm.model.Herato0310.207.18								
1282	Herato1301	19042714	19044325	+	0	NA	exon (ID=evm.model.Herato1301.661-E2;Parent=evm.model.Herato1301.661, exon 1 of 1)	-exon (ID=evm.model.Herato1301.661-E2;Parent=evm.model.Herato1301.661, exon 1 of 1)	392	ID=evm.model.Herato1301.661-E2;Parent=evm.model.Herato1301.661								
1694	Herato1703	1054240	1055564	+	0	NA	Intergenic	Intergenic	-1705	ID=evm.model.Herato1703.17-E1;Parent=evm.model.Herato1703.17								
841	Herato0101	18437182	18437582	+	0	NA	Intergenic	Intergenic	-3467	ID=evm.model.Herato0101.735-E4;Parent=evm.model.Herato0101.735								
1898	Herato1807	691195	691366	+	0	NA	Intergenic	Intergenic	-7940	ID=evm.model.Herato1807.12-E2;Parent=evm.model.Herato1807.12								
1044	Herato1202	13557891	13558185	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.519-E8;Parent=evm.model.Herato1202.519)	-promoter-TSS (ID=evm.model.Herato1202.519-E8;Parent=evm.model.Herato1202.519)	-41	ID=evm.model.Herato1202.519-E8;Parent=evm.model.Herato1202.519								
1350	Herato1408	1441845	1442559	+	0	NA	promoter-TSS (ID=evm.model.Herato1408.47.2-E1;Parent=evm.model.Herato1408.47.2)	-promoter-TSS (ID=evm.model.Herato1408.47.2-E1;Parent=evm.model.Herato1408.47.2)	10	ID=evm.model.Herato1408.47.2-E1;Parent=evm.model.Herato1408.47.2								
1751	Herato1801	4054165	4054594	+	0	NA	Intergenic	Intergenic	8656	ID=evm.model.Herato1801.139.2-E14;Parent=evm.model.Herato1801.139.2								
91	Herato0606	4798940	4799660	+	0	NA	Intergenic	Intergenic	-91882	ID=evm.model.Herato0606.149.2-E1;Parent=evm.model.Herato0606.149.2								
2137	Herato1908	291485	292260	+	0	NA	Intergenic	Intergenic	8097	ID=evm.model.Herato1908.15.1-E1;Parent=evm.model.Herato1908.15.1								
1240	Herato1301	14454900	14455750	+	0	NA	Intergenic	Intergenic	2565	ID=evm.model.Herato1301.545-E1;Parent=evm.model.Herato1301.545								
467	Herato0901	1808980	1809813	+	0	NA	Intergenic	Intergenic	50320	ID=evm.model.Herato0901.63-E4;Parent=evm.model.Herato0901.63								
2121	Herato1906	880249	880658	+	0	NA	Intergenic	Intergenic	3298	ID=evm.model.Herato1906.27-E2;Parent=evm.model.Herato1906.27								
474	Herato0901	2233671	2233959	+	0	NA	Intergenic	Intergenic	56106	ID=evm.model.Herato0901.75-E2;Parent=evm.model.Herato0901.75								
481	Herato0901	3712865	3713099	+	0	NA	Intergenic	Intergenic	-6807	ID=evm.model.Herato0901.93-E4;Parent=evm.model.Herato0901.93								
867	Herato1108	10663543	10664187	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.465.2-E1;Parent=evm.model.Herato1108.465.2)	-promoter-TSS (ID=evm.model.Herato1108.465.2-E1;Parent=evm.model.Herato1108.465.2)	734	ID=evm.model.Herato1108.465.1-E1;Parent=evm.model.Herato1108.465.1								
1976	Herato1807	4234182	4234481	+	0	NA	Intergenic	Intergenic	-11266	ID=evm.model.Herato1807.90.1-E2;Parent=evm.model.Herato1807.90.1								
817	Herato1108	5823340	5823873	+	0	NA	Intergenic	Intergenic	-7828	ID=evm.model.Herato1108.245-E1;Parent=evm.model.Herato1108.245								
563	Herato1001	2009493	2009858	+	0	NA	Intergenic	Intergenic	-13649	ID=evm.model.Herato1001.69-E3;Parent=evm.model.Herato1001.69								
229	Herato0701	8629739	8630752	+	0	NA	Intergenic	Intergenic	119656	ID=evm.model.Herato0701.374.1-E2;Parent=evm.model.Herato0701.374.1								
673	Herato1005	1265877	1266142	+	0	NA	Intergenic	Intergenic	-3365	ID=evm.model.Herato1005.76.1-E2;Parent=evm.model.Herato1005.76.1								
68	Herato0606	3668068	3668466	+	0	NA	Intergenic	Intergenic	-5084	ID=evm.model.Herato0606.111-E1;Parent=evm.model.Herato0606.111								
2059	Herato1904	4723149	4723516	+	0	NA	Intergenic	Intergenic	-1021	ID=evm.model.Herato1904.165-E1;Parent=evm.model.Herato1904.165								
315	Herato0701	16086366	16086985	+	0	NA	Intergenic	Intergenic	-28352	ID=evm.model.Herato0701.693-E1;Parent=evm.model.Herato0701.693								
2514	Herato0310	5535190	5535566	+	0	NA	Intergenic	Intergenic	-22915	ID=evm.model.Herato0310.130-E1;Parent=evm.model.Herato0310.130								
1827	Herato1805	2793288	2794544	+	0	NA	Intergenic	Intergenic	-8616	ID=evm.model.Herato1805.87-E1;Parent=evm.model.Herato1805.87								
2501	Herato0310	5188192	5188448	+	0	NA	Intergenic	Intergenic	8076	ID=evm.model.Herato0310.126-E4;Parent=evm.model.Herato0310.126								
2366	Herato2001	13972065	13972774	+	0	NA	Intergenic	Intergenic	-13328	ID=evm.model.Herato2001.558-E1;Parent=evm.model.Herato2001.558								
1947	Herato1807	2911132	2911338	+	0	NA	promoter-TSS (ID=evm.model.Herato1807.60-E1;Parent=evm.model.Herato1807.60)	-promoter-TSS (ID=evm.model.Herato1807.60-E1;Parent=evm.model.Herato1807.60)	-518	ID=evm.model.Herato1807.60-E1;Parent=evm.model.Herato1807.60								
1347	Herato1408	1146665	1147248	+	0	NA	Intergenic	Intergenic	24402	ID=evm.model.Herato1408.28-E4;Parent=evm.model.Herato1408.28								
222	Herato0701	8367260	8367416	+	0	NA	Intergenic	Intergenic	8967	ID=evm.model.Herato0701.370-E3;Parent=evm.model.Herato0701.370								
1504	Herato0209	890956	891943	+	0	NA	promoter-TSS (ID=evm.model.Herato0209.61-E5;Parent=evm.model.Herato0209.61)	-promoter-TSS (ID=evm.model.Herato0209.61-E5;Parent=evm.model.Herato0209.61)	260	ID=evm.model.Herato0209.61-E4;Parent=evm.model.Herato0209.61								
25	Herato0601	1641671	1641961	+	0	NA	Intergenic	Intergenic	-3471	ID=evm.model.Herato0601.22-E2;Parent=evm.model.Herato0601.22								
2270	Herato2001	6666832	6667222	+	0	NA	Intergenic	Intergenic	-2617	ID=evm.model.Herato2001.245-E3;Parent=evm.model.Herato2001.245								
2418	Herato2101	7411855	7412211	+	0	NA	Intergenic	Intergenic	5766	ID=evm.model.Herato2101.265-E1;Parent=evm.model.Herato2101.265								
305	Herato0701	14582231	14582456	+	0	NA	TTS (ID=evm.model.Herato0701.665-E2;Parent=evm.model.Herato0701.665)	-TTS (ID=evm.model.Herato0701.665-E2;Parent=evm.model.Herato0701.665)	3045	ID=evm.model.Herato0701.665-E2;Parent=evm.model.Herato0701.665								
1253	Herato1301	16497788	16499118	+	0	NA	TTS (ID=evm.model.Herato1301.591-E3;Parent=evm.model.Herato1301.591)	-TTS (ID=evm.model.Herato1301.591-E3;Parent=evm.model.Herato1301.591)	666	ID=evm.model.Herato1301.591-E3;Parent=evm.model.Herato1301.591								
928	Herato1202	1856156	1856398	+	0	NA	Intergenic	Intergenic	-26096	ID=evm.model.Herato1202.64-E1;Parent=evm.model.Herato1202.64								
1644	Herato1701	8134815	8135227	+	0	NA	Intergenic	Intergenic	7089	ID=evm.model.Herato1701.248-E8;Parent=evm.model.Herato1701.248								
1526	Herato1603	3393429	3393669	+	0	NA	Intergenic	Intergenic	17813	ID=evm.model.Herato1603.89-E5;Parent=evm.model.Herato1603.89								
217	Herato0701	8119561	8119826	+	0	NA	Intergenic	Intergenic	9067	ID=novel_model_77.1-E1;Parent=novel_model_77.1								
2648	Herato0101	7441778	7442352	+	0	NA	Intergenic	Intergenic	-1853	ID=evm.model.Herato0101.228.3.1-E2;Parent=evm.model.Herato0101.228.3.1								
1730	Herato1801	2529156	2529433	+	0	NA	Intergenic	Intergenic	-22025	ID=evm.model.Herato1801.90-E1;Parent=evm.model.Herato1801.90								
158	Herato0701	2516806	2517232	+	0	NA	Intergenic	Intergenic	-2307	ID=evm.model.Herato0701.148.18-E4;Parent=evm.model.Herato0701.148.18								
281	Herato0701	10965225	10966031	+	0	NA	Intergenic	Intergenic	1642	ID=evm.model.Herato0701.468-E5;Parent=evm.model.Herato0701.468								
46	Herato0606	1589977	1590686	+	0	NA	promoter-TSS (ID=evm.model.Herato0606.50-E1;Parent=evm.model.Herato0606.50)	-promoter-TSS (ID=evm.model.Herato0606.50-E1;Parent=evm.model.Herato0606.50)	-95	ID=evm.model.Herato0606.50-E1;Parent=evm.model.Herato0606.50								
1851	Herato1805	4173344	4174208	+	0	NA	Intergenic	Intergenic	41830	ID=evm.model.Herato1805.107-E1;Parent=evm.model.Herato1805.107								
1316	Herato1301	21145594	21145881	+	0	NA	TTS (ID=evm.model.Herato1301.722-E2;Parent=evm.model.Herato1301.722)	-TTS (ID=evm.model.Herato1301.722-E2;Parent=evm.model.Herato1301.722)	772	ID=evm.model.Herato1301.722-E2;Parent=evm.model.Herato1301.722								
2630	Herato0101	7358133	7358729	+	0	NA	Intergenic	Intergenic	-1902	ID=evm.model.Herato0101.228.2-E2;Parent=evm.model.Herato0101.228.2								
2373	Herato2001	14292914	14293403	+	0	NA	Intergenic	Intergenic	5809	ID=evm.model.Herato2001.563-E2;Parent=evm.model.Herato2001.563								
1418	Herato1505	2029389	2029619	+	0	NA	Intergenic	Intergenic	-24517	ID=evm.model.Herato1505.84-E1;Parent=evm.model.Herato1505.84								
36	Herato0101	8581348	8583066	+	0	NA	Intergenic	Intergenic	-13985	ID=evm.model.Herato0101.256-E1;Parent=evm.model.Herato0101.256								
2263	Herato2001	6556573	6557105	+	0	NA	TTS (ID=evm.model.Herato2001.239-E3;Parent=evm.model.Herato2001.239)	-TTS (ID=evm.model.Herato2001.239-E3;Parent=evm.model.Herato2001.239)	1149	ID=evm.model.Herato2001.239-E3;Parent=evm.model.Herato2001.239								
1368	Herato1411	222188	222540	+	0	NA	TTS (ID=evm.model.Herato1411.1-E1;Parent=evm.model.Herato1411.1)	-TTS (ID=evm.model.Herato1411.1-E1;Parent=evm.model.Herato1411.1)	1941	ID=evm.model.Herato1411.1-E1;Parent=evm.model.Herato1411.1								
748	Herato1007	2675875	2676234	+	0	NA	Intergenic	Intergenic	18042	ID=evm.model.Herato1007.96-E1;Parent=evm.model.Herato1007.96								
472	Herato0901	2126494	2127476	+	0	NA	Intergenic	Intergenic	-50095	ID=evm.model.Herato0901.75-E1;Parent=evm.model.Herato0901.75								
1655	Herato1701	8813475	8813817	+	0	NA	Intergenic	Intergenic	-6145	ID=evm.model.Herato1701.271.1-E1;Parent=evm.model.Herato1701.271.1								
1943	Herato1807	2505783	2506062	+	0	NA	Intergenic	Intergenic	1929	ID=evm.model.Herato1807.49-E4;Parent=evm.model.Herato1807.49								
317	Herato0701	16214204	16215476	+	0	NA	Intergenic	Intergenic	21951	ID=evm.model.Herato0701.699-E5;Parent=evm.model.Herato0701.699								
711	Herato1007	890674	891273	+	0	NA	Intergenic	Intergenic	-3706	ID=evm.model.Herato1007.38-E4;Parent=evm.model.Herato1007.38								
132	Herato0606	11982835	11984130	+	0	NA	Intergenic	Intergenic	8086	ID=evm.model.Herato0606.440-E12;Parent=evm.model.Herato0606.440								
1791	Herato1805	966819	967097	+	0	NA	Intergenic	Intergenic	10353	ID=evm.model.Herato1805.55-E5;Parent=evm.model.Herato1805.55								
1254	Herato1301	16616932	16617413	+	0	NA	Intergenic	Intergenic	-45526	ID=evm.model.Herato1301.592-E1;Parent=evm.model.Herato1301.592								
1642	Herato1701	8122995	8123237	+	0	NA	promoter-TSS (ID=evm.model.Herato1701.248-E4;Parent=evm.model.Herato1701.248)	-promoter-TSS (ID=evm.model.Herato1701.248-E4;Parent=evm.model.Herato1701.248)	150	ID=evm.model.Herato1701.248-E3;Parent=evm.model.Herato1701.248								
892	Herato1108	11979369	11980005	+	0	NA	Intergenic	Intergenic	-3821	ID=evm.model.Herato1108.512-E2;Parent=evm.model.Herato1108.512								
2180	Herato2001	690965	691943	+	0	NA	Intergenic	Intergenic	-19010	ID=evm.model.Herato2001.17-E1;Parent=evm.model.Herato2001.17								
2071	Herato1904	4944022	4944414	+	0	NA	Intergenic	Intergenic	-3221	ID=evm.model.Herato1904.170-E6;Parent=evm.model.Herato1904.170								
1428	Herato1505	2275204	2275757	+	0	NA	Intergenic	Intergenic	30879	ID=evm.model.Herato1505.86-E14;Parent=evm.model.Herato1505.86								
546	Herato0101	14797042	14797285	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.530-E2;Parent=evm.model.Herato0101.530)	-promoter-TSS (ID=evm.model.Herato0101.530-E2;Parent=evm.model.Herato0101.530)	-695	ID=evm.model.Herato0101.530-E2;Parent=evm.model.Herato0101.530								
537	Herato0901	10607943	10608565	+	0	NA	Intergenic	Intergenic	4814	ID=evm.model.Herato0901.324-E34;Parent=evm.model.Herato0901.324								
1018	Herato1202	11246549	11247908	+	0	NA	Intergenic	Intergenic	2789	ID=evm.model.Herato1202.447.1-E2;Parent=evm.model.Herato1202.447.1								
1125	Herato1301	583039	583696	+	0	NA	Intergenic	Intergenic	3659	ID=evm.model.Herato1301.19-E2;Parent=evm.model.Herato1301.19								
2279	Herato2001	7217778	7218901	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.274-E2;Parent=evm.model.Herato2001.274)	-promoter-TSS (ID=evm.model.Herato2001.274-E2;Parent=evm.model.Herato2001.274)	-37	ID=evm.model.Herato2001.274.2-E1;Parent=evm.model.Herato2001.274.2								
1007	Herato1202	9644582	9644739	+	0	NA	Intergenic	Intergenic	-3041	ID=evm.model.Herato1202.400-E2;Parent=evm.model.Herato1202.400								
1443	Herato1505	3545877	3546293	+	0	NA	Intergenic	Intergenic	-39565	ID=evm.model.Herato1505.156-E1;Parent=evm.model.Herato1505.156								
741	Herato1007	2453435	2454059	+	0	NA	Intergenic	Intergenic	101908	ID=novel_model_133-E1;Parent=novel_model_133								
1833	Herato1805	3181501	3182177	+	0	NA	Intergenic	Intergenic	6126	ID=evm.model.Herato1805.89-E1;Parent=evm.model.Herato1805.89								
1186	Herato1301	7457138	7457859	+	0	NA	Intergenic	Intergenic	-3788	ID=evm.model.Herato1301.289-E1;Parent=evm.model.Herato1301.289								
998	Herato1202	9416490	9416679	+	0	NA	Intergenic	Intergenic	3964	ID=evm.model.Herato1202.386-E2;Parent=evm.model.Herato1202.386								
1789	Herato1805	955533	956313	+	0	NA	Intergenic	Intergenic	21388	ID=evm.model.Herato1805.55-E5;Parent=evm.model.Herato1805.55								
2240	Herato2001	4466047	4466390	+	0	NA	Intergenic	Intergenic	4688	ID=evm.model.Herato2001.145.13-E2;Parent=evm.model.Herato2001.145.13								
2076	Herato1904	5697773	5698179	+	0	NA	Intergenic	Intergenic	-5321	ID=evm.model.Herato1904.210-E1;Parent=evm.model.Herato1904.210								
529	Herato0101	14519496	14519839	+	0	NA	Intergenic	Intergenic	27656	ID=evm.model.Herato0101.515-E3;Parent=evm.model.Herato0101.515								
1545	Herato1605	1045807	1045938	+	0	NA	Intergenic	Intergenic	5742	ID=evm.model.Herato1605.34.2-E1;Parent=evm.model.Herato1605.34.2								
1838	Herato1805	3493800	3494051	+	0	NA	Intergenic	Intergenic	20250	ID=evm.model.Herato1805.101-E5;Parent=evm.model.Herato1805.101								
1773	Herato1805	370802	371161	+	0	NA	promoter-TSS (ID=evm.model.Herato1805.21-E19;Parent=evm.model.Herato1805.21)	-promoter-TSS (ID=evm.model.Herato1805.21-E19;Parent=evm.model.Herato1805.21)	-335	ID=evm.model.Herato1805.21-E19;Parent=evm.model.Herato1805.21								
1058	Herato0101	20684013	20685125	+	0	NA	Intergenic	Intergenic	-3468	ID=evm.model.Herato0101.794-E3;Parent=evm.model.Herato0101.794								
2573	Herato0101	6148568	6148901	+	0	NA	Intergenic	Intergenic	4141	ID=evm.model.Herato0101.179-E3;Parent=evm.model.Herato0101.179								
987	Herato0101	19840940	19841339	+	0	NA	TTS (ID=evm.model.Herato0101.767-E1;Parent=evm.model.Herato0101.767)	-TTS (ID=evm.model.Herato0101.767-E1;Parent=evm.model.Herato0101.767)	608	ID=evm.model.Herato0101.767-E1;Parent=evm.model.Herato0101.767								
1150	Herato0101	21584424	21585295	+	0	NA	TTS (ID=evm.model.Herato0101.834-E1;Parent=evm.model.Herato0101.834)	-TTS (ID=evm.model.Herato0101.834-E1;Parent=evm.model.Herato0101.834)	982	ID=evm.model.Herato0101.834-E1;Parent=evm.model.Herato0101.834								
1535	Herato1603	3965530	3965755	+	0	NA	Intergenic	Intergenic	-3340	ID=evm.model.Herato1603.118.1-E3;Parent=evm.model.Herato1603.118.1								
2390	Herato2001	19359474	19360234	+	0	NA	Intergenic	Intergenic	2834	ID=evm.model.Herato2001.743.1-E3;Parent=evm.model.Herato2001.743.1								
1335	Herato0204	525081	526432	+	0	NA	Intergenic	Intergenic	-11205	ID=evm.model.Herato0204.27-E4;Parent=evm.model.Herato0204.27								
908	Herato0101	18862418	18863173	+	0	NA	Intergenic	Intergenic	-20394	ID=evm.model.Herato0101.747-E1;Parent=evm.model.Herato0101.747								
2580	Herato0101	6251293	6252305	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.179-E4;Parent=evm.model.Herato0101.179)	-promoter-TSS (ID=evm.model.Herato0101.179-E4;Parent=evm.model.Herato0101.179)	-422	ID=evm.model.Herato0101.179-E4;Parent=evm.model.Herato0101.179								
284	Herato0701	10982713	10983008	+	0	NA	Intergenic	Intergenic	-15590	ID=evm.model.Herato0701.468-E5;Parent=evm.model.Herato0701.468								
