PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thup_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_5th_p05FC1_shared_5thup_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
509	Herato0101	1578884	1579595	+	0	NA	Intergenic	Intergenic	3415	ID=evm.model.Herato0101.39.2-E1;Parent=evm.model.Herato0101.39.2								
1015	Herato1301	12350034	12350378	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.483-E1;Parent=evm.model.Herato1301.483)	-promoter-TSS (ID=evm.model.Herato1301.483-E1;Parent=evm.model.Herato1301.483)	-78	ID=evm.model.Herato1301.483-E1;Parent=evm.model.Herato1301.483								
367	Herato0821	704901	705705	+	0	NA	Intergenic	Intergenic	16592	ID=novel_model_97-E1;Parent=novel_model_97								
976	Herato1301	5579385	5580566	+	0	NA	Intergenic	Intergenic	1264	ID=evm.model.Herato1301.199.1-E3;Parent=evm.model.Herato1301.199.1								
716	Herato1108	10171021	10172245	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.452-E2;Parent=evm.model.Herato1108.452)	-promoter-TSS (ID=evm.model.Herato1108.452-E2;Parent=evm.model.Herato1108.452)	-37	ID=evm.model.Herato1108.452.1-E1;Parent=evm.model.Herato1108.452.1								
1886	Herato2101	7460027	7460804	+	0	NA	Intergenic	Intergenic	17445	ID=evm.model.Herato2101.266-E10;Parent=evm.model.Herato2101.266								
1821	Herato2001	12403706	12404337	+	0	NA	Intergenic	Intergenic	-6028	ID=evm.model.Herato2001.468-E1;Parent=evm.model.Herato2001.468								
1972	Herato0310	5090759	5091038	+	0	NA	Intergenic	Intergenic	-1201	ID=evm.model.Herato0310.124-E1;Parent=evm.model.Herato0310.124								
940	Herato1301	1213350	1213823	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.35-E3;Parent=evm.model.Herato1301.35)	-promoter-TSS (ID=evm.model.Herato1301.35-E3;Parent=evm.model.Herato1301.35)	-467	ID=evm.model.Herato1301.35.2-E3;Parent=evm.model.Herato1301.35.2								
685	Herato1108	6907780	6908108	+	0	NA	Intergenic	Intergenic	-11708	ID=evm.model.Herato1108.304-E1;Parent=evm.model.Herato1108.304								
743	Herato0101	18866541	18866876	+	0	NA	Intergenic	Intergenic	-16481	ID=evm.model.Herato0101.747-E1;Parent=evm.model.Herato0101.747								
21	Herato0101	8382778	8383080	+	0	NA	Intergenic	Intergenic	31301	ID=evm.model.Herato0101.251-E7;Parent=evm.model.Herato0101.251								
523	Herato1005	849054	849820	+	0	NA	Intergenic	Intergenic	-9393	ID=evm.model.Herato1005.55-E3;Parent=evm.model.Herato1005.55								
1460	Herato1805	2781600	2782142	+	0	NA	Intergenic	Intergenic	-20661	ID=evm.model.Herato1805.87-E1;Parent=evm.model.Herato1805.87								
453	Herato0101	1437840	1439258	+	0	NA	Intergenic	Intergenic	-12504	ID=evm.model.Herato0101.34-E1;Parent=evm.model.Herato0101.34								
723	Herato1108	11096031	11096931	+	0	NA	Intergenic	Intergenic	7884	ID=evm.model.Herato1108.479-E1;Parent=evm.model.Herato1108.479								
1202	Herato1507	6962995	6964155	+	0	NA	Intergenic	Intergenic	-30047	ID=evm.model.Herato1507.248-E1;Parent=evm.model.Herato1507.248								
351	Herato0801	5354578	5354873	+	0	NA	TTS (ID=evm.model.Herato0801.121.1-E1;Parent=evm.model.Herato0801.121.1)	-TTS (ID=evm.model.Herato0801.121.1-E1;Parent=evm.model.Herato0801.121.1)	1272	ID=evm.model.Herato0801.121.1-E1;Parent=evm.model.Herato0801.121.1								
1040	Herato1301	16967453	16967982	+	0	NA	Intergenic	Intergenic	3905	ID=evm.model.Herato1301.603-E1;Parent=evm.model.Herato1301.603								
595	Herato1007	2040020	2041446	+	0	NA	Intergenic	Intergenic	-9179	ID=evm.model.Herato1007.86.2-E2;Parent=evm.model.Herato1007.86.2								
1755	Herato2001	3874497	3875279	+	0	NA	Intergenic	Intergenic	5472	ID=evm.model.Herato2001.130-E3;Parent=evm.model.Herato2001.130								
1138	Herato1411	3954697	3955572	+	0	NA	Intergenic	Intergenic	9997	ID=evm.model.Herato1411.154_evm.model.Herato1411.155-E5;Parent=evm.model.Herato1411.154_evm.model.Herato1411.155								
488	Herato1003	4176324	4176716	+	0	NA	Intergenic	Intergenic	-3360	ID=evm.model.Herato1003.126-E2;Parent=evm.model.Herato1003.126								
1854	Herato2101	1173455	1174203	+	0	NA	Intergenic	Intergenic	5534	ID=evm.model.Herato2101.44-E2;Parent=evm.model.Herato2101.44								
1012	Herato1301	12117905	12118989	+	0	NA	Intergenic	Intergenic	-31429	ID=evm.model.Herato1301.479-E2;Parent=evm.model.Herato1301.479								
1498	Herato1805	5710246	5711359	+	0	NA	Intergenic	Intergenic	-6592	ID=evm.model.Herato1805.157-E2;Parent=evm.model.Herato1805.157								
835	Herato1202	11303134	11303540	+	0	NA	Intergenic	Intergenic	2313	ID=evm.model.Herato1202.449-E1;Parent=evm.model.Herato1202.449								
1267	Herato1603	3825505	3826254	+	0	NA	Intergenic	Intergenic	25238	ID=evm.model.Herato1603.117-E4;Parent=evm.model.Herato1603.117								
1032	Herato0101	2237990	2238210	+	0	NA	Intergenic	Intergenic	3774	ID=evm.model.Herato0101.61-E1;Parent=evm.model.Herato0101.61								
113	Herato0606	7409307	7409759	+	0	NA	Intergenic	Intergenic	-3241	ID=evm.model.Herato0606.254-E6;Parent=evm.model.Herato0606.254								
901	Herato1202	17770101	17770693	+	0	NA	Intergenic	Intergenic	-22815	ID=evm.model.Herato1202.729-E3;Parent=evm.model.Herato1202.729								
152	Herato0701	1808233	1808504	+	0	NA	TTS (ID=evm.model.Herato0701.100-E3;Parent=evm.model.Herato0701.100)	-TTS (ID=evm.model.Herato0701.100-E3;Parent=evm.model.Herato0701.100)	709	ID=evm.model.Herato0701.100-E3;Parent=evm.model.Herato0701.100								
342	Herato0801	4039157	4040580	+	0	NA	Intergenic	Intergenic	-24641	ID=evm.model.Herato0801.85-E1;Parent=evm.model.Herato0801.85								
1419	Herato1801	4425300	4425802	+	0	NA	Intergenic	Intergenic	6550	ID=evm.model.Herato1801.152-E2;Parent=evm.model.Herato1801.152								
862	Herato1202	14655005	14655745	+	0	NA	Intergenic	Intergenic	-19169	ID=evm.model.Herato1202.568-E1;Parent=evm.model.Herato1202.568								
341	Herato0801	4010740	4011021	+	0	NA	Intergenic	Intergenic	-51650	ID=evm.model.Herato0801.84-E1;Parent=evm.model.Herato0801.84								
1056	Herato1301	18290892	18291074	+	0	NA	Intergenic	Intergenic	47712	ID=evm.model.Herato1301.631-E15;Parent=evm.model.Herato1301.631								
64	Herato0606	2878200	2879177	+	0	NA	Intergenic	Intergenic	3555	ID=evm.model.Herato0606.89-E3;Parent=evm.model.Herato0606.89								
1473	Herato1805	3072169	3072851	+	0	NA	Intergenic	Intergenic	-45880	ID=evm.model.Herato1805.88.1-E1;Parent=evm.model.Herato1805.88.1								
881	Herato1202	15995990	15997125	+	0	NA	Intergenic	Intergenic	-1781	ID=evm.model.Herato1202.618.1-E1;Parent=evm.model.Herato1202.618.1								
45	Herato0606	1396858	1397230	+	0	NA	Intergenic	Intergenic	-81553	ID=evm.model.Herato0606.49-E1;Parent=evm.model.Herato0606.49								
405	Herato0901	2124802	2125392	+	0	NA	Intergenic	Intergenic	-51983	ID=evm.model.Herato0901.75-E1;Parent=evm.model.Herato0901.75								
507	Herato1003	6055097	6055321	+	0	NA	Intergenic	Intergenic	-7084	ID=evm.model.Herato1003.199.4-E1;Parent=evm.model.Herato1003.199.4								
1173	Herato1505	2917853	2918544	+	0	NA	Intergenic	Intergenic	-5070	ID=evm.model.Herato1505.124.1-E1;Parent=evm.model.Herato1505.124.1								
1963	Herato0310	3423552	3424196	+	0	NA	Intergenic	Intergenic	3955	ID=evm.model.Herato0310.74.6-E1;Parent=evm.model.Herato0310.74.6								
309	Herato0701	17907817	17908734	+	0	NA	Intergenic	Intergenic	61954	ID=evm.model.Herato0701.743-E3;Parent=evm.model.Herato0701.743								
1734	Herato2001	1904370	1904730	+	0	NA	Intergenic	Intergenic	2526	ID=evm.model.Herato2001.38-E2;Parent=evm.model.Herato2001.38								
2085	Herato0503	4224158	4224792	+	0	NA	Intergenic	Intergenic	10175	ID=evm.model.Herato0503.130-E2;Parent=evm.model.Herato0503.130								
1733	Herato2001	1898896	1899855	+	0	NA	Intergenic	Intergenic	7701	ID=evm.model.Herato2001.38-E2;Parent=evm.model.Herato2001.38								
2113	Herato0503	8127496	8128025	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.303-E3;Parent=evm.model.Herato0503.303)	-promoter-TSS (ID=evm.model.Herato0503.303-E3;Parent=evm.model.Herato0503.303)	-51	ID=evm.model.Herato0503.303-E3;Parent=evm.model.Herato0503.303								
1258	Herato1603	2873505	2873790	+	0	NA	Intergenic	Intergenic	46397	ID=evm.model.Herato1603.83-E1;Parent=evm.model.Herato1603.83								
824	Herato1202	9867985	9868458	+	0	NA	Intergenic	Intergenic	-48077	ID=evm.model.Herato1202.407-E1;Parent=evm.model.Herato1202.407								
120	Herato0101	9716054	9716554	+	0	NA	Intergenic	Intergenic	-13523	ID=evm.model.Herato0101.286-E1;Parent=evm.model.Herato0101.286								
1148	Herato1411	6553934	6554229	+	0	NA	Intergenic	Intergenic	5329	ID=evm.model.Herato1411.243-E1;Parent=evm.model.Herato1411.243								
254	Herato0701	13831119	13832059	+	0	NA	Intergenic	Intergenic	9379	ID=evm.model.Herato0701.627-E2;Parent=evm.model.Herato0701.627								
392	Herato0901	896450	897312	+	0	NA	Intergenic	Intergenic	-10406	ID=evm.model.Herato0901.36.6-E1;Parent=evm.model.Herato0901.36.6								
1321	Herato1701	5901560	5902097	+	0	NA	Intergenic	Intergenic	-8339	ID=evm.model.Herato1701.164-E11;Parent=evm.model.Herato1701.164								
1987	Herato0310	6077462	6077944	+	0	NA	Intergenic	Intergenic	1529	ID=evm.model.Herato0310.155-E1;Parent=evm.model.Herato0310.155								
813	Herato0101	19907342	19907844	+	0	NA	Intergenic	Intergenic	-6307	ID=evm.model.Herato0101.768-E1;Parent=evm.model.Herato0101.768								
2014	Herato0411	991764	992392	+	0	NA	Intergenic	Intergenic	23334	ID=evm.model.Herato0411.16-E1;Parent=evm.model.Herato0411.16								
644	Herato0101	17718840	17719105	+	0	NA	Intergenic	Intergenic	27002	ID=evm.model.Herato0101.702.2-E14;Parent=evm.model.Herato0101.702.2								
851	Herato1202	13193049	13193450	+	0	NA	Intergenic	Intergenic	-15815	ID=evm.model.Herato1202.496-E1;Parent=evm.model.Herato1202.496								
1820	Herato2001	12335193	12335515	+	0	NA	Intergenic	Intergenic	-10341	ID=evm.model.Herato2001.470-E1;Parent=evm.model.Herato2001.470								
399	Herato0901	1720806	1721272	+	0	NA	Intergenic	Intergenic	-23599	ID=evm.model.Herato0901.62-E3;Parent=evm.model.Herato0901.62								
2110	Herato0503	7932093	7933241	+	0	NA	Intergenic	Intergenic	-75250	ID=evm.model.Herato0503.298-E1;Parent=evm.model.Herato0503.298								
1811	Herato2001	11623936	11624385	+	0	NA	Intergenic	Intergenic	4331	ID=evm.model.Herato2001.441-E4;Parent=evm.model.Herato2001.441								
436	Herato0901	6697422	6697990	+	0	NA	Intergenic	Intergenic	-1204	ID=evm.model.Herato0901.231.3-E3;Parent=evm.model.Herato0901.231.3								
1342	Herato1701	8760383	8761001	+	0	NA	Intergenic	Intergenic	1665	ID=evm.model.Herato1701.270-E4;Parent=evm.model.Herato1701.270								
1968	Herato0101	4572444	4572766	+	0	NA	Intergenic	Intergenic	-5103	ID=evm.model.Herato0101.137-E3;Parent=evm.model.Herato0101.137								
1802	Herato2001	10799508	10799873	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.420-E3;Parent=evm.model.Herato2001.420)	-promoter-TSS (ID=evm.model.Herato2001.420-E3;Parent=evm.model.Herato2001.420)	0	ID=evm.model.Herato2001.420-E3;Parent=evm.model.Herato2001.420								
94	Herato0606	4157925	4158441	+	0	NA	Intergenic	Intergenic	-2125	ID=evm.model.Herato0606.128-E1;Parent=evm.model.Herato0606.128								
213	Herato0701	8140936	8143033	+	0	NA	Intergenic	Intergenic	-4836	ID=novel_model_76-E2;Parent=novel_model_76								
1450	Herato1805	2407107	2407500	+	0	NA	Intergenic	Intergenic	-97227	ID=evm.model.Herato1805.85-E1;Parent=evm.model.Herato1805.85								
568	Herato0101	16775414	16775992	+	0	NA	Intergenic	Intergenic	-2006	ID=evm.model.Herato0101.645-E2;Parent=evm.model.Herato0101.645								
1129	Herato1411	1619356	1620019	+	0	NA	Intergenic	Intergenic	-4125	ID=evm.model.Herato1411.45-E4;Parent=evm.model.Herato1411.45								
791	Herato1202	3437564	3438320	+	0	NA	Intergenic	Intergenic	-1337	ID=evm.model.Herato1202.116.2-E2;Parent=evm.model.Herato1202.116.2								
1143	Herato1411	4607660	4608614	+	0	NA	exon (ID=evm.model.Herato1411.178-E1;Parent=evm.model.Herato1411.178, exon 1 of 1)	-exon (ID=evm.model.Herato1411.178-E1;Parent=evm.model.Herato1411.178, exon 1 of 1)	206	ID=evm.model.Herato1411.178-E1;Parent=evm.model.Herato1411.178								
1355	Herato1701	10708796	10709500	+	0	NA	promoter-TSS (ID=evm.model.Herato1701.375-E5;Parent=evm.model.Herato1701.375)	-promoter-TSS (ID=evm.model.Herato1701.375-E5;Parent=evm.model.Herato1701.375)	-238	ID=evm.model.Herato1701.375-E5;Parent=evm.model.Herato1701.375								
1961	Herato0310	3343447	3344421	+	0	NA	Intergenic	Intergenic	1868	ID=evm.model.Herato0310.68.1.1-E3;Parent=evm.model.Herato0310.68.1.1								
386	Herato0821	2710050	2710871	+	0	NA	Intergenic	Intergenic	9521	ID=evm.model.Herato0821.103-E17;Parent=evm.model.Herato0821.103								
916	Herato1202	19635326	19636168	+	0	NA	Intergenic	Intergenic	7044	ID=evm.model.Herato1202.798-E4;Parent=evm.model.Herato1202.798								
2043	Herato0411	5343195	5343624	+	0	NA	Intergenic	Intergenic	-10253	ID=evm.model.Herato0411.131-E6;Parent=evm.model.Herato0411.131								
1457	Herato1805	2684366	2685583	+	0	NA	Intergenic	Intergenic	36713	ID=novel_model_238_novel_model_241-E2;Parent=novel_model_238_novel_model_241								
200	Herato0701	4630104	4630427	+	0	NA	Intergenic	Intergenic	13766	ID=evm.model.Herato0701.220.1-E5;Parent=evm.model.Herato0701.220.1								
1261	Herato1603	3435118	3435446	+	0	NA	Intergenic	Intergenic	1935	ID=evm.model.Herato1603.89-E2;Parent=evm.model.Herato1603.89								
1352	Herato1701	10583014	10583267	+	0	NA	Intergenic	Intergenic	14181	ID=evm.model.Herato1701.363-E18;Parent=evm.model.Herato1701.363								
329	Herato0801	110283	112066	+	0	NA	Intergenic	Intergenic	19353	ID=evm.model.Herato0801.5-E4;Parent=evm.model.Herato0801.5								
525	Herato1005	856260	858054	+	0	NA	Intergenic	Intergenic	-1673	ID=evm.model.Herato1005.55-E3;Parent=evm.model.Herato1005.55								
1621	Herato1904	1330013	1330747	+	0	NA	Intergenic	Intergenic	-1274	ID=evm.model.Herato1904.47-E3;Parent=evm.model.Herato1904.47								
27	Herato0601	2796166	2796820	+	0	NA	Intergenic	Intergenic	-10826	ID=evm.model.Herato0601.63-E1;Parent=evm.model.Herato0601.63								
787	Herato1202	3094847	3095485	+	0	NA	Intergenic	Intergenic	-7349	ID=evm.model.Herato1202.103-E2;Parent=evm.model.Herato1202.103								
1902	Herato2101	11903237	11903935	+	0	NA	Intergenic	Intergenic	8081	ID=evm.model.Herato2101.397-E1;Parent=evm.model.Herato2101.397								
1561	Herato1807	2460954	2461164	+	0	NA	Intergenic	Intergenic	3950	ID=evm.model.Herato1807.48-E4;Parent=evm.model.Herato1807.48								
161	Herato0701	2265940	2266522	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.138-E1;Parent=evm.model.Herato0701.138)	-promoter-TSS (ID=evm.model.Herato0701.138-E1;Parent=evm.model.Herato0701.138)	51	ID=evm.model.Herato0701.138-E1;Parent=evm.model.Herato0701.138								
1866	Herato2101	3070185	3071407	+	0	NA	Intergenic	Intergenic	-11299	ID=evm.model.Herato2101.111-E1;Parent=evm.model.Herato2101.111								
2001	Herato0401	1399409	1400168	+	0	NA	Intergenic	Intergenic	15742	ID=evm.model.Herato0401.26-E6;Parent=evm.model.Herato0401.26								
1310	Herato1701	4179336	4179690	+	0	NA	TTS (ID=evm.model.Herato1701.95-E4;Parent=evm.model.Herato1701.95)	-TTS (ID=evm.model.Herato1701.95-E4;Parent=evm.model.Herato1701.95)	825	ID=evm.model.Herato1701.95-E4;Parent=evm.model.Herato1701.95								
109	Herato0606	6887661	6888204	+	0	NA	Intergenic	Intergenic	4906	ID=evm.model.Herato0606.237-E1;Parent=evm.model.Herato0606.237								
2115	Herato0503	8623811	8624395	+	0	NA	Intergenic	Intergenic	-103584	ID=evm.model.Herato0503.332-E1;Parent=evm.model.Herato0503.332								
1239	Herato1603	1529876	1530246	+	0	NA	Intergenic	Intergenic	5528	ID=evm.model.Herato1603.129-E1;Parent=evm.model.Herato1603.129								
769	Herato0101	19380136	19380512	+	0	NA	Intergenic	Intergenic	-29238	ID=evm.model.Herato0101.760-E1;Parent=evm.model.Herato0101.760								
1556	Herato1807	2005709	2007337	+	0	NA	Intergenic	Intergenic	-25386	ID=evm.model.Herato1807.40-E1;Parent=evm.model.Herato1807.40								
1181	Herato1507	359613	359861	+	0	NA	Intergenic	Intergenic	4777	ID=evm.model.Herato1507.18-E1;Parent=evm.model.Herato1507.18								
1809	Herato2001	11575203	11575715	+	0	NA	Intergenic	Intergenic	-14424	ID=evm.model.Herato2001.440.6.3-E1;Parent=evm.model.Herato2001.440.6.3								
803	Herato0101	19679160	19680275	+	0	NA	Intergenic	Intergenic	62993	ID=evm.model.Herato0101.766-E2;Parent=evm.model.Herato0101.766								
1766	Herato2001	5242187	5242814	+	0	NA	Intergenic	Intergenic	10075	ID=evm.model.Herato2001.178-E3;Parent=evm.model.Herato2001.178								
60	Herato0606	2014664	2015464	+	0	NA	Intergenic	Intergenic	16619	ID=evm.model.Herato0606.61.1-E2;Parent=evm.model.Herato0606.61.1								
1245	Herato1603	2306225	2306496	+	0	NA	Intergenic	Intergenic	36034	ID=evm.model.Herato1603.63-E4;Parent=evm.model.Herato1603.63								
1400	Herato1801	2877756	2878125	+	0	NA	Intergenic	Intergenic	1412	ID=evm.model.Herato1801.100-E3;Parent=evm.model.Herato1801.100								
1067	Herato1301	19494913	19495403	+	0	NA	Intergenic	Intergenic	-141809	ID=evm.model.Herato1301.671-E1;Parent=evm.model.Herato1301.671								
691	Herato0101	1780146	1780661	+	0	NA	Intergenic	Intergenic	3411	ID=evm.model.Herato0101.43.1-E7;Parent=evm.model.Herato0101.43.1								
1676	Herato1908	156050	156588	+	0	NA	Intergenic	Intergenic	-2568	ID=evm.model.Herato1908.6.2-E1;Parent=evm.model.Herato1908.6.2								
1388	Herato1801	1939217	1939827	+	0	NA	Intergenic	Intergenic	-6747	ID=evm.model.Herato1801.83.1-E2;Parent=evm.model.Herato1801.83.1								
346	Herato0801	4555340	4555641	+	0	NA	Intergenic	Intergenic	11021	ID=evm.model.Herato0801.101-E21;Parent=evm.model.Herato0801.101								
911	Herato1202	18824987	18825690	+	0	NA	Intergenic	Intergenic	1927	ID=evm.model.Herato1202.761-E4;Parent=evm.model.Herato1202.761								
427	Herato0901	5182716	5183298	+	0	NA	exon (ID=evm.model.Herato0901.142-E1;Parent=evm.model.Herato0901.142, exon 1 of 1)	-exon (ID=evm.model.Herato0901.142-E1;Parent=evm.model.Herato0901.142, exon 1 of 1)	153	ID=evm.model.Herato0901.142-E1;Parent=evm.model.Herato0901.142								
2072	Herato0503	3565830	3566049	+	0	NA	Intergenic	Intergenic	26603	ID=evm.model.Herato0503.119-E2;Parent=evm.model.Herato0503.119								
82	Herato0606	3682688	3683347	+	0	NA	Intergenic	Intergenic	4717	ID=evm.model.Herato0606.111-E2;Parent=evm.model.Herato0606.111								
650	Herato1108	2915480	2915969	+	0	NA	Intergenic	Intergenic	5840	ID=evm.model.Herato1108.89-E2;Parent=evm.model.Herato1108.89								
1154	Herato1411	6825702	6826412	+	0	NA	Intergenic	Intergenic	-1875	ID=evm.model.Herato1411.253-E1;Parent=evm.model.Herato1411.253								
895	Herato1202	17373812	17374096	+	0	NA	Intergenic	Intergenic	-15101	ID=evm.model.Herato1202.710-E1;Parent=evm.model.Herato1202.710								
1763	Herato2001	5169526	5169927	+	0	NA	Intergenic	Intergenic	5867	ID=evm.model.Herato2001.174.2-E1;Parent=evm.model.Herato2001.174.2								
69	Herato0606	3025944	3026850	+	0	NA	Intergenic	Intergenic	2176	ID=evm.model.Herato0606.94-E4;Parent=evm.model.Herato0606.94								
1910	Herato2101	13695060	13695691	+	0	NA	Intergenic	Intergenic	-2246	ID=evm.model.Herato2101.432-E2;Parent=evm.model.Herato2101.432								
1157	Herato1505	885487	886265	+	0	NA	promoter-TSS (ID=evm.model.Herato1505.161-E1;Parent=evm.model.Herato1505.161)	-promoter-TSS (ID=evm.model.Herato1505.161-E1;Parent=evm.model.Herato1505.161)	-22	ID=evm.model.Herato1505.161-E1;Parent=evm.model.Herato1505.161								
1470	Herato1805	3053014	3053803	+	0	NA	Intergenic	Intergenic	-26778	ID=evm.model.Herato1805.88.1-E1;Parent=evm.model.Herato1805.88.1								
224	Herato0701	8909055	8909451	+	0	NA	Intergenic	Intergenic	125906	ID=evm.model.Herato0701.375-E9;Parent=evm.model.Herato0701.375								
2100	Herato0503	6713754	6714362	+	0	NA	Intergenic	Intergenic	1408	ID=evm.model.Herato0503.231-E3;Parent=evm.model.Herato0503.231								
1982	Herato0310	5384463	5385415	+	0	NA	Intergenic	Intergenic	-58973	ID=evm.model.Herato0310.128-E1;Parent=evm.model.Herato0310.128								
1006	Herato1301	11518878	11519210	+	0	NA	Intergenic	Intergenic	-24838	ID=evm.model.Herato1301.458-E3;Parent=evm.model.Herato1301.458								
426	Herato0901	5111909	5112823	+	0	NA	Intergenic	Intergenic	2333	ID=evm.model.Herato0901.138-E7;Parent=evm.model.Herato0901.138								
996	Herato1301	7983796	7984412	+	0	NA	Intergenic	Intergenic	-9337	ID=evm.model.Herato1301.339-E1;Parent=evm.model.Herato1301.339								
1435	Herato0101	3048305	3048762	+	0	NA	Intergenic	Intergenic	3221	ID=evm.model.Herato0101.101-E1;Parent=evm.model.Herato0101.101								
1840	Herato2001	16760017	16761593	+	0	NA	Intergenic	Intergenic	-3647	ID=evm.model.Herato2001.649-E2;Parent=evm.model.Herato2001.649								
279	Herato0101	11657560	11657972	+	0	NA	Intergenic	Intergenic	-6415	ID=evm.model.Herato0101.356-E1;Parent=evm.model.Herato0101.356								
2069	Herato0503	3313220	3313671	+	0	NA	Intergenic	Intergenic	12157	ID=evm.model.Herato0503.116-E2;Parent=evm.model.Herato0503.116								
956	Herato1301	2419280	2419767	+	0	NA	Intergenic	Intergenic	6132	ID=evm.model.Herato1301.60-E4;Parent=evm.model.Herato1301.60								
483	Herato1003	265398	265719	+	0	NA	promoter-TSS (ID=evm.model.Herato1003.5-E1;Parent=evm.model.Herato1003.5)	-promoter-TSS (ID=evm.model.Herato1003.5-E1;Parent=evm.model.Herato1003.5)	-45	ID=evm.model.Herato1003.5-E1;Parent=evm.model.Herato1003.5								
498	Herato1003	5457552	5457978	+	0	NA	Intergenic	Intergenic	14497	ID=evm.model.Herato1003.176.1-E6;Parent=evm.model.Herato1003.176.1								
629	Herato1102	365048	365282	+	0	NA	promoter-TSS (ID=evm.model.Herato1102.10-E2;Parent=evm.model.Herato1102.10)	-promoter-TSS (ID=evm.model.Herato1102.10-E2;Parent=evm.model.Herato1102.10)	-24	ID=evm.model.Herato1102.10.2-E2;Parent=evm.model.Herato1102.10.2								
2055	Herato0503	300109	300303	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.7-E16;Parent=evm.model.Herato0503.7)	-promoter-TSS (ID=evm.model.Herato0503.7-E16;Parent=evm.model.Herato0503.7)	595	ID=evm.model.Herato0503.7-E15;Parent=evm.model.Herato0503.7								
1487	Herato1805	3772924	3773473	+	0	NA	Intergenic	Intergenic	21912	ID=evm.model.Herato1805.104-E1;Parent=evm.model.Herato1805.104								
372	Herato0821	1020593	1020924	+	0	NA	Intergenic	Intergenic	68391	ID=evm.model.Herato0821.46-E12;Parent=evm.model.Herato0821.46								
2028	Herato0411	2977977	2978412	+	0	NA	Intergenic	Intergenic	5495	ID=evm.model.Herato0411.56-E9;Parent=evm.model.Herato0411.56								
1540	Herato1807	693404	693855	+	0	NA	Intergenic	Intergenic	-10289	ID=evm.model.Herato1807.12-E2;Parent=evm.model.Herato1807.12								
1661	Herato1904	6714073	6715450	+	0	NA	Intergenic	Intergenic	-5416	ID=evm.model.Herato1904.242-E1;Parent=evm.model.Herato1904.242								
1330	Herato1701	6264069	6264502	+	0	NA	Intergenic	Intergenic	-23056	ID=evm.model.Herato1701.175.1-E1;Parent=evm.model.Herato1701.175.1								
1284	Herato1605	1755330	1755637	+	0	NA	promoter-TSS (ID=evm.model.Herato1605.54-E2;Parent=evm.model.Herato1605.54)	-promoter-TSS (ID=evm.model.Herato1605.54-E2;Parent=evm.model.Herato1605.54)	-63	ID=evm.model.Herato1605.54-E2;Parent=evm.model.Herato1605.54								
1606	Herato1901	3089827	3090124	+	0	NA	Intergenic	Intergenic	-8083	ID=evm.model.Herato1901.105-E1;Parent=evm.model.Herato1901.105								
2064	Herato0101	7285835	7286502	+	0	NA	Intergenic	Intergenic	11564	ID=evm.model.Herato0101.227-E1;Parent=evm.model.Herato0101.227								
1160	Herato1505	1022512	1022749	+	0	NA	Intergenic	Intergenic	-17452	ID=evm.model.Herato1505.41.2-E2;Parent=evm.model.Herato1505.41.2								
99	Herato0606	4531663	4531954	+	0	NA	Intergenic	Intergenic	-3846	ID=evm.model.Herato0606.142-E2;Parent=evm.model.Herato0606.142								
869	Herato1202	14886234	14886574	+	0	NA	Intergenic	Intergenic	-21096	ID=evm.model.Herato1202.575.1-E1;Parent=evm.model.Herato1202.575.1								
1592	Herato1901	2208144	2208360	+	0	NA	TTS (ID=evm.model.Herato1901.64-E14;Parent=evm.model.Herato1901.64)	-TTS (ID=evm.model.Herato1901.64-E14;Parent=evm.model.Herato1901.64)	649	ID=evm.model.Herato1901.64.1-E13;Parent=evm.model.Herato1901.64.1								
1933	Herato0301	3323498	3324205	+	0	NA	Intergenic	Intergenic	32589	ID=evm.model.Herato0301.89-E4;Parent=evm.model.Herato0301.89								
2022	Herato0411	1355251	1355517	+	0	NA	Intergenic	Intergenic	-33398	ID=evm.model.Herato0411.29-E4;Parent=evm.model.Herato0411.29								
790	Herato1202	3435059	3435653	+	0	NA	Intergenic	Intergenic	1249	ID=evm.model.Herato1202.116-E2;Parent=evm.model.Herato1202.116								
533	Herato1005	1589882	1590338	+	0	NA	Intergenic	Intergenic	6891	ID=evm.model.Herato1005.80.1-E1;Parent=evm.model.Herato1005.80.1								
2080	Herato0503	4103828	4104913	+	0	NA	Intergenic	Intergenic	14050	ID=evm.model.Herato0503.129.1-E2;Parent=evm.model.Herato0503.129.1								
