PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thup_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_shared_5thup_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1895	Hmel221012	2777103	2777905	+	0	NA	Intergenic	Intergenic	-6642	ID=HMEL035613g1.t1-E1;Parent=HMEL035613g1.t1								
2038	Hmel204017	2407642	2407915	+	0	NA	Intergenic	Intergenic	-43717	ID=HMEL036477g1.t1-E1;Parent=HMEL036477g1.t1								
570	Hmel201011	901630	901907	+	0	NA	Intergenic	Intergenic	-1777	ID=HMEL033027g1.t1-E1;Parent=HMEL033027g1.t1								
1880	Hmel221012	381119	381508	+	0	NA	exon (ID=HMEL035555g1.t1-E1;Parent=HMEL035555g1.t1, exon 1 of 1)	-exon (ID=HMEL035555g1.t1-E1;Parent=HMEL035555g1.t1, exon 1 of 1)	208	ID=HMEL035555g1.t1-E1;Parent=HMEL035555g1.t1								
252	Hmel201009	2667923	2670798	+	0	NA	promoter-TSS (ID=HMEL017233g1.t1-E1;Parent=HMEL017233g1.t1)	-promoter-TSS (ID=HMEL017233g1.t1-E1;Parent=HMEL017233g1.t1)	62	ID=HMEL017233g1.t1-E1;Parent=HMEL017233g1.t1								
1159	Hmel215006	505649	506326	+	0	NA	Intergenic	Intergenic	19642	ID=HMEL005802g1.t1-E1;Parent=HMEL005802g1.t1								
883	Hmel201019	766867	767649	+	0	NA	promoter-TSS (ID=HMEL033122g1.t1-E1;Parent=HMEL033122g1.t1)	-promoter-TSS (ID=HMEL033122g1.t1-E1;Parent=HMEL033122g1.t1)	-483	ID=HMEL033122g1.t1-E1;Parent=HMEL033122g1.t1								
2048	Hmel204036	152050	152507	+	0	NA	Intergenic	Intergenic	-3691	ID=HMEL004861g1.t1-E2;Parent=HMEL004861g1.t1								
655	Hmel201011	1744254	1744705	+	0	NA	Intergenic	Intergenic	3126	ID=HMEL011402g7.t1-E2;Parent=HMEL011402g7.t1								
421	Hmel209005	1015382	1016049	+	0	NA	promoter-TSS (ID=HMEL012978g1.t1-E5;Parent=HMEL012978g1.t1)	-promoter-TSS (ID=HMEL012978g1.t1-E5;Parent=HMEL012978g1.t1)	245	ID=HMEL012978g1.t1-E4;Parent=HMEL012978g1.t1								
1998	Hmel203069	2407634	2408353	+	0	NA	Intergenic	Intergenic	2079	ID=HMEL008156g1.t1-E2;Parent=HMEL008156g1.t1								
1367	Hmel217018	578982	579716	+	0	NA	Intergenic	Intergenic	8583	ID=HMEL033969g1.t1-E1;Parent=HMEL033969g1.t1								
271	Hmel207021	788480	789232	+	0	NA	Intergenic	Intergenic	-4995	ID=HMEL016330g1.t1-E1;Parent=HMEL016330g1.t1								
1070	Hmel213067	850005	850356	+	0	NA	Intergenic	Intergenic	-1648	ID=HMEL032196g1.t1-E10;Parent=HMEL032196g1.t1								
1024	Hmel213049	447694	448115	+	0	NA	Intergenic	Intergenic	3081	ID=HMEL032071g1.t1-E2;Parent=HMEL032071g1.t1								
491	Hmel210004	5916582	5918069	+	0	NA	Intergenic	Intergenic	-1362	ID=HMEL009013g1.t1-E3;Parent=HMEL009013g1.t1								
1863	Hmel221001	2153767	2154340	+	0	NA	Intergenic	Intergenic	-10742	ID=HMEL007289-RA-E1;Parent=HMEL007289-RA								
13	Hmel206006	283377	284317	+	0	NA	Intergenic	Intergenic	-6712	ID=HMEL036934g1.t1-E1;Parent=HMEL036934g1.t1								
105	Hmel206009	4125483	4125904	+	0	NA	Intergenic	Intergenic	-6319	ID=HMEL037073g1.t4-E1;Parent=HMEL037073g1.t4								
1514	Hmel218018	3609809	3610438	+	0	NA	promoter-TSS (ID=HMEL034411g1.t1-E1;Parent=HMEL034411g1.t1)	-promoter-TSS (ID=HMEL034411g1.t1-E1;Parent=HMEL034411g1.t1)	-40	ID=HMEL034411g1.t1-E1;Parent=HMEL034411g1.t1								
840	Hmel212009	115029	115548	+	0	NA	Intergenic	Intergenic	9278	ID=HMEL002552g1.t1-E3;Parent=HMEL002552g1.t1								
1647	Hmel219003	6382087	6383081	+	0	NA	Intergenic	Intergenic	3481	ID=HMEL002697g1.t1-E4;Parent=HMEL002697g1.t1								
597	Hmel210011	3751600	3753477	+	0	NA	Intergenic	Intergenic	-9590	ID=HMEL015490g1.t1-E1;Parent=HMEL015490g1.t1								
111	Hmel206012	496858	497407	+	0	NA	Intergenic	Intergenic	-8281	ID=HMEL037113g1.t1-E1;Parent=HMEL037113g1.t1								
1411	Hmel218005	300325	300966	+	0	NA	Intergenic	Intergenic	-1703	ID=HMEL014924g1.t1-E3;Parent=HMEL014924g1.t1								
408	Hmel201009	4553563	4554206	+	0	NA	Intergenic	Intergenic	-6687	ID=HMEL030251g1.t1-E1;Parent=HMEL030251g1.t1								
1480	Hmel218018	473272	473978	+	0	NA	Intergenic	Intergenic	13516	ID=HMEL017487-RA-E1;Parent=HMEL017487-RA								
242	Hmel207011	705704	706032	+	0	NA	Intergenic	Intergenic	7850	ID=HMEL037585g1.t1-E2;Parent=HMEL037585g1.t1								
559	Hmel210011	2054011	2055108	+	0	NA	Intergenic	Intergenic	-2982	ID=HMEL007306g1.t1-E1;Parent=HMEL007306g1.t1								
1588	Hmel218018	9170723	9171290	+	0	NA	Intergenic	Intergenic	-10256	ID=HMEL003749g1.t1-E3;Parent=HMEL003749g1.t1								
32	Hmel206006	2153544	2153774	+	0	NA	Intergenic	Intergenic	-11787	ID=HMEL016515g1.t1-E1;Parent=HMEL016515g1.t1								
443	Hmel201009	5138393	5139101	+	0	NA	Intergenic	Intergenic	17962	ID=HMEL030267g1.t1-E2;Parent=HMEL030267g1.t1								
1795	Hmel220005	3368335	3368736	+	0	NA	Intergenic	Intergenic	-11335	ID=HMEL035179g1.t1-E1;Parent=HMEL035179g1.t1								
580	Hmel210011	2798951	2799287	+	0	NA	Intergenic	Intergenic	-2264	ID=HMEL015947g1.t1-E1;Parent=HMEL015947g1.t1								
1257	Hmel216011	1186701	1187100	+	0	NA	TTS (ID=HMEL033555g1.t1-E2;Parent=HMEL033555g1.t1)	-TTS (ID=HMEL033555g1.t1-E2;Parent=HMEL033555g1.t1)	725	ID=HMEL033555g1.t1-E2;Parent=HMEL033555g1.t1								
846	Hmel212009	651592	652193	+	0	NA	Intergenic	Intergenic	20218	ID=HMEL031560g1.t1-E2;Parent=HMEL031560g1.t1								
31	Hmel206006	2151680	2152171	+	0	NA	Intergenic	Intergenic	-13521	ID=HMEL016515g1.t1-E1;Parent=HMEL016515g1.t1								
1689	Hmel219014	2160797	2161080	+	0	NA	promoter-TSS (ID=HMEL034817g1.t1-E1;Parent=HMEL034817g1.t1)	-promoter-TSS (ID=HMEL034817g1.t1-E1;Parent=HMEL034817g1.t1)	-886	ID=HMEL034817g1.t1-E1;Parent=HMEL034817g1.t1								
1861	Hmel221001	1911187	1911666	+	0	NA	Intergenic	Intergenic	-2675	ID=HMEL007272g1.t1-E3;Parent=HMEL007272g1.t1								
1296	Hmel216015	816650	817597	+	0	NA	Intergenic	Intergenic	17756	ID=HMEL033639g1.t1-E4;Parent=HMEL033639g1.t1								
1553	Hmel218018	7290777	7291297	+	0	NA	Intergenic	Intergenic	-56852	ID=HMEL034477g1.t1-E1;Parent=HMEL034477g1.t1								
1303	Hmel217001	893801	894592	+	0	NA	Intergenic	Intergenic	-14636	ID=HMEL017727g1.t1-E1;Parent=HMEL017727g1.t1								
1654	Hmel219003	7146588	7147008	+	0	NA	promoter-TSS (ID=HMEL034706g1.t1-E1;Parent=HMEL034706g1.t1)	-promoter-TSS (ID=HMEL034706g1.t1-E1;Parent=HMEL034706g1.t1)	-688	ID=HMEL034706g1.t1-E1;Parent=HMEL034706g1.t1								
968	Hmel213013	87635	88956	+	0	NA	Intergenic	Intergenic	10216	ID=HMEL031837g1.t1-E3;Parent=HMEL031837g1.t1								
675	Hmel211004	2086658	2087252	+	0	NA	TTS (ID=HMEL015137g1.t1-E5;Parent=HMEL015137g1.t1)	-TTS (ID=HMEL015137g1.t1-E5;Parent=HMEL015137g1.t1)	218	ID=HMEL015137g1.t1-E7;Parent=HMEL015137g1.t1								
15	Hmel206006	380262	380536	+	0	NA	Intergenic	Intergenic	-47464	ID=HMEL012148g1.t1-E1;Parent=HMEL012148g1.t1								
431	Hmel209007	984026	984477	+	0	NA	Intergenic	Intergenic	-3310	ID=HMEL030387g1.t1-E1;Parent=HMEL030387g1.t1								
382	Hmel208051	688459	688804	+	0	NA	Intergenic	Intergenic	-17811	ID=HMEL038154g1.t1-E1;Parent=HMEL038154g1.t1								
1506	Hmel218018	2632521	2633555	+	0	NA	Intergenic	Intergenic	4054	ID=HMEL034393g1.t1-E2;Parent=HMEL034393g1.t1								
139	Hmel207002	138429	139382	+	0	NA	Intergenic	Intergenic	-12613	ID=HMEL016119g1.t1-E1;Parent=HMEL016119g1.t1								
129	Hmel201009	1481262	1482104	+	0	NA	Intergenic	Intergenic	-44382	ID=HMEL030149g1.t1-E1;Parent=HMEL030149g1.t1								
926	Hmel212013	3261572	3261840	+	0	NA	Intergenic	Intergenic	-37051	ID=HMEL031706g1.t1-E1;Parent=HMEL031706g1.t1								
1246	Hmel216011	867901	868134	+	0	NA	Intergenic	Intergenic	-7017	ID=HMEL011146g1.t1-E1;Parent=HMEL011146g1.t1								
859	Hmel212011	452547	453197	+	0	NA	Intergenic	Intergenic	7825	ID=HMEL012706g1.t1-E4;Parent=HMEL012706g1.t1								
1083	Hmel213069	1218917	1219695	+	0	NA	Intergenic	Intergenic	2312	ID=HMEL032235g1.t1-E1;Parent=HMEL032235g1.t1								
739	Hmel211013	9269	9682	+	0	NA	Intergenic	Intergenic	1423	ID=HMEL006399g1.t1-E2;Parent=HMEL006399g1.t1								
1293	Hmel216015	441165	441495	+	0	NA	Intergenic	Intergenic	-9042	ID=HMEL012996g1.t1-E1;Parent=HMEL012996g1.t1								
876	Hmel212011	1290047	1291665	+	0	NA	Intergenic	Intergenic	2792	ID=HMEL031615g1.t1-E4;Parent=HMEL031615g1.t1								
1792	Hmel220005	3304552	3306074	+	0	NA	Intergenic	Intergenic	8158	ID=HMEL005065g1.t1-E11;Parent=HMEL005065g1.t1								
662	Hmel211004	1153655	1153839	+	0	NA	Intergenic	Intergenic	-12816	ID=HMEL031053g1.t1-E1;Parent=HMEL031053g1.t1								
168	Hmel207002	1580505	1581176	+	0	NA	Intergenic	Intergenic	-4994	ID=HMEL011239g1.t1-E2;Parent=HMEL011239g1.t1								
135	Hmel206022	635129	636023	+	0	NA	Intergenic	Intergenic	-2221	ID=HMEL014434g1.t1-E1;Parent=HMEL014434g1.t1								
1518	Hmel218018	4724894	4725333	+	0	NA	Intergenic	Intergenic	-1897	ID=HMEL034432g1.t3-E1;Parent=HMEL034432g1.t3								
145	Hmel201009	1757369	1758144	+	0	NA	Intergenic	Intergenic	15932	ID=HMEL030156g1.t1-E1;Parent=HMEL030156g1.t1								
178	Hmel207002	1709398	1710651	+	0	NA	Intergenic	Intergenic	-2286	ID=HMEL011242g1.t2-E1;Parent=HMEL011242g1.t2								
1131	Hmel214024	202851	203845	+	0	NA	Intergenic	Intergenic	3842	ID=HMEL032504g1.t2-E1;Parent=HMEL032504g1.t2								
1876	Hmel221009	387655	388351	+	0	NA	promoter-TSS (ID=HMEL002828g1.t1-E1;Parent=HMEL002828g1.t1)	-promoter-TSS (ID=HMEL002828g1.t1-E1;Parent=HMEL002828g1.t1)	116	ID=HMEL002828g2.t1-E1;Parent=HMEL002828g2.t1								
124	Hmel201009	1352951	1353457	+	0	NA	Intergenic	Intergenic	-3319	ID=HMEL030147g1.t1-E1;Parent=HMEL030147g1.t1								
772	Hmel212001	1995701	1997207	+	0	NA	TTS (ID=HMEL016806g1.t1-E1;Parent=HMEL016806g1.t1)	-TTS (ID=HMEL016806g1.t1-E1;Parent=HMEL016806g1.t1)	1067	ID=HMEL016806g1.t1-E1;Parent=HMEL016806g1.t1								
1759	Hmel220005	632487	632730	+	0	NA	Intergenic	Intergenic	-8110	ID=HMEL035057g1.t1-E1;Parent=HMEL035057g1.t1								
1429	Hmel218007	741261	741480	+	0	NA	Intergenic	Intergenic	-6171	ID=HMEL002564-RA-E1;Parent=HMEL002564-RA								
1974	Hmel203067	447837	448913	+	0	NA	Intergenic	Intergenic	18033	ID=HMEL036140g1.t1-E1;Parent=HMEL036140g1.t1								
2032	Hmel201007	595763	596175	+	0	NA	promoter-TSS (ID=HMEL014538g1.t1-E7;Parent=HMEL014538g1.t1)	-promoter-TSS (ID=HMEL014538g1.t1-E7;Parent=HMEL014538g1.t1)	146	ID=HMEL014538g1.t1-E6;Parent=HMEL014538g1.t1								
1374	Hmel217018	1031811	1032311	+	0	NA	Intergenic	Intergenic	2059	ID=HMEL033983g1.t1-E2;Parent=HMEL033983g1.t1								
1528	Hmel218018	5505358	5505876	+	0	NA	Intergenic	Intergenic	-32422	ID=HMEL034446g1.t1-E1;Parent=HMEL034446g1.t1								
653	Hmel211004	208004	208691	+	0	NA	promoter-TSS (ID=HMEL015228g1.t1-E1;Parent=HMEL015228g1.t1)	-promoter-TSS (ID=HMEL015228g1.t1-E1;Parent=HMEL015228g1.t1)	-251	ID=HMEL015228g1.t1-E1;Parent=HMEL015228g1.t1								
1692	Hmel219015	6398	7139	+	0	NA	Intergenic	Intergenic	-2500	ID=HMEL008744g1.t1-E1;Parent=HMEL008744g1.t1								
509	Hmel201002	1145275	1146272	+	0	NA	Intergenic	Intergenic	-4084	ID=HMEL030028g1.t1-E1;Parent=HMEL030028g1.t1								
1015	Hmel213044	786308	786847	+	0	NA	promoter-TSS (ID=HMEL005640g1.t1-E1;Parent=HMEL005640g1.t1)	-promoter-TSS (ID=HMEL005640g1.t1-E1;Parent=HMEL005640g1.t1)	-285	ID=HMEL005640g1.t1-E1;Parent=HMEL005640g1.t1								
367	Hmel208048	208573	209071	+	0	NA	Intergenic	Intergenic	16036	ID=HMEL006328g1.t1-E4;Parent=HMEL006328g1.t1								
976	Hmel213020	335037	336288	+	0	NA	Intergenic	Intergenic	1449	ID=HMEL031881g1.t1-E3;Parent=HMEL031881g1.t1								
716	Hmel211010	215925	216879	+	0	NA	TTS (ID=HMEL006520g1.t1-E1;Parent=HMEL006520g1.t1)	-TTS (ID=HMEL006520g1.t1-E1;Parent=HMEL006520g1.t1)	507	ID=HMEL006520g1.t1-E1;Parent=HMEL006520g1.t1								
1886	Hmel221012	1548523	1549332	+	0	NA	Intergenic	Intergenic	-7960	ID=HMEL035586g1.t1-E1;Parent=HMEL035586g1.t1								
1821	Hmel220009	487303	488357	+	0	NA	Intergenic	Intergenic	-7048	ID=HMEL035259g1.t1-E1;Parent=HMEL035259g1.t1								
1972	Hmel203067	380564	380897	+	0	NA	Intergenic	Intergenic	15068	ID=HMEL036138g1.t1-E1;Parent=HMEL036138g1.t1								
940	Hmel213004	477779	478453	+	0	NA	promoter-TSS (ID=HMEL031771g1.t1-E4;Parent=HMEL031771g1.t1)	-promoter-TSS (ID=HMEL031771g1.t1-E4;Parent=HMEL031771g1.t1)	-485	ID=HMEL031771g1.t2-E4;Parent=HMEL031771g1.t2								
685	Hmel211004	3201651	3201856	+	0	NA	Intergenic	Intergenic	-4245	ID=HMEL031115g1.t1-E1;Parent=HMEL031115g1.t1								
743	Hmel201011	2568097	2568451	+	0	NA	Intergenic	Intergenic	-20994	ID=HMEL011985g1.t1-E1;Parent=HMEL011985g1.t1								
21	Hmel201009	217627	218030	+	0	NA	Intergenic	Intergenic	10443	ID=HMEL030122g1.t1-E1;Parent=HMEL030122g1.t1								
523	Hmel210009	90513	91057	+	0	NA	Intergenic	Intergenic	-7556	ID=HMEL005924-RA-E3;Parent=HMEL005924-RA								
1460	Hmel218018	182168	182592	+	0	NA	Intergenic	Intergenic	-9018	ID=HMEL034351g1.t1-E1;Parent=HMEL034351g1.t1								
453	Hmel201002	1038093	1039615	+	0	NA	Intergenic	Intergenic	13910	ID=HMEL030026g1.t1-E2;Parent=HMEL030026g1.t1								
723	Hmel211012	299365	300008	+	0	NA	Intergenic	Intergenic	5558	ID=HMEL010343g1.t1-E1;Parent=HMEL010343g1.t1								
1202	Hmel215047	410254	411659	+	0	NA	Intergenic	Intergenic	-11756	ID=HMEL032867g1.t1-E1;Parent=HMEL032867g1.t1								
351	Hmel208021	176406	176652	+	0	NA	TTS (ID=HMEL037940g1.t1-E1;Parent=HMEL037940g1.t1)	-TTS (ID=HMEL037940g1.t1-E1;Parent=HMEL037940g1.t1)	986	ID=HMEL037940g1.t1-E1;Parent=HMEL037940g1.t1								
1040	Hmel213062	928855	929523	+	0	NA	Intergenic	Intergenic	2338	ID=HMEL032123g1.t1-E1;Parent=HMEL032123g1.t1								
595	Hmel210011	3640844	3642215	+	0	NA	Intergenic	Intergenic	-9178	ID=HMEL015497g1.t2-E1;Parent=HMEL015497g1.t2								
1755	Hmel220003	2774990	2775714	+	0	NA	Intergenic	Intergenic	3867	ID=HMEL012529g1.t1-E6;Parent=HMEL012529g1.t1								
1138	Hmel214025	93786	94482	+	0	NA	Intergenic	Intergenic	7276	ID=HMEL032550g1.t1-E5;Parent=HMEL032550g1.t1								
488	Hmel210004	5866904	5867884	+	0	NA	Intergenic	Intergenic	-5771	ID=HMEL009011g1.t1-E2;Parent=HMEL009011g1.t1								
1854	Hmel221001	662553	663083	+	0	NA	Intergenic	Intergenic	11031	ID=HMEL011029g4.t1-E2;Parent=HMEL011029g4.t1								
1012	Hmel213044	648868	649407	+	0	NA	Intergenic	Intergenic	28571	ID=HMEL017299g1.t1-E1;Parent=HMEL017299g1.t1								
1498	Hmel218018	2493436	2494400	+	0	NA	Intergenic	Intergenic	-6514	ID=HMEL034391g1.t1-E4;Parent=HMEL034391g1.t1								
835	Hmel212006	176596	176884	+	0	NA	Intergenic	Intergenic	-8674	ID=HMEL002721g1.t1-E1;Parent=HMEL002721g1.t1								
1267	Hmel216011	1970296	1970478	+	0	NA	Intergenic	Intergenic	-5661	ID=HMEL033572g1.t1-E1;Parent=HMEL033572g1.t1								
1032	Hmel201002	1687725	1688066	+	0	NA	Intergenic	Intergenic	3817	ID=HMEL011277g1.t1-E1;Parent=HMEL011277g1.t1								
113	Hmel206012	518413	519096	+	0	NA	Intergenic	Intergenic	3862	ID=HMEL015996g1.t1-E5;Parent=HMEL015996g1.t1								
901	Hmel212013	1689129	1690052	+	0	NA	Intergenic	Intergenic	-18819	ID=HMEL007090g2.t1-E3;Parent=HMEL007090g2.t1								
152	Hmel207002	1099262	1099539	+	0	NA	TTS (ID=HMEL011196g1.t1-E2;Parent=HMEL011196g1.t1)	-TTS (ID=HMEL011196g1.t1-E2;Parent=HMEL011196g1.t1)	737	ID=HMEL011196g1.t1-E3;Parent=HMEL011196g1.t1								
342	Hmel208019	130789	131883	+	0	NA	Intergenic	Intergenic	-27326	ID=HMEL013965g1.t1-E1;Parent=HMEL013965g1.t1								
1419	Hmel218005	733152	733648	+	0	NA	Intergenic	Intergenic	30812	ID=HMEL034263g1.t1-E2;Parent=HMEL034263g1.t1								
862	Hmel212011	730741	731738	+	0	NA	Intergenic	Intergenic	-10319	ID=HMEL031606g1.t1-E1;Parent=HMEL031606g1.t1								
341	Hmel208019	103898	104220	+	0	NA	Intergenic	Intergenic	-8742	ID=HMEL037903g1.t1-E1;Parent=HMEL037903g1.t1								
1056	Hmel213065	680713	680877	+	0	NA	Intergenic	Intergenic	2893	ID=HMEL014721g1.t1-E1;Parent=HMEL014721g1.t1								
64	Hmel206009	1804536	1805194	+	0	NA	Intergenic	Intergenic	-3037	ID=HMEL016766g1.t1-E1;Parent=HMEL016766g1.t1								
1473	Hmel218018	386676	387570	+	0	NA	Intergenic	Intergenic	100018	ID=HMEL017487-RA-E1;Parent=HMEL017487-RA								
881	Hmel212013	252150	253070	+	0	NA	promoter-TSS (ID=HMEL031623g1.t1-E1;Parent=HMEL031623g1.t1)	-promoter-TSS (ID=HMEL031623g1.t1-E1;Parent=HMEL031623g1.t1)	64	ID=HMEL031623g1.t1-E1;Parent=HMEL031623g1.t1								
45	Hmel206009	594875	595310	+	0	NA	Intergenic	Intergenic	8898	ID=HMEL037007g1.t1-E1;Parent=HMEL037007g1.t1								
405	Hmel209001	1452547	1452835	+	0	NA	Intergenic	Intergenic	10125	ID=HMEL004102g1.t1-E1;Parent=HMEL004102g1.t1								
507	Hmel210004	7312253	7312482	+	0	NA	Intergenic	Intergenic	-7045	ID=HMEL004083g1.t1-E1;Parent=HMEL004083g1.t1								
1173	Hmel215006	1937180	1937978	+	0	NA	Intergenic	Intergenic	-6003	ID=HMEL002914g1.t1-E1;Parent=HMEL002914g1.t1								
1963	Hmel203048	217464	218289	+	0	NA	Intergenic	Intergenic	-11270	ID=HMEL036089g1.t1-E1;Parent=HMEL036089g1.t1								
309	Hmel207023	478419	479077	+	0	NA	Intergenic	Intergenic	-34107	ID=HMEL037742g1.t1-E1;Parent=HMEL037742g1.t1								
1734	Hmel220003	1280839	1281207	+	0	NA	Intergenic	Intergenic	-18720	ID=HMEL017017g1.t1-E1;Parent=HMEL017017g1.t1								
2085	Hmel205012	985307	985912	+	0	NA	Intergenic	Intergenic	6090	ID=HMEL017894g1.t1-E2;Parent=HMEL017894g1.t1								
1733	Hmel220003	1275641	1276627	+	0	NA	Intergenic	Intergenic	-23609	ID=HMEL017017g1.t1-E1;Parent=HMEL017017g1.t1								
2113	Hmel205020	412361	412918	+	0	NA	promoter-TSS (ID=HMEL036794g1.t1-E2;Parent=HMEL036794g1.t1)	-promoter-TSS (ID=HMEL036794g1.t1-E2;Parent=HMEL036794g1.t1)	-40	ID=HMEL036794g1.t1-E2;Parent=HMEL036794g1.t1								
1258	Hmel216011	1253556	1253852	+	0	NA	Intergenic	Intergenic	5709	ID=HMEL033556g1.t1-E4;Parent=HMEL033556g1.t1								
824	Hmel212004	800639	801106	+	0	NA	Intergenic	Intergenic	2821	ID=HMEL017115g1.t1-E2;Parent=HMEL017115g1.t1								
120	Hmel201009	1309105	1309597	+	0	NA	Intergenic	Intergenic	-7180	ID=HMEL015833g1.t1-E1;Parent=HMEL015833g1.t1								
1148	Hmel214029	1201851	1202322	+	0	NA	Intergenic	Intergenic	-2264	ID=HMEL016337g4.t1-E1;Parent=HMEL016337g4.t1								
254	Hmel207021	196972	197612	+	0	NA	Intergenic	Intergenic	-12044	ID=HMEL009804g1.t1-E1;Parent=HMEL009804g1.t1								
392	Hmel209001	633313	634009	+	0	NA	TTS (ID=HMEL038222g1.t1-E1;Parent=HMEL038222g1.t1)	-TTS (ID=HMEL038222g1.t1-E1;Parent=HMEL038222g1.t1)	689	ID=HMEL038222g1.t1-E1;Parent=HMEL038222g1.t1								
1321	Hmel217004	1458258	1458576	+	0	NA	Intergenic	Intergenic	13267	ID=HMEL006843g1.t1-E11;Parent=HMEL006843g1.t1								
1987	Hmel203067	1165947	1166234	+	0	NA	TTS (ID=HMEL036160g1.t1-E2;Parent=HMEL036160g1.t1)	-TTS (ID=HMEL036160g1.t1-E2;Parent=HMEL036160g1.t1)	1123	ID=HMEL036160g1.t2-E2;Parent=HMEL036160g1.t2								
813	Hmel201019	33574	33963	+	0	NA	Intergenic	Intergenic	-5377	ID=HMEL033098g1.t1-E1;Parent=HMEL033098g1.t1								
2014	Hmel204013	1082270	1082793	+	0	NA	Intergenic	Intergenic	21394	ID=HMEL036407g1.t1-E1;Parent=HMEL036407g1.t1								
644	Hmel201011	1631920	1632230	+	0	NA	TTS (ID=HMEL033052g1.t1-E1;Parent=HMEL033052g1.t1)	-TTS (ID=HMEL033052g1.t1-E1;Parent=HMEL033052g1.t1)	753	ID=HMEL033052g1.t1-E1;Parent=HMEL033052g1.t1								
851	Hmel212009	900800	901060	+	0	NA	Intergenic	Intergenic	18304	ID=HMEL011919g1.t1-E4;Parent=HMEL011919g1.t1								
1820	Hmel220009	447546	447809	+	0	NA	Intergenic	Intergenic	-23241	ID=HMEL020100g1.t1-E1;Parent=HMEL020100g1.t1								
399	Hmel209001	1201477	1202031	+	0	NA	Intergenic	Intergenic	-11590	ID=HMEL007609g1.t1-E1;Parent=HMEL007609g1.t1								
2110	Hmel205020	290383	291154	+	0	NA	Intergenic	Intergenic	48474	ID=HMEL036792g1.t1-E2;Parent=HMEL036792g1.t1								
1811	Hmel220005	5716090	5716493	+	0	NA	Intergenic	Intergenic	5369	ID=HMEL012769g1.t1-E1;Parent=HMEL012769g1.t1								
436	Hmel209007	1385366	1385751	+	0	NA	Intergenic	Intergenic	-1071	ID=HMEL014452g1.t3-E1;Parent=HMEL014452g1.t3								
1342	Hmel217004	3590853	3591470	+	0	NA	Intergenic	Intergenic	1666	ID=HMEL010418g2.t1-E1;Parent=HMEL010418g2.t1								
1968	Hmel201005	788549	788802	+	0	NA	Intergenic	Intergenic	-3759	ID=HMEL004362g1.t1-E2;Parent=HMEL004362g1.t1								
1802	Hmel220005	5021916	5022221	+	0	NA	promoter-TSS (ID=HMEL035222g1.t1-E3;Parent=HMEL035222g1.t1)	-promoter-TSS (ID=HMEL035222g1.t1-E3;Parent=HMEL035222g1.t1)	-5	ID=HMEL035222g1.t1-E3;Parent=HMEL035222g1.t1								
94	Hmel206009	2738905	2739500	+	0	NA	promoter-TSS (ID=HMEL005347g1.t1-E3;Parent=HMEL005347g1.t1)	-promoter-TSS (ID=HMEL005347g1.t1-E3;Parent=HMEL005347g1.t1)	72	ID=HMEL005347g1.t1-E3;Parent=HMEL005347g1.t1								
213	Hmel207002	5880929	5882748	+	0	NA	Intergenic	Intergenic	-5322	ID=HMEL011306g1.t1-E1;Parent=HMEL011306g1.t1								
1450	Hmel218014	52326	52862	+	0	NA	Intergenic	Intergenic	50961	ID=HMEL034340g1.t1-E2;Parent=HMEL034340g1.t1								
568	Hmel201011	897326	897953	+	0	NA	Intergenic	Intergenic	1608	ID=HMEL033027g1.t1-E3;Parent=HMEL033027g1.t1								
1129	Hmel214022	144334	144655	+	0	NA	Intergenic	Intergenic	-3264	ID=HMEL015567g1.t1-E11;Parent=HMEL015567g1.t1								
791	Hmel212001	2948440	2949075	+	0	NA	Intergenic	Intergenic	-1150	ID=HMEL031377g1.t1-E1;Parent=HMEL031377g1.t1								
1143	Hmel214029	70169	70738	+	0	NA	promoter-TSS (ID=HMEL011057g1.t1-E1;Parent=HMEL011057g1.t1)	-promoter-TSS (ID=HMEL011057g1.t1-E1;Parent=HMEL011057g1.t1)	-72	ID=HMEL011057g1.t1-E1;Parent=HMEL011057g1.t1								
1355	Hmel217014	448655	449064	+	0	NA	promoter-TSS (ID=HMEL012798g1.t1-E5;Parent=HMEL012798g1.t1)	-promoter-TSS (ID=HMEL012798g1.t1-E5;Parent=HMEL012798g1.t1)	-119	ID=HMEL012798g1.t1-E5;Parent=HMEL012798g1.t1								
1961	Hmel203048	149978	150826	+	0	NA	Intergenic	Intergenic	1510	ID=HMEL036086g1.t1-E3;Parent=HMEL036086g1.t1								
386	Hmel208051	1126691	1127387	+	0	NA	Intergenic	Intergenic	-3543	ID=HMEL038164g1.t1-E1;Parent=HMEL038164g1.t1								
916	Hmel212013	3173709	3174398	+	0	NA	Intergenic	Intergenic	4897	ID=HMEL012337g1.t1-E4;Parent=HMEL012337g1.t1								
2043	Hmel204017	2872487	2873012	+	0	NA	Intergenic	Intergenic	-8371	ID=HMEL036501g1.t1-E1;Parent=HMEL036501g1.t1								
