PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_melpUnique_D1down.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D1_p05FC1_melpUnique_D1down_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1024	Hmel209001	1168893	1169446	+	0	NA	TTS (ID=HMEL007023g1.t1-E1;Parent=HMEL007023g1.t1)	-TTS (ID=HMEL007023g1.t1-E1;Parent=HMEL007023g1.t1)	594	ID=HMEL007023g1.t1-E1;Parent=HMEL007023g1.t1								
2867	Hmel213065	86658	87020	+	0	NA	Intergenic	Intergenic	-5857	ID=HMEL032138g1.t1-E1;Parent=HMEL032138g1.t1								
2871	Hmel214027	10337	10816	+	0	NA	promoter-TSS (ID=HMEL032580g1.t1-E1;Parent=HMEL032580g1.t1)	-promoter-TSS (ID=HMEL032580g1.t1-E1;Parent=HMEL032580g1.t1)	63	ID=HMEL032580g1.t1-E1;Parent=HMEL032580g1.t1								
491	Hmel205004	170881	171420	+	0	NA	Intergenic	Intergenic	-1758	ID=HMEL036610g1.t1-E2;Parent=HMEL036610g1.t1								
1863	Hmel214008	1769482	1770012	+	0	NA	Intergenic	Intergenic	7962	ID=HMEL020042g1.t1-E1;Parent=HMEL020042g1.t1								
2463	Hmel218018	8231393	8231615	+	0	NA	Intergenic	Intergenic	-7307	ID=HMEL034489g1.t1-E1;Parent=HMEL034489g1.t1								
13	Hmel201002	1655284	1655442	+	0	NA	promoter-TSS (ID=HMEL011281g1.t1-E4;Parent=HMEL011281g1.t1)	-promoter-TSS (ID=HMEL011281g1.t1-E4;Parent=HMEL011281g1.t1)	123	ID=HMEL011281g1.t1-E3;Parent=HMEL011281g1.t1								
2493	Hmel219003	1330733	1331159	+	0	NA	Intergenic	Intergenic	-2856	ID=HMEL034596g1.t1-E1;Parent=HMEL034596g1.t1								
105	Hmel201009	5264948	5265562	+	0	NA	promoter-TSS (ID=HMEL011658g1.t1-E2;Parent=HMEL011658g1.t1)	-promoter-TSS (ID=HMEL011658g1.t1-E2;Parent=HMEL011658g1.t1)	135	ID=HMEL011658g1.t1-E1;Parent=HMEL011658g1.t1								
1514	Hmel212004	263385	263644	+	0	NA	promoter-TSS (ID=HMEL018011g1.t1-E2;Parent=HMEL018011g1.t1)	-promoter-TSS (ID=HMEL018011g1.t1-E2;Parent=HMEL018011g1.t1)	-824	ID=HMEL018011g1.t1-E2;Parent=HMEL018011g1.t1								
840	Hmel207011	705114	705360	+	0	NA	Intergenic	Intergenic	8481	ID=HMEL037585g1.t1-E2;Parent=HMEL037585g1.t1								
1647	Hmel213006	55258	57228	+	0	NA	Intergenic	Intergenic	16382	ID=HMEL005063g1.t1-E2;Parent=HMEL005063g1.t1								
597	Hmel205020	604590	605232	+	0	NA	promoter-TSS (ID=HMEL011358g1.t1-E4;Parent=HMEL011358g1.t1)	-promoter-TSS (ID=HMEL011358g1.t1-E4;Parent=HMEL011358g1.t1)	-25	ID=HMEL011358g1.t2-E4;Parent=HMEL011358g1.t2								
2380	Hmel218007	729408	730196	+	0	NA	promoter-TSS (ID=HMEL002563g1.t1-E3;Parent=HMEL002563g1.t1)	-promoter-TSS (ID=HMEL002563g1.t1-E3;Parent=HMEL002563g1.t1)	115	ID=HMEL002563g1.t1-E2;Parent=HMEL002563g1.t1								
111	Hmel201011	685358	685856	+	0	NA	Intergenic	Intergenic	11500	ID=HMEL012836g1.t1-E8;Parent=HMEL012836g1.t1								
1411	Hmel211012	1159660	1160679	+	0	NA	Intergenic	Intergenic	-2817	ID=HMEL005557g2.t1-E1;Parent=HMEL005557g2.t1								
408	Hmel204001	1900222	1900528	+	0	NA	Intergenic	Intergenic	2086	ID=HMEL036347g1.t2-E11;Parent=HMEL036347g1.t2								
1480	Hmel212001	2955728	2956713	+	0	NA	Intergenic	Intergenic	-8613	ID=HMEL031377g1.t1-E1;Parent=HMEL031377g1.t1								
2777	Hmel220017	473963	474157	+	0	NA	TTS (ID=HMEL005468g1.t1-E1;Parent=HMEL005468g1.t1)	-TTS (ID=HMEL005468g1.t1-E1;Parent=HMEL005468g1.t1)	910	ID=HMEL005468g1.t1-E1;Parent=HMEL005468g1.t1								
242	Hmel202006	4370945	4371247	+	0	NA	Intergenic	Intergenic	-43550	ID=HMEL014031g1.t1-E1;Parent=HMEL014031g1.t1								
559	Hmel205013	244074	245539	+	0	NA	Intergenic	Intergenic	13044	ID=HMEL008938g1.t1-E1;Parent=HMEL008938g1.t1								
1588	Hmel212013	2118259	2118973	+	0	NA	Intergenic	Intergenic	-4126	ID=HMEL013037g1.t1-E1;Parent=HMEL013037g1.t1								
32	Hmel201007	400457	400894	+	0	NA	Intergenic	Intergenic	-6560	ID=HMEL014545g1.t1-E2;Parent=HMEL014545g1.t1								
443	Hmel204017	984567	985040	+	0	NA	Intergenic	Intergenic	-1854	ID=HMEL036453g1.t1-E1;Parent=HMEL036453g1.t1								
2234	Hmel217004	578975	579729	+	0	NA	promoter-TSS (ID=HMEL017107g1.t1-E5;Parent=HMEL017107g1.t1)	-promoter-TSS (ID=HMEL017107g1.t1-E5;Parent=HMEL017107g1.t1)	213	ID=HMEL017107g1.t1-E4;Parent=HMEL017107g1.t1								
1795	Hmel213054	158864	159129	+	0	NA	Intergenic	Intergenic	-7862	ID=HMEL007986g1.t1-E1;Parent=HMEL007986g1.t1								
580	Hmel205017	260440	261100	+	0	NA	Intergenic	Intergenic	-10963	ID=HMEL036736g1.t1-E1;Parent=HMEL036736g1.t1								
2800	Hmel221001	1913553	1913923	+	0	NA	TTS (ID=HMEL007272g1.t1-E2;Parent=HMEL007272g1.t1)	-TTS (ID=HMEL007272g1.t1-E2;Parent=HMEL007272g1.t1)	975	ID=HMEL007272g1.t1-E2;Parent=HMEL007272g1.t1								
2523	Hmel219003	2045229	2045630	+	0	NA	promoter-TSS (ID=HMEL010683g1.t1-E10;Parent=HMEL010683g1.t1)	-promoter-TSS (ID=HMEL010683g1.t1-E10;Parent=HMEL010683g1.t1)	150	ID=HMEL010683g1.t1-E9;Parent=HMEL010683g1.t1								
1257	Hmel210011	2737527	2737930	+	0	NA	Intergenic	Intergenic	16798	ID=HMEL030881g1.t1-E2;Parent=HMEL030881g1.t1								
846	Hmel207015	75586	76698	+	0	NA	Intergenic	Intergenic	-31775	ID=HMEL037636g1.t1-E1;Parent=HMEL037636g1.t1								
31	Hmel201007	383449	384246	+	0	NA	Intergenic	Intergenic	-4994	ID=HMEL030094g1.t1-E1;Parent=HMEL030094g1.t1								
1689	Hmel213022	5882	6616	+	0	NA	promoter-TSS (ID=HMEL014213g1.t1-E6;Parent=HMEL014213g1.t1)	-promoter-TSS (ID=HMEL014213g1.t1-E6;Parent=HMEL014213g1.t1)	860	ID=HMEL014213g1.t1-E5;Parent=HMEL014213g1.t1								
2307	Hmel217018	1614599	1615423	+	0	NA	Intergenic	Intergenic	9066	ID=HMEL017687g1.t1-E2;Parent=HMEL017687g1.t1								
1861	Hmel214008	1697541	1697851	+	0	NA	Intergenic	Intergenic	-10389	ID=HMEL032352g1.t1-E3;Parent=HMEL032352g1.t1								
2825	Hmel221032	14418	15081	+	0	NA	promoter-TSS (ID=HMEL035730g1.t1-E2;Parent=HMEL035730g1.t1)	-promoter-TSS (ID=HMEL035730g1.t1-E2;Parent=HMEL035730g1.t1)	21	ID=HMEL035730g1.t1-E2;Parent=HMEL035730g1.t1								
2706	Hmel220005	820433	822000	+	0	NA	Intergenic	Intergenic	11061	ID=HMEL035065g1.t1-E1;Parent=HMEL035065g1.t1								
1296	Hmel210011	5069707	5069870	+	0	NA	Intergenic	Intergenic	-50591	ID=HMEL030933g1.t1-E1;Parent=HMEL030933g1.t1								
1553	Hmel212011	1448772	1448971	+	0	NA	TTS (ID=HMEL012941g2.t1-E6;Parent=HMEL012941g2.t1)	-TTS (ID=HMEL012941g2.t1-E6;Parent=HMEL012941g2.t1)	1100	ID=HMEL012941g2.t1-E6;Parent=HMEL012941g2.t1								
2161	Hmel216012	160577	161249	+	0	NA	Intergenic	Intergenic	-18357	ID=HMEL011490g1.t1-E1;Parent=HMEL011490g1.t1								
1303	Hmel210011	5763514	5764366	+	0	NA	Intergenic	Intergenic	-2618	ID=HMEL009168g1.t1-E1;Parent=HMEL009168g1.t1								
2133	Hmel216011	776044	776275	+	0	NA	Intergenic	Intergenic	-24108	ID=HMEL011147g1.t1-E1;Parent=HMEL011147g1.t1								
1654	Hmel213012	60341	60690	+	0	NA	Intergenic	Intergenic	-31531	ID=HMEL031813g1.t1-E1;Parent=HMEL031813g1.t1								
968	Hmel208021	148472	149571	+	0	NA	promoter-TSS (ID=HMEL037938g1.t1-E1;Parent=HMEL037938g1.t1)	-promoter-TSS (ID=HMEL037938g1.t1-E1;Parent=HMEL037938g1.t1)	-66	ID=HMEL037938g1.t1-E1;Parent=HMEL037938g1.t1								
675	Hmel206009	1052716	1054339	+	0	NA	promoter-TSS (ID=HMEL002929g1.t1-E2;Parent=HMEL002929g1.t1)	-promoter-TSS (ID=HMEL002929g1.t1-E2;Parent=HMEL002929g1.t1)	-428	ID=HMEL002929g1.t1-E2;Parent=HMEL002929g1.t1								
15	Hmel201002	1780730	1781093	+	0	NA	Intergenic	Intergenic	14315	ID=HMEL011272g1.t1-E25;Parent=HMEL011272g1.t1								
431	Hmel204013	1088497	1088897	+	0	NA	Intergenic	Intergenic	15228	ID=HMEL036407g1.t1-E1;Parent=HMEL036407g1.t1								
382	Hmel203069	1919256	1919905	+	0	NA	Intergenic	Intergenic	1808	ID=HMEL017410g1.t1-E2;Parent=HMEL017410g1.t1								
2236	Hmel217004	664905	666754	+	0	NA	Intergenic	Intergenic	-9089	ID=HMEL006217g3.t1-E1;Parent=HMEL006217g3.t1								
2846	Hmel205029	44578	44938	+	0	NA	promoter-TSS (ID=HMEL036903g1.t1-E1;Parent=HMEL036903g1.t1)	-promoter-TSS (ID=HMEL036903g1.t1-E1;Parent=HMEL036903g1.t1)	-572	ID=HMEL036903g1.t1-E1;Parent=HMEL036903g1.t1								
1506	Hmel212001	6102775	6103172	+	0	NA	Intergenic	Intergenic	-3181	ID=HMEL031462g1.t1-E1;Parent=HMEL031462g1.t1								
2855	Hmel208051	1173750	1173965	+	0	NA	promoter-TSS (ID=HMEL008190g1.t1-E1;Parent=HMEL008190g1.t1)	-promoter-TSS (ID=HMEL008190g1.t1-E1;Parent=HMEL008190g1.t1)	-196	ID=HMEL008190g1.t1-E1;Parent=HMEL008190g1.t1								
139	Hmel201011	2867109	2867539	+	0	NA	Intergenic	Intergenic	-10170	ID=HMEL002573g1.t1-E1;Parent=HMEL002573g1.t1								
129	Hmel201011	2313323	2313519	+	0	NA	promoter-TSS (ID=HMEL011436-RA-E3;Parent=HMEL011436-RA)	-promoter-TSS (ID=HMEL011436-RA-E3;Parent=HMEL011436-RA)	-533	ID=HMEL011436-RA-E3;Parent=HMEL011436-RA								
926	Hmel208003	115305	116569	+	0	NA	promoter-TSS (ID=HMEL037804g1.t1-E2;Parent=HMEL037804g1.t1)	-promoter-TSS (ID=HMEL037804g1.t1-E2;Parent=HMEL037804g1.t1)	-786	ID=HMEL037804g1.t1-E2;Parent=HMEL037804g1.t1								
2145	Hmel216011	1780404	1780636	+	0	NA	Intergenic	Intergenic	-1695	ID=HMEL010245g1.t2-E1;Parent=HMEL010245g1.t2								
1246	Hmel210011	2006504	2006728	+	0	NA	Intergenic	Intergenic	26473	ID=HMEL030869g1.t1-E1;Parent=HMEL030869g1.t1								
859	Hmel207021	419594	420016	+	0	NA	Intergenic	Intergenic	10237	ID=HMEL021999g2.t1-E1;Parent=HMEL021999g2.t1								
1083	Hmel209007	2603401	2604052	+	0	NA	Intergenic	Intergenic	2944	ID=HMEL008855g1.t1-E1;Parent=HMEL008855g1.t1								
739	Hmel206012	1250643	1251433	+	0	NA	Intergenic	Intergenic	28996	ID=HMEL037128g1.t1-E2;Parent=HMEL037128g1.t1								
1293	Hmel210011	4827069	4827336	+	0	NA	Intergenic	Intergenic	5654	ID=HMEL009042g1.t1-E6;Parent=HMEL009042g1.t1								
876	Hmel207021	1480397	1480762	+	0	NA	Intergenic	Intergenic	28125	ID=HMEL037701g1.t1-E1;Parent=HMEL037701g1.t1								
1792	Hmel213054	59515	59890	+	0	NA	Intergenic	Intergenic	5140	ID=HMEL015621g1.t1-E2;Parent=HMEL015621g1.t1								
662	Hmel206009	438236	438438	+	0	NA	promoter-TSS (ID=HMEL003893g1.t1-E5;Parent=HMEL003893g1.t1)	-promoter-TSS (ID=HMEL003893g1.t1-E5;Parent=HMEL003893g1.t1)	-444	ID=HMEL003893g1.t2-E5;Parent=HMEL003893g1.t2								
168	Hmel201019	1312963	1313215	+	0	NA	Intergenic	Intergenic	-2345	ID=HMEL003933g1.t1-E2;Parent=HMEL003933g1.t1								
135	Hmel201011	2586138	2586819	+	0	NA	Intergenic	Intergenic	-2790	ID=HMEL011985g1.t1-E1;Parent=HMEL011985g1.t1								
1518	Hmel212004	587179	587806	+	0	NA	Intergenic	Intergenic	13634	ID=HMEL017123g1.t1-E1;Parent=HMEL017123g1.t1								
145	Hmel201011	3008029	3008858	+	0	NA	Intergenic	Intergenic	7676	ID=HMEL033093g1.t1-E3;Parent=HMEL033093g1.t1								
178	Hmel202004	672250	672528	+	0	NA	Intergenic	Intergenic	-39838	ID=HMEL014170g1.t1-E1;Parent=HMEL014170g1.t1								
2674	Hmel220003	1276855	1277286	+	0	NA	Intergenic	Intergenic	-22673	ID=HMEL017017g1.t1-E1;Parent=HMEL017017g1.t1								
1131	Hmel210001	576339	576721	+	0	NA	Intergenic	Intergenic	4465	ID=HMEL003546g1.t1-E4;Parent=HMEL003546g1.t1								
2728	Hmel220005	4352347	4352535	+	0	NA	Intergenic	Intergenic	3727	ID=HMEL035207g1.t1-E3;Parent=HMEL035207g1.t1								
1876	Hmel214010	239139	239889	+	0	NA	Intergenic	Intergenic	6082	ID=HMEL032396g1.t1-E5;Parent=HMEL032396g1.t1								
124	Hmel201011	2086643	2087163	+	0	NA	Intergenic	Intergenic	-5530	ID=HMEL011422g1.t1-E1;Parent=HMEL011422g1.t1								
772	Hmel207002	1604775	1605593	+	0	NA	Intergenic	Intergenic	-17745	ID=HMEL011239g1.t1-E1;Parent=HMEL011239g1.t1								
1759	Hmel213045	317709	318226	+	0	NA	promoter-TSS (ID=HMEL005374-RA-E6;Parent=HMEL005374-RA)	-promoter-TSS (ID=HMEL005374-RA-E6;Parent=HMEL005374-RA)	380	ID=HMEL005374-RA-E5;Parent=HMEL005374-RA								
1429	Hmel211017	125431	125999	+	0	NA	Intergenic	Intergenic	5738	ID=HMEL031272g1.t1-E2;Parent=HMEL031272g1.t1								
1974	Hmel215028	664121	664628	+	0	NA	promoter-TSS (ID=HMEL008880g1.t1-E1;Parent=HMEL008880g1.t1)	-promoter-TSS (ID=HMEL008880g1.t1-E1;Parent=HMEL008880g1.t1)	-71	ID=HMEL008880g2.t1-E4;Parent=HMEL008880g2.t1								
2032	Hmel215047	1415492	1415817	+	0	NA	Intergenic	Intergenic	-16426	ID=HMEL032905g1.t1-E1;Parent=HMEL032905g1.t1								
2536	Hmel219003	3652519	3653090	+	0	NA	Intergenic	Intergenic	31140	ID=HMEL034635g1.t1-E1;Parent=HMEL034635g1.t1								
2483	Hmel219002	12745	13521	+	0	NA	promoter-TSS (ID=HMEL003577g1.t1-E1;Parent=HMEL003577g1.t1)	-promoter-TSS (ID=HMEL003577g1.t1-E1;Parent=HMEL003577g1.t1)	521	ID=HMEL003577g2.t1-E1;Parent=HMEL003577g2.t1								
1374	Hmel211004	3175951	3176431	+	0	NA	Intergenic	Intergenic	-11322	ID=HMEL006235g2.t1-E1;Parent=HMEL006235g2.t1								
1528	Hmel212006	206107	206919	+	0	NA	Intergenic	Intergenic	15083	ID=HMEL002724g1.t1-E8;Parent=HMEL002724g1.t1								
2807	Hmel221012	148305	149373	+	0	NA	TTS (ID=HMEL035546g1.t1-E1;Parent=HMEL035546g1.t1)	-TTS (ID=HMEL035546g1.t1-E1;Parent=HMEL035546g1.t1)	334	ID=HMEL035546g1.t1-E1;Parent=HMEL035546g1.t1								
2303	Hmel217018	1082797	1083427	+	0	NA	Intergenic	Intergenic	-1911	ID=HMEL022207g1.t1-E1;Parent=HMEL022207g1.t1								
653	Hmel206007	238208	238570	+	0	NA	Intergenic	Intergenic	20936	ID=HMEL006756g1.t1-E2;Parent=HMEL006756g1.t1								
1692	Hmel213022	303232	304081	+	0	NA	Intergenic	Intergenic	2408	ID=HMEL007072g2.t1-E2;Parent=HMEL007072g2.t1								
2677	Hmel220003	1407325	1407637	+	0	NA	promoter-TSS (ID=HMEL017024g1.t1-E2;Parent=HMEL017024g1.t1)	-promoter-TSS (ID=HMEL017024g1.t1-E2;Parent=HMEL017024g1.t1)	99	ID=HMEL017024g1.t1-E2;Parent=HMEL017024g1.t1								
2259	Hmel217004	1770678	1771224	+	0	NA	promoter-TSS (ID=HMEL016704g1.t1-E3;Parent=HMEL016704g1.t1)	-promoter-TSS (ID=HMEL016704g1.t1-E3;Parent=HMEL016704g1.t1)	-83	ID=HMEL016704g1.t1-E3;Parent=HMEL016704g1.t1								
509	Hmel205006	14700	15134	+	0	NA	Intergenic	Intergenic	1849	ID=HMEL008221g1.t1-E1;Parent=HMEL008221g1.t1								
2212	Hmel217001	705825	706772	+	0	NA	Intergenic	Intergenic	122149	ID=HMEL033714g1.t1-E1;Parent=HMEL033714g1.t1								
1015	Hmel209001	175709	175915	+	0	NA	promoter-TSS (ID=HMEL006098g1.t1-E6;Parent=HMEL006098g1.t1)	-promoter-TSS (ID=HMEL006098g1.t1-E6;Parent=HMEL006098g1.t1)	-670	ID=HMEL006098g1.t1-E6;Parent=HMEL006098g1.t1								
367	Hmel203067	1164905	1165520	+	0	NA	TTS (ID=HMEL036160g1.t1-E1;Parent=HMEL036160g1.t1)	-TTS (ID=HMEL036160g1.t1-E1;Parent=HMEL036160g1.t1)	245	ID=HMEL036160g1.t2-E2;Parent=HMEL036160g1.t2								
976	Hmel208026	84636	84796	+	0	NA	Intergenic	Intergenic	1234	ID=HMEL002366g1.t1-E2;Parent=HMEL002366g1.t1								
716	Hmel206009	3764438	3764697	+	0	NA	Intergenic	Intergenic	20008	ID=HMEL014669g1.t1-E5;Parent=HMEL014669g1.t1								
1886	Hmel214019	589255	589433	+	0	NA	Intergenic	Intergenic	-1202	ID=HMEL014216g1.t1-E2;Parent=HMEL014216g1.t1								
1821	Hmel213069	955673	956065	+	0	NA	Intergenic	Intergenic	-22738	ID=HMEL032231g1.t1-E1;Parent=HMEL032231g1.t1								
1972	Hmel215028	619405	619811	+	0	NA	TTS (ID=HMEL032746g1.t1-E1;Parent=HMEL032746g1.t1)	-TTS (ID=HMEL032746g1.t1-E1;Parent=HMEL032746g1.t1)	1296	ID=HMEL032746g1.t1-E1;Parent=HMEL032746g1.t1								
940	Hmel208014	416894	417458	+	0	NA	Intergenic	Intergenic	-6892	ID=HMEL037862g1.t1-E1;Parent=HMEL037862g1.t1								
685	Hmel206009	1509107	1509667	+	0	NA	Intergenic	Intergenic	21951	ID=HMEL016780g2.t1-E1;Parent=HMEL016780g2.t1								
743	Hmel206012	1693815	1694138	+	0	NA	Intergenic	Intergenic	-2842	ID=HMEL014662g1.t1-E1;Parent=HMEL014662g1.t1								
2265	Hmel217004	3205669	3205949	+	0	NA	Intergenic	Intergenic	-3396	ID=HMEL033830g1.t1-E1;Parent=HMEL033830g1.t1								
21	Hmel201002	2250279	2250709	+	0	NA	promoter-TSS (ID=HMEL014991g1.t1-E1;Parent=HMEL014991g1.t1)	-promoter-TSS (ID=HMEL014991g1.t1-E1;Parent=HMEL014991g1.t1)	-894	ID=HMEL014991g1.t1-E1;Parent=HMEL014991g1.t1								
523	Hmel205012	279875	280872	+	0	NA	Intergenic	Intergenic	-3353	ID=HMEL004058g3.t1-E4;Parent=HMEL004058g3.t1								
2377	Hmel218007	125424	126041	+	0	NA	Intergenic	Intergenic	5163	ID=HMEL010979g1.t1-E1;Parent=HMEL010979g1.t1								
2129	Hmel216011	667419	667715	+	0	NA	Intergenic	Intergenic	-6478	ID=HMEL011155g2.t1-E1;Parent=HMEL011155g2.t1								
1460	Hmel212001	1827356	1827926	+	0	NA	Intergenic	Intergenic	-4310	ID=HMEL016801g1.t1-E1;Parent=HMEL016801g1.t1								
453	Hmel204017	2744260	2744526	+	0	NA	Intergenic	Intergenic	14529	ID=HMEL009923g2.t1-E2;Parent=HMEL009923g2.t1								
723	Hmel206009	4455846	4456162	+	0	NA	Intergenic	Intergenic	-9178	ID=HMEL037089g1.t1-E1;Parent=HMEL037089g1.t1								
2500	Hmel219003	1789610	1789782	+	0	NA	Intergenic	Intergenic	1759	ID=HMEL010658g1.t1-E1;Parent=HMEL010658g1.t1								
1202	Hmel210005	1081450	1081940	+	0	NA	Intergenic	Intergenic	6536	ID=HMEL008524g1.t1-E5;Parent=HMEL008524g1.t1								
351	Hmel203048	450570	450921	+	0	NA	Intergenic	Intergenic	-1579	ID=HMEL036098g1.t1-E1;Parent=HMEL036098g1.t1								
1040	Hmel209006	421869	422533	+	0	NA	Intergenic	Intergenic	-3751	ID=HMEL030349g1.t1-E1;Parent=HMEL030349g1.t1								
2838	Hmel204019	200113	200531	+	0	NA	Intergenic	Intergenic	-7670	ID=HMEL036507g1.t1-E1;Parent=HMEL036507g1.t1								
595	Hmel205020	316220	316760	+	0	NA	Intergenic	Intergenic	22752	ID=HMEL036792g1.t1-E2;Parent=HMEL036792g1.t1								
1755	Hmel213045	37292	37961	+	0	NA	Intergenic	Intergenic	-31303	ID=HMEL032046g1.t1-E1;Parent=HMEL032046g1.t1								
1138	Hmel210004	394597	395393	+	0	NA	Intergenic	Intergenic	11267	ID=HMEL030610g1.t1-E2;Parent=HMEL030610g1.t1								
488	Hmel205001	467821	468035	+	0	NA	Intergenic	Intergenic	12415	ID=HMEL010302g1.t1-E3;Parent=HMEL010302g1.t1								
1854	Hmel214008	991537	992429	+	0	NA	Intergenic	Intergenic	-4780	ID=HMEL032332g1.t1-E1;Parent=HMEL032332g1.t1								
1012	Hmel208051	1729356	1731320	+	0	NA	TTS (ID=HMEL038188g1.t1-E1;Parent=HMEL038188g1.t1)	-TTS (ID=HMEL038188g1.t1-E1;Parent=HMEL038188g1.t1)	443	ID=HMEL038188g1.t1-E1;Parent=HMEL038188g1.t1								
1498	Hmel212001	5861763	5862798	+	0	NA	TTS (ID=HMEL031454g1.t1-E1;Parent=HMEL031454g1.t1)	-TTS (ID=HMEL031454g1.t1-E1;Parent=HMEL031454g1.t1)	1160	ID=HMEL031454g1.t1-E1;Parent=HMEL031454g1.t1								
835	Hmel207011	233409	233667	+	0	NA	Intergenic	Intergenic	-1306	ID=HMEL007904g1.t1-E1;Parent=HMEL007904g1.t1								
2182	Hmel216015	43269	44055	+	0	NA	promoter-TSS (ID=HMEL003020g1.t1-E2;Parent=HMEL003020g1.t1)	-promoter-TSS (ID=HMEL003020g1.t1-E2;Parent=HMEL003020g1.t1)	73	ID=HMEL003020g1.t1-E2;Parent=HMEL003020g1.t1								
1267	Hmel210011	3416009	3416354	+	0	NA	Intergenic	Intergenic	-2499	ID=HMEL030897g1.t1-E1;Parent=HMEL030897g1.t1								
1032	Hmel209005	281072	281541	+	0	NA	Intergenic	Intergenic	-32758	ID=HMEL018069g1.t1-E1;Parent=HMEL018069g1.t1								
113	Hmel201011	936583	936801	+	0	NA	TTS (ID=HMEL033032g1.t1-E2;Parent=HMEL033032g1.t1)	-TTS (ID=HMEL033032g1.t1-E2;Parent=HMEL033032g1.t1)	919	ID=HMEL033032g1.t1-E2;Parent=HMEL033032g1.t1								
901	Hmel207023	176053	176469	+	0	NA	Intergenic	Intergenic	5206	ID=HMEL013939g1.t1-E3;Parent=HMEL013939g1.t1								
2191	Hmel216015	517943	518511	+	0	NA	promoter-TSS (ID=HMEL013004g1.t1-E1;Parent=HMEL013004g1.t1)	-promoter-TSS (ID=HMEL013004g1.t1-E1;Parent=HMEL013004g1.t1)	-927	ID=HMEL013004g1.t1-E1;Parent=HMEL013004g1.t1								
152	Hmel201019	300517	301001	+	0	NA	Intergenic	Intergenic	-2342	ID=HMEL006321g1.t1-E4;Parent=HMEL006321g1.t1								
342	Hmel203048	140930	141412	+	0	NA	promoter-TSS (ID=HMEL036086g1.t1-E13;Parent=HMEL036086g1.t1)	-promoter-TSS (ID=HMEL036086g1.t1-E13;Parent=HMEL036086g1.t1)	51	ID=HMEL036086g1.t2-E12;Parent=HMEL036086g1.t2								
1419	Hmel211014	119548	119776	+	0	NA	Intergenic	Intergenic	7987	ID=HMEL004192g1.t1-E2;Parent=HMEL004192g1.t1								
862	Hmel207021	435122	435544	+	0	NA	Intergenic	Intergenic	25765	ID=HMEL021999g2.t1-E1;Parent=HMEL021999g2.t1								
341	Hmel203048	92746	92920	+	0	NA	promoter-TSS (ID=HMEL017000g1.t1-E2;Parent=HMEL017000g1.t1)	-promoter-TSS (ID=HMEL017000g1.t1-E2;Parent=HMEL017000g1.t1)	97	ID=HMEL017000g1.t1-E2;Parent=HMEL017000g1.t1								
1056	Hmel209007	402075	402486	+	0	NA	Intergenic	Intergenic	1829	ID=HMEL030369g1.t1-E3;Parent=HMEL030369g1.t1								
2883	Hmel218020	243839	244218	+	0	NA	Intergenic	Intergenic	3962	ID=HMEL034554g1.t1-E6;Parent=HMEL034554g1.t1								
2189	Hmel216015	230398	230640	+	0	NA	Intergenic	Intergenic	5854	ID=HMEL033629g1.t1-E4;Parent=HMEL033629g1.t1								
2287	Hmel217018	266058	266295	+	0	NA	Intergenic	Intergenic	-1782	ID=HMEL002231g1.t1-E1;Parent=HMEL002231g1.t1								
2540	Hmel219003	3984615	3985111	+	0	NA	Intergenic	Intergenic	-2491	ID=HMEL013178g1.t1-E3;Parent=HMEL013178g1.t1								
2284	Hmel217014	962739	963222	+	0	NA	Intergenic	Intergenic	-7992	ID=HMEL010518g1.t1-E1;Parent=HMEL010518g1.t1								
64	Hmel201009	493366	494633	+	0	NA	Intergenic	Intergenic	-1258	ID=HMEL030128g1.t1-E1;Parent=HMEL030128g1.t1								
2753	Hmel220011	90188	90543	+	0	NA	Intergenic	Intergenic	-7552	ID=HMEL035266g1.t1-E1;Parent=HMEL035266g1.t1								
1473	Hmel212001	2783550	2784380	+	0	NA	Intergenic	Intergenic	-3933	ID=HMEL016849g1.t1-E1;Parent=HMEL016849g1.t1								
881	Hmel207021	1851016	1851459	+	0	NA	Intergenic	Intergenic	1488	ID=HMEL037709g1.t1-E1;Parent=HMEL037709g1.t1								
2461	Hmel218018	8222824	8223533	+	0	NA	TTS (ID=HMEL034489g1.t1-E1;Parent=HMEL034489g1.t1)	-TTS (ID=HMEL034489g1.t1-E1;Parent=HMEL034489g1.t1)	577	ID=HMEL034489g1.t1-E2;Parent=HMEL034489g1.t1								
45	Hmel201007	1068479	1069068	+	0	NA	promoter-TSS (ID=HMEL002609g1.t1-E2;Parent=HMEL002609g1.t1)	-promoter-TSS (ID=HMEL002609g1.t1-E2;Parent=HMEL002609g1.t1)	-241	ID=HMEL002609g1.t1-E2;Parent=HMEL002609g1.t1								
405	Hmel204001	1426831	1427055	+	0	NA	Intergenic	Intergenic	-2235	ID=HMEL003677g1.t1-E5;Parent=HMEL003677g1.t1								
