PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_melpUnique_5thdown.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_melpUnique_5thdown_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
253	Hmel201011	1236399	1236558	+	0	NA	promoter-TSS (ID=HMEL011366g1.t1-E15;Parent=HMEL011366g1.t1)	-promoter-TSS (ID=HMEL011366g1.t1-E15;Parent=HMEL011366g1.t1)	770	ID=HMEL011366g1.t1-E14;Parent=HMEL011366g1.t1								
4158	Hmel218004	252190	252624	+	0	NA	promoter-TSS (ID=HmIR25a_1-E1;Parent=HmIR25a_1)	-promoter-TSS (ID=HmIR25a_1-E1;Parent=HmIR25a_1)	-152	ID=HmIR25a_1-E1;Parent=HmIR25a_1								
3278	Hmel213069	836035	836274	+	0	NA	Intergenic	Intergenic	-11811	ID=HMEL009737g1.t1-E1;Parent=HMEL009737g1.t1								
2427	Hmel211010	240400	241063	+	0	NA	Intergenic	Intergenic	-1409	ID=HMEL006522g1.t1-E1;Parent=HMEL006522g1.t1								
63	Hmel201005	44122	44360	+	0	NA	Intergenic	Intergenic	-88822	ID=HMEL030066g1.t1-E1;Parent=HMEL030066g1.t1								
5009	Hmel220006	37736	38557	+	0	NA	Intergenic	Intergenic	7101	ID=HMEL035243g1.t1-E17;Parent=HMEL035243g1.t1								
1637	Hmel208019	254423	256081	+	0	NA	Intergenic	Intergenic	1510	ID=HMEL037908g1.t1-E2;Parent=HMEL037908g1.t1								
179	Hmel201009	2865990	2866257	+	0	NA	Intergenic	Intergenic	-5760	ID=HMEL017210g1.t1-E1;Parent=HMEL017210g1.t1								
1105	Hmel206009	1058958	1059380	+	0	NA	Intergenic	Intergenic	1362	ID=HMEL002929g1.t1-E1;Parent=HMEL002929g1.t1								
3705	Hmel216007	222774	223189	+	0	NA	Intergenic	Intergenic	3533	ID=HMEL012650g1.t1-E9;Parent=HMEL012650g1.t1								
1334	Hmel207002	2462721	2463118	+	0	NA	Intergenic	Intergenic	1153	ID=HMEL037403g1.t2-E3;Parent=HMEL037403g1.t2								
3948	Hmel217004	2058098	2058247	+	0	NA	Intergenic	Intergenic	-7583	ID=HMEL016686g2.t1-E1;Parent=HMEL016686g2.t1								
2499	Hmel211014	140192	140371	+	0	NA	Intergenic	Intergenic	14807	ID=HMEL031239g1.t1-E2;Parent=HMEL031239g1.t1								
3776	Hmel216011	869447	869706	+	0	NA	Intergenic	Intergenic	-5458	ID=HMEL011146g1.t1-E1;Parent=HMEL011146g1.t1								
2805	Hmel212013	1837030	1837256	+	0	NA	Intergenic	Intergenic	-1300	ID=HMEL031680g1.t1-E1;Parent=HMEL031680g1.t1								
2096	Hmel210004	6720870	6721292	+	0	NA	Intergenic	Intergenic	-16657	ID=HMEL009657g1.t1-E1;Parent=HMEL009657g1.t1								
1784	Hmel209003	45337	45607	+	0	NA	Intergenic	Intergenic	5747	ID=HMEL030304g1.t1-E2;Parent=HMEL030304g1.t1								
938	Hmel205015	114818	116459	+	0	NA	Intergenic	Intergenic	2142	ID=HMEL036711g1.t1-E1;Parent=HMEL036711g1.t1								
4016	Hmel217018	104926	105624	+	0	NA	promoter-TSS (ID=HMEL033951g1.t1-E1;Parent=HMEL033951g1.t1)	-promoter-TSS (ID=HMEL033951g1.t1-E1;Parent=HMEL033951g1.t1)	507	ID=HMEL033950g1.t1-E1;Parent=HMEL033950g1.t1								
3882	Hmel216016	228979	229710	+	0	NA	promoter-TSS (ID=HMEL033664g1.t1-E1;Parent=HMEL033664g1.t1)	-promoter-TSS (ID=HMEL033664g1.t1-E1;Parent=HMEL033664g1.t1)	-367	ID=HMEL033664g1.t1-E1;Parent=HMEL033664g1.t1								
2149	Hmel210009	86103	86279	+	0	NA	Intergenic	Intergenic	3858	ID=HMEL005924-RA-E2;Parent=HMEL005924-RA								
1830	Hmel209006	473018	473167	+	0	NA	Intergenic	Intergenic	16473	ID=HMEL030350g1.t1-E2;Parent=HMEL030350g1.t1								
1620	Hmel208014	127809	129074	+	0	NA	Intergenic	Intergenic	2444	ID=HMEL037851g1.t1-E2;Parent=HMEL037851g1.t1								
2241	Hmel210011	3393427	3394119	+	0	NA	promoter-TSS (ID=HMEL030896g1.t1-E3;Parent=HMEL030896g1.t1)	-promoter-TSS (ID=HMEL030896g1.t1-E3;Parent=HMEL030896g1.t1)	-451	ID=HMEL030896g1.t1-E3;Parent=HMEL030896g1.t1								
3917	Hmel217004	514002	514281	+	0	NA	TTS (ID=HMEL033776g1.t1-E1;Parent=HMEL033776g1.t1)	-TTS (ID=HMEL033776g1.t1-E1;Parent=HMEL033776g1.t1)	586	ID=HMEL033776g1.t1-E1;Parent=HMEL033776g1.t1								
3060	Hmel213046	10958	11312	+	0	NA	TTS (ID=HMEL013797-RA-E3;Parent=HMEL013797-RA)	-TTS (ID=HMEL013797-RA-E3;Parent=HMEL013797-RA)	512	ID=HMEL013797-RA-E4;Parent=HMEL013797-RA								
3167	Hmel213062	419317	420007	+	0	NA	Intergenic	Intergenic	10499	ID=HMEL032111g1.t1-E1;Parent=HMEL032111g1.t1								
4203	Hmel218007	350618	351190	+	0	NA	promoter-TSS (ID=HMEL006492g1.t1-E5;Parent=HMEL006492g1.t1)	-promoter-TSS (ID=HMEL006492g1.t1-E5;Parent=HMEL006492g1.t1)	-65	ID=HMEL006492g1.t1-E5;Parent=HMEL006492g1.t1								
2370	Hmel211004	3068997	3069143	+	0	NA	Intergenic	Intergenic	-1710	ID=HMEL003355g2.t1-E7;Parent=HMEL003355g2.t1								
929	Hmel221036	223568	223909	+	0	NA	promoter-TSS (ID=HMEL035752g1.t1-E7;Parent=HMEL035752g1.t1)	-promoter-TSS (ID=HMEL035752g1.t1-E7;Parent=HMEL035752g1.t1)	37	ID=HMEL035752g1.t1-E7;Parent=HMEL035752g1.t1								
5199	Hmel221015	262875	263498	+	0	NA	Intergenic	Intergenic	-7395	ID=HMEL035650g1.t1-E2;Parent=HMEL035650g1.t1								
2554	Hmel212001	406418	407313	+	0	NA	Intergenic	Intergenic	2430	ID=HMEL031329g1.t1-E1;Parent=HMEL031329g1.t1								
1583	Hmel207030	72796	73534	+	0	NA	Intergenic	Intergenic	-2088	ID=HMEL005306g2.t1-E2;Parent=HMEL005306g2.t1								
1538	Hmel207021	990060	990639	+	0	NA	promoter-TSS (ID=HMEL037686g1.t1-E1;Parent=HMEL037686g1.t1)	-promoter-TSS (ID=HMEL037686g1.t1-E1;Parent=HMEL037686g1.t1)	57	ID=HMEL037686g1.t1-E1;Parent=HMEL037686g1.t1								
258	Hmel201011	1452981	1453450	+	0	NA	promoter-TSS (ID=HMEL033045g1.t1-E1;Parent=HMEL033045g1.t1)	-promoter-TSS (ID=HMEL033045g1.t1-E1;Parent=HMEL033045g1.t1)	140	ID=HMEL033046g1.t1-E2;Parent=HMEL033046g1.t1								
2620	Hmel212001	2845140	2845469	+	0	NA	TTS (ID=HMEL016850g1.t1-E2;Parent=HMEL016850g1.t1)	-TTS (ID=HMEL016850g1.t1-E2;Parent=HMEL016850g1.t1)	671	ID=HMEL016850g1.t1-E2;Parent=HMEL016850g1.t1								
5158	Hmel221012	593578	593907	+	0	NA	Intergenic	Intergenic	4563	ID=HMEL035563g1.t1-E1;Parent=HMEL035563g1.t1								
4022	Hmel217018	388788	389373	+	0	NA	Intergenic	Intergenic	-3358	ID=HMEL033961g1.t1-E1;Parent=HMEL033961g1.t1								
2138	Hmel210005	805123	805420	+	0	NA	Intergenic	Intergenic	1415	ID=HMEL030770g1.t1-E2;Parent=HMEL030770g1.t1								
1055	Hmel206006	1881516	1882412	+	0	NA	Intergenic	Intergenic	-2857	ID=HMEL036960g1.t1-E1;Parent=HMEL036960g1.t1								
4050	Hmel217018	1720191	1720455	+	0	NA	Intergenic	Intergenic	-1213	ID=HMEL011585g2.t1-E1;Parent=HMEL011585g2.t1								
3610	Hmel215047	790712	791623	+	0	NA	Intergenic	Intergenic	6014	ID=HMEL032876g1.t1-E5;Parent=HMEL032876g1.t1								
2447	Hmel211012	573337	573583	+	0	NA	Intergenic	Intergenic	12239	ID=HMEL010323g2.t1-E4;Parent=HMEL010323g2.t1								
3140	Hmel213054	62923	63536	+	0	NA	Intergenic	Intergenic	1613	ID=HMEL015621g1.t1-E2;Parent=HMEL015621g1.t1								
141	Hmel201009	587842	587992	+	0	NA	Intergenic	Intergenic	35395	ID=HMEL030129g1.t1-E2;Parent=HMEL030129g1.t1								
3043	Hmel213036	127676	127987	+	0	NA	Intergenic	Intergenic	7872	ID=HMEL032012g1.t1-E2;Parent=HMEL032012g1.t1								
4939	Hmel220005	3291246	3292420	+	0	NA	Intergenic	Intergenic	-17997	ID=HMEL005066-RA-E1;Parent=HMEL005066-RA								
4228	Hmel218007	1395921	1396172	+	0	NA	Intergenic	Intergenic	2961	ID=HMEL015330g1.t1-E3;Parent=HMEL015330g1.t1								
4520	Hmel219003	366395	366978	+	0	NA	Intergenic	Intergenic	-7608	ID=HMEL002349g1.t1-E1;Parent=HMEL002349g1.t1								
1230	Hmel206016	84709	84910	+	0	NA	Intergenic	Intergenic	-30135	ID=HMEL005606g1.t1-E1;Parent=HMEL005606g1.t1								
2793	Hmel212013	1326376	1327457	+	0	NA	Intergenic	Intergenic	-7657	ID=HMEL031670g1.t1-E7;Parent=HMEL031670g1.t1								
2993	Hmel213028	109268	109473	+	0	NA	promoter-TSS (ID=HMEL031979g1.t1-E4;Parent=HMEL031979g1.t1)	-promoter-TSS (ID=HMEL031979g1.t1-E4;Parent=HMEL031979g1.t1)	-515	ID=HMEL031979g1.t1-E4;Parent=HMEL031979g1.t1								
1917	Hmel209007	3967323	3968053	+	0	NA	Intergenic	Intergenic	-8728	ID=HMEL030466g1.t1-E1;Parent=HMEL030466g1.t1								
1713	Hmel208027	187108	187566	+	0	NA	Intergenic	Intergenic	-21481	ID=HMEL038013g1.t1-E1;Parent=HMEL038013g1.t1								
3590	Hmel215047	55419	55819	+	0	NA	Intergenic	Intergenic	-12528	ID=HMEL032850g1.t1-E1;Parent=HMEL032850g1.t1								
1060	Hmel206006	1907399	1907628	+	0	NA	Intergenic	Intergenic	-8011	ID=HMEL036962g1.t1-E1;Parent=HMEL036962g1.t1								
3759	Hmel216011	64426	64973	+	0	NA	Intergenic	Intergenic	-1350	ID=HMEL033532g1.t1-E1;Parent=HMEL033532g1.t1								
3722	Hmel216009	545093	545399	+	0	NA	Intergenic	Intergenic	4713	ID=HMEL033490g1.t1-E2;Parent=HMEL033490g1.t1								
2420	Hmel211010	18150	18920	+	0	NA	Intergenic	Intergenic	-4134	ID=HMEL031189g1.t1-E1;Parent=HMEL031189g1.t1								
2104	Hmel210004	6825057	6825402	+	0	NA	Intergenic	Intergenic	1532	ID=HMEL022548g3.t1-E1;Parent=HMEL022548g3.t1								
2894	Hmel213004	1717980	1718719	+	0	NA	Intergenic	Intergenic	1411	ID=HMEL031790g1.t1-E2;Parent=HMEL031790g1.t1								
2126	Hmel210005	351914	352667	+	0	NA	TTS (ID=HMEL014114g1.t1-E8;Parent=HMEL014114g1.t1)	-TTS (ID=HMEL014114g1.t1-E8;Parent=HMEL014114g1.t1)	943	ID=HMEL014114g1.t1-E8;Parent=HMEL014114g1.t1								
4450	Hmel218018	7412421	7412611	+	0	NA	Intergenic	Intergenic	-28385	ID=HMEL034479g1.t1-E1;Parent=HMEL034479g1.t1								
2858	Hmel213001	237049	238380	+	0	NA	Intergenic	Intergenic	-1470	ID=HMEL006607g2.t1-E5;Parent=HMEL006607g2.t1								
900	Hmel205012	995832	996399	+	0	NA	Intergenic	Intergenic	-7343	ID=HMEL017894g2.t1-E1;Parent=HMEL017894g2.t1								
4221	Hmel218007	1105990	1106231	+	0	NA	TTS (ID=HMEL034307g1.t1-E1;Parent=HMEL034307g1.t1)	-TTS (ID=HMEL034307g1.t1-E1;Parent=HMEL034307g1.t1)	544	ID=HMEL034307g1.t1-E1;Parent=HMEL034307g1.t1								
318	Hmel201019	1525145	1525318	+	0	NA	Intergenic	Intergenic	3902	ID=HMEL033148g1.t1-E7;Parent=HMEL033148g1.t1								
2526	Hmel211017	70484	70794	+	0	NA	Intergenic	Intergenic	3363	ID=HMEL031268g1.t1-E4;Parent=HMEL031268g1.t1								
972	Hmel205020	241833	242190	+	0	NA	Intergenic	Intergenic	3949	ID=HMEL020436g1.t1-E4;Parent=HMEL020436g1.t1								
473	Hmel202006	5431482	5432199	+	0	NA	Intergenic	Intergenic	1674	ID=HMEL013278g1.t1-E3;Parent=HMEL013278g1.t1								
2572	Hmel212001	648277	648639	+	0	NA	promoter-TSS (ID=HMEL031333g1.t1-E4;Parent=HMEL031333g1.t1)	-promoter-TSS (ID=HMEL031333g1.t1-E4;Parent=HMEL031333g1.t1)	199	ID=HMEL031333g1.t1-E3;Parent=HMEL031333g1.t1								
1774	Hmel209001	1297741	1298113	+	0	NA	Intergenic	Intergenic	5783	ID=HMEL007611-RA-E4;Parent=HMEL007611-RA								
3	Hmel201002	198689	198856	+	0	NA	Intergenic	Intergenic	15003	ID=HMEL030013g1.t1-E2;Parent=HMEL030013g1.t1								
248	Hmel201011	936583	936801	+	0	NA	TTS (ID=HMEL033032g1.t1-E2;Parent=HMEL033032g1.t1)	-TTS (ID=HMEL033032g1.t1-E2;Parent=HMEL033032g1.t1)	919	ID=HMEL033032g1.t1-E2;Parent=HMEL033032g1.t1								
3888	Hmel217001	360100	360484	+	0	NA	Intergenic	Intergenic	-4433	ID=HMEL016452g5.t1-E1;Parent=HMEL016452g5.t1								
802	Hmel205002	42625	42805	+	0	NA	TTS (ID=HMEL002990g1.t1-E5;Parent=HMEL002990g1.t1)	-TTS (ID=HMEL002990g1.t1-E5;Parent=HMEL002990g1.t1)	113	ID=HMEL002990g1.t1-E5;Parent=HMEL002990g1.t1								
4782	Hmel219018	533707	533948	+	0	NA	Intergenic	Intergenic	-1244	ID=HMEL034884g1.t1-E7;Parent=HMEL034884g1.t1								
3924	Hmel217004	868045	869402	+	0	NA	Intergenic	Intergenic	1793	ID=HMEL033784g1.t1-E1;Parent=HMEL033784g1.t1								
3420	Hmel214019	771033	771321	+	0	NA	Intergenic	Intergenic	-1132	ID=HMEL017820g1.t1-E2;Parent=HMEL017820g1.t1								
2063	Hmel210004	5467673	5468062	+	0	NA	promoter-TSS (ID=HMEL030699g1.t1-E13;Parent=HMEL030699g1.t1)	-promoter-TSS (ID=HMEL030699g1.t1-E13;Parent=HMEL030699g1.t1)	-400	ID=HMEL030699g1.t1-E13;Parent=HMEL030699g1.t1								
3723	Hmel216009	573320	573588	+	0	NA	Intergenic	Intergenic	7964	ID=HMEL004778g2.t1-E3;Parent=HMEL004778g2.t1								
5130	Hmel221001	2533591	2534229	+	0	NA	promoter-TSS (ID=HMEL008805g1.t1-E6;Parent=HMEL008805g1.t1)	-promoter-TSS (ID=HMEL008805g1.t1-E6;Parent=HMEL008805g1.t1)	347	ID=HMEL008805g1.t1-E5;Parent=HMEL008805g1.t1								
3269	Hmel213069	290126	290359	+	0	NA	Intergenic	Intergenic	-2397	ID=HMEL032211g1.t1-E1;Parent=HMEL032211g1.t1								
2632	Hmel212001	3243218	3243572	+	0	NA	promoter-TSS (ID=HMEL004107g1.t1-E1;Parent=HMEL004107g1.t1)	-promoter-TSS (ID=HMEL004107g1.t1-E1;Parent=HMEL004107g1.t1)	-394	ID=HMEL004107g1.t1-E1;Parent=HMEL004107g1.t1								
1049	Hmel206006	1835190	1835853	+	0	NA	Intergenic	Intergenic	7498	ID=HMEL036959g1.t1-E6;Parent=HMEL036959g1.t1								
4544	Hmel219003	2592052	2592551	+	0	NA	Intergenic	Intergenic	11472	ID=HMEL011628g1.t1-E3;Parent=HMEL011628g1.t1								
4869	Hmel220005	35751	35970	+	0	NA	promoter-TSS (ID=HMEL007720g1.t1-E6;Parent=HMEL007720g1.t1)	-promoter-TSS (ID=HMEL007720g1.t1-E6;Parent=HMEL007720g1.t1)	-216	ID=HMEL007720g1.t1-E6;Parent=HMEL007720g1.t1								
2812	Hmel212013	2144051	2144244	+	0	NA	promoter-TSS (ID=HMEL013037g2.t1-E1;Parent=HMEL013037g2.t1)	-promoter-TSS (ID=HMEL013037g2.t1-E1;Parent=HMEL013037g2.t1)	-745	ID=HMEL013037g2.t1-E1;Parent=HMEL013037g2.t1								
1488	Hmel207011	275807	276362	+	0	NA	Intergenic	Intergenic	2536	ID=HMEL007901g1.t1-E1;Parent=HMEL007901g1.t1								
560	Hmel203045	715894	716060	+	0	NA	Intergenic	Intergenic	-12906	ID=HMEL036076g1.t2-E2;Parent=HMEL036076g1.t2								
2830	Hmel212013	2434580	2435056	+	0	NA	Intergenic	Intergenic	1556	ID=HMEL011471g1.t2-E1;Parent=HMEL011471g1.t2								
798	Hmel205001	371807	372393	+	0	NA	Intergenic	Intergenic	-13992	ID=HMEL036596g1.t1-E1;Parent=HMEL036596g1.t1								
898	Hmel205012	898901	899098	+	0	NA	TTS (ID=HMEL036671g1.t1-E3;Parent=HMEL036671g1.t1)	-TTS (ID=HMEL036671g1.t1-E3;Parent=HMEL036671g1.t1)	1133	ID=HMEL036671g1.t1-E3;Parent=HMEL036671g1.t1								
3892	Hmel217001	600763	601155	+	0	NA	Intergenic	Intergenic	16810	ID=HMEL033714g1.t1-E1;Parent=HMEL033714g1.t1								
2725	Hmel212009	124026	124814	+	0	NA	Intergenic	Intergenic	18410	ID=HMEL002552g1.t1-E3;Parent=HMEL002552g1.t1								
3670	Hmel216001	545472	545638	+	0	NA	Intergenic	Intergenic	1102	ID=HMEL014313g1.t1-E6;Parent=HMEL014313g1.t1								
4932	Hmel220005	2855115	2855744	+	0	NA	promoter-TSS (ID=HMEL021624g1.t1-E5;Parent=HMEL021624g1.t1)	-promoter-TSS (ID=HMEL021624g1.t1-E5;Parent=HMEL021624g1.t1)	117	ID=HMEL021624g1.t1-E4;Parent=HMEL021624g1.t1								
4316	Hmel218018	1840215	1840356	+	0	NA	Intergenic	Intergenic	69431	ID=HMEL016195g1.t1-E7;Parent=HMEL016195g1.t1								
1273	Hmel207001	70823	71414	+	0	NA	Intergenic	Intergenic	-5479	ID=HMEL037341g1.t1-E1;Parent=HMEL037341g1.t1								
2516	Hmel211017	161920	162458	+	0	NA	Intergenic	Intergenic	9340	ID=HMEL010017g1.t1-E2;Parent=HMEL010017g1.t1								
451	Hmel202006	4340450	4341163	+	0	NA	Intergenic	Intergenic	-13260	ID=HMEL014031g1.t1-E1;Parent=HMEL014031g1.t1								
3362	Hmel214008	2251092	2251408	+	0	NA	Intergenic	Intergenic	-1114	ID=HMEL005632g1.t1-E2;Parent=HMEL005632g1.t1								
2616	Hmel212001	2760998	2761182	+	0	NA	Intergenic	Intergenic	2959	ID=HMEL031375g1.t1-E3;Parent=HMEL031375g1.t1								
1408	Hmel207002	6062537	6063408	+	0	NA	Intergenic	Intergenic	-12341	ID=HMEL017796g2.t1-E1;Parent=HMEL017796g2.t1								
2448	Hmel211012	640243	640412	+	0	NA	Intergenic	Intergenic	-3247	ID=HMEL010318g1.t1-E1;Parent=HMEL010318g1.t1								
4224	Hmel218007	1301403	1301763	+	0	NA	Intergenic	Intergenic	-15410	ID=HMEL015332g1.t1-E1;Parent=HMEL015332g1.t1								
2969	Hmel213025	141292	141541	+	0	NA	TTS (ID=HMEL031927g1.t1-E2;Parent=HMEL031927g1.t1)	-TTS (ID=HMEL031927g1.t1-E2;Parent=HMEL031927g1.t1)	158	ID=HMEL031927g1.t1-E2;Parent=HMEL031927g1.t1								
4249	Hmel218015	35784	36743	+	0	NA	Intergenic	Intergenic	-5993	ID=HMEL034345g1.t1-E1;Parent=HMEL034345g1.t1								
4557	Hmel219003	3199365	3200257	+	0	NA	Intergenic	Intergenic	8458	ID=HMEL006178g2.t1-E3;Parent=HMEL006178g2.t1								
2721	Hmel212006	421428	422065	+	0	NA	Intergenic	Intergenic	19680	ID=HMEL031536g1.t1-E2;Parent=HMEL031536g1.t1								
3595	Hmel215047	72408	73093	+	0	NA	Intergenic	Intergenic	-13749	ID=HMEL021229g1.t1-E1;Parent=HMEL021229g1.t1								
578	Hmel203048	413841	414358	+	0	NA	Intergenic	Intergenic	-12896	ID=HMEL036097g1.t1-E1;Parent=HMEL036097g1.t1								
4788	Hmel219018	733385	733518	+	0	NA	Intergenic	Intergenic	-3580	ID=HMEL017955g1.t1-E1;Parent=HMEL017955g1.t1								
4909	Hmel220005	1686830	1687400	+	0	NA	Intergenic	Intergenic	8213	ID=HMEL035096g1.t1-E2;Parent=HMEL035096g1.t1								
4418	Hmel218018	6399910	6400103	+	0	NA	Intergenic	Intergenic	4563	ID=HMEL016326g1.t1-E2;Parent=HMEL016326g1.t1								
4384	Hmel218018	5157400	5157820	+	0	NA	TTS (ID=HMEL034442g1.t1-E2;Parent=HMEL034442g1.t1)	-TTS (ID=HMEL034442g1.t1-E2;Parent=HMEL034442g1.t1)	1770	ID=HMEL034442g1.t1-E2;Parent=HMEL034442g1.t1								
695	Hmel204003	597844	598092	+	0	NA	Intergenic	Intergenic	5712	ID=HMEL036362g1.t1-E2;Parent=HMEL036362g1.t1								
3331	Hmel214008	221568	221984	+	0	NA	Intergenic	Intergenic	-40023	ID=HMEL032314g1.t1-E1;Parent=HMEL032314g1.t1								
5335	Hmel220003	2625061	2625517	+	0	NA	promoter-TSS (ID=HMEL012541g1.t1-E17;Parent=HMEL012541g1.t1)	-promoter-TSS (ID=HMEL012541g1.t1-E17;Parent=HMEL012541g1.t1)	133	ID=HMEL012541g1.t3-E16;Parent=HMEL012541g1.t3								
5167	Hmel221012	1202155	1202319	+	0	NA	TTS (ID=HMEL016654g1.t1-E3;Parent=HMEL016654g1.t1)	-TTS (ID=HMEL016654g1.t1-E3;Parent=HMEL016654g1.t1)	479	ID=HMEL016654g1.t1-E3;Parent=HMEL016654g1.t1								
5148	Hmel221012	241954	242348	+	0	NA	Intergenic	Intergenic	-5393	ID=HMEL012086g1.t1-E1;Parent=HMEL012086g1.t1								
540	Hmel203040	145	800	+	0	NA	Intergenic	Intergenic	1217	ID=HMEL036044g1.t1-E17;Parent=HMEL036044g1.t1								
1615	Hmel208014	271416	271806	+	0	NA	promoter-TSS (ID=HMEL037857g1.t1-E1;Parent=HMEL037857g1.t1)	-promoter-TSS (ID=HMEL037857g1.t1-E1;Parent=HMEL037857g1.t1)	-49	ID=HMEL037857g1.t1-E1;Parent=HMEL037857g1.t1								
3137	Hmel213054	57643	57877	+	0	NA	Intergenic	Intergenic	7082	ID=HMEL015621g1.t1-E2;Parent=HMEL015621g1.t1								
3065	Hmel213049	390838	391315	+	0	NA	Intergenic	Intergenic	1583	ID=HMEL032069g1.t1-E1;Parent=HMEL032069g1.t1								
2073	Hmel210004	5934621	5934817	+	0	NA	Intergenic	Intergenic	8440	ID=HMEL009013g1.t2-E1;Parent=HMEL009013g1.t2								
1732	Hmel208051	605141	605406	+	0	NA	Intergenic	Intergenic	-14135	ID=HMEL038153g1.t1-E1;Parent=HMEL038153g1.t1								
861	Hmel205009	163724	164327	+	0	NA	Intergenic	Intergenic	3006	ID=HMEL036636g1.t1-E2;Parent=HMEL036636g1.t1								
3706	Hmel216007	223598	223989	+	0	NA	Intergenic	Intergenic	-3277	ID=HMEL012650g2.t1-E1;Parent=HMEL012650g2.t1								
337	Hmel202004	1012280	1012738	+	0	NA	Intergenic	Intergenic	-1656	ID=HMEL007047g1.t1-E4;Parent=HMEL007047g1.t1								
2406	Hmel211009	273456	274447	+	0	NA	Intergenic	Intergenic	2169	ID=HMEL005717g4.t1-E1;Parent=HMEL005717g4.t1								
3172	Hmel213062	440055	440506	+	0	NA	Intergenic	Intergenic	31117	ID=HMEL032111g1.t1-E1;Parent=HMEL032111g1.t1								
76	Hmel201005	470394	470538	+	0	NA	Intergenic	Intergenic	-6090	ID=HMEL003401g1.t1-E1;Parent=HMEL003401g1.t1								
2718	Hmel212006	384628	385228	+	0	NA	Intergenic	Intergenic	-15165	ID=HMEL031535g1.t1-E1;Parent=HMEL031535g1.t1								
982	Hmel205020	806342	807316	+	0	NA	Intergenic	Intergenic	-4505	ID=HMEL036806g1.t1-E1;Parent=HMEL036806g1.t1								
571	Hmel203059	1365	3154	+	0	NA	Intergenic	Intergenic	2031	ID=HMEL036128g1.t1-E1;Parent=HMEL036128g1.t1								
1190	Hmel206012	591049	591425	+	0	NA	Intergenic	Intergenic	10821	ID=HMEL037117g1.t1-E1;Parent=HMEL037117g1.t1								
2592	Hmel212001	1854042	1854807	+	0	NA	Intergenic	Intergenic	-13179	ID=HMEL031357g1.t1-E1;Parent=HMEL031357g1.t1								
1171	Hmel206009	4148195	4148405	+	0	NA	promoter-TSS (ID=HMEL037073g1.t1-E6;Parent=HMEL037073g1.t1)	-promoter-TSS (ID=HMEL037073g1.t1-E6;Parent=HMEL037073g1.t1)	-409	ID=HMEL037073g1.t1-E6;Parent=HMEL037073g1.t1								
1345	Hmel207002	2869015	2869593	+	0	NA	TTS (ID=HMEL007142g1.t1-E2;Parent=HMEL007142g1.t1)	-TTS (ID=HMEL007142g1.t1-E2;Parent=HMEL007142g1.t1)	1175	ID=HMEL007142g1.t1-E2;Parent=HMEL007142g1.t1								
2290	Hmel210011	5666201	5666460	+	0	NA	promoter-TSS (ID=HMEL009174g1.t1-E5;Parent=HMEL009174g1.t1)	-promoter-TSS (ID=HMEL009174g1.t1-E5;Parent=HMEL009174g1.t1)	-560	ID=HMEL009174g1.t1-E5;Parent=HMEL009174g1.t1								
4431	Hmel218018	6757939	6758374	+	0	NA	Intergenic	Intergenic	-2939	ID=HMEL034467g1.t1-E1;Parent=HMEL034467g1.t1								
4153	Hmel218004	67873	68286	+	0	NA	TTS (ID=HMEL014191g1.t1-E3;Parent=HMEL014191g1.t1)	-TTS (ID=HMEL014191g1.t1-E3;Parent=HMEL014191g1.t1)	635	ID=HMEL014191g1.t1-E3;Parent=HMEL014191g1.t1								
1123	Hmel206009	1995158	1996592	+	0	NA	Intergenic	Intergenic	-5862	ID=HMEL037036g1.t1-E1;Parent=HMEL037036g1.t1								
236	Hmel201009	5885207	5885529	+	0	NA	Intergenic	Intergenic	-8708	ID=HMEL002300g1.t1-E1;Parent=HMEL002300g1.t1								
758	Hmel204017	2326879	2327252	+	0	NA	Intergenic	Intergenic	18625	ID=HMEL036476g1.t1-E4;Parent=HMEL036476g1.t1								
706	Hmel204004	133315	133813	+	0	NA	Intergenic	Intergenic	36482	ID=HMEL004055g1.t1-E5;Parent=HMEL004055g1.t1								
14	Hmel201002	729179	729539	+	0	NA	Intergenic	Intergenic	1370	ID=HMEL003784g1.t1-E5;Parent=HMEL003784g1.t1								
4550	Hmel219003	3113120	3113972	+	0	NA	Intergenic	Intergenic	-5052	ID=HMEL006176g1.t1-E2;Parent=HMEL006176g1.t1								
4761	Hmel219014	2542088	2542329	+	0	NA	TTS (ID=HMEL016421g1.t1-E3;Parent=HMEL016421g1.t1)	-TTS (ID=HMEL016421g1.t1-E3;Parent=HMEL016421g1.t1)	779	ID=HMEL016421g1.t1-E3;Parent=HMEL016421g1.t1								
2587	Hmel212001	1718876	1719231	+	0	NA	Intergenic	Intergenic	16185	ID=HMEL005670g1.t1-E2;Parent=HMEL005670g1.t1								
