PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_shared_D2up_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D2_p05FC1_shared_D2up_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
453	Herato0204	320899	322420	+	0	NA	Intergenic	Intergenic	-7970	ID=evm.model.Herato0204.14-E4;Parent=evm.model.Herato0204.14								
324	Herato1108	11958920	11960070	+	0	NA	Intergenic	Intergenic	5695	ID=evm.model.Herato1108.512-E1;Parent=evm.model.Herato1108.512								
180	Herato0901	1761267	1762186	+	0	NA	Intergenic	Intergenic	-6551	ID=evm.model.Herato0901.62-E1;Parent=evm.model.Herato0901.62								
244	Herato1003	7262983	7263455	+	0	NA	promoter-TSS (ID=evm.model.Herato1003.265-E3;Parent=evm.model.Herato1003.265)	-promoter-TSS (ID=evm.model.Herato1003.265-E3;Parent=evm.model.Herato1003.265)	328	ID=evm.model.Herato1003.265.1-E3;Parent=evm.model.Herato1003.265.1								
637	Herato1801	1941800	1942219	+	0	NA	Intergenic	Intergenic	-9234	ID=evm.model.Herato1801.83.1-E2;Parent=evm.model.Herato1801.83.1								
351	Herato1202	7617865	7618663	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.304-E2;Parent=evm.model.Herato1202.304)	-promoter-TSS (ID=evm.model.Herato1202.304-E2;Parent=evm.model.Herato1202.304)	-138	ID=evm.model.Herato1202.304-E2;Parent=evm.model.Herato1202.304								
410	Herato1301	6612386	6613210	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.238-E17;Parent=evm.model.Herato1301.238)	-promoter-TSS (ID=evm.model.Herato1301.238-E17;Parent=evm.model.Herato1301.238)	-155	ID=evm.model.Herato1301.238-E17;Parent=evm.model.Herato1301.238								
595	Herato1701	4161416	4162187	+	0	NA	Intergenic	Intergenic	-12085	ID=evm.model.Herato1701.95.1-E2;Parent=evm.model.Herato1701.95.1								
246	Herato0101	1587348	1588045	+	0	NA	Intergenic	Intergenic	-10066	ID=evm.model.Herato0101.39.3-E2;Parent=evm.model.Herato0101.39.3								
690	Herato0214	263176	263720	+	0	NA	Intergenic	Intergenic	-7426	ID=evm.model.Herato0214.20.2-E3;Parent=evm.model.Herato0214.20.2								
488	Herato1411	1251078	1251330	+	0	NA	Intergenic	Intergenic	2954	ID=evm.model.Herato1411.36-E1;Parent=evm.model.Herato1411.36								
61	Herato0701	1400939	1401279	+	0	NA	Intergenic	Intergenic	-1569	ID=evm.model.Herato0701.54-E2;Parent=evm.model.Herato0701.54								
752	Herato1904	5598356	5599105	+	0	NA	Intergenic	Intergenic	1155	ID=evm.model.Herato1904.206-E15;Parent=evm.model.Herato1904.206								
835	Herato2001	13352552	13352841	+	0	NA	Intergenic	Intergenic	-31990	ID=evm.model.Herato2001.531.4-E1;Parent=evm.model.Herato2001.531.4								
430	Herato1301	16497788	16499118	+	0	NA	TTS (ID=evm.model.Herato1301.591-E3;Parent=evm.model.Herato1301.591)	-TTS (ID=evm.model.Herato1301.591-E3;Parent=evm.model.Herato1301.591)	666	ID=evm.model.Herato1301.591-E3;Parent=evm.model.Herato1301.591								
447	Herato1301	19541218	19541705	+	0	NA	Intergenic	Intergenic	-119355	ID=evm.model.Herato1301.673-E1;Parent=evm.model.Herato1301.673								
536	Herato0209	656344	656572	+	0	NA	Intergenic	Intergenic	-1083	ID=evm.model.Herato0209.45-E5;Parent=evm.model.Herato0209.45								
379	Herato1202	17334123	17334266	+	0	NA	Intergenic	Intergenic	1322	ID=evm.model.Herato1202.710-E6;Parent=evm.model.Herato1202.710								
415	Herato1301	10907620	10907838	+	0	NA	TTS (ID=evm.model.Herato1301.435-E1;Parent=evm.model.Herato1301.435)	-TTS (ID=evm.model.Herato1301.435-E1;Parent=evm.model.Herato1301.435)	741	ID=evm.model.Herato1301.435-E1;Parent=evm.model.Herato1301.435								
901	Herato0401	971734	972099	+	0	NA	TTS (ID=evm.model.Herato0401.16-E1;Parent=evm.model.Herato0401.16)	-TTS (ID=evm.model.Herato0401.16-E1;Parent=evm.model.Herato0401.16)	957	ID=evm.model.Herato0401.16-E1;Parent=evm.model.Herato0401.16								
113	Herato0701	14201034	14201917	+	0	NA	Intergenic	Intergenic	-6698	ID=evm.model.Herato0701.643-E1;Parent=evm.model.Herato0701.643								
152	Herato0101	12956584	12956899	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.439-E6;Parent=evm.model.Herato0101.439)	-promoter-TSS (ID=evm.model.Herato0101.439-E6;Parent=evm.model.Herato0101.439)	68	ID=evm.model.Herato0101.439-E6;Parent=evm.model.Herato0101.439								
189	Herato0901	4038975	4039694	+	0	NA	Intergenic	Intergenic	-83814	ID=evm.model.Herato0901.99-E1;Parent=evm.model.Herato0901.99								
452	Herato1301	20316750	20317181	+	0	NA	Intergenic	Intergenic	-1726	ID=evm.model.Herato1301.693-E3;Parent=evm.model.Herato1301.693								
342	Herato1202	3678265	3678907	+	0	NA	Intergenic	Intergenic	-1222	ID=evm.model.Herato1202.124-E1;Parent=evm.model.Herato1202.124								
862	Herato0301	4152564	4153833	+	0	NA	promoter-TSS (ID=evm.model.Herato0301.104-E9;Parent=evm.model.Herato0301.104)	-promoter-TSS (ID=evm.model.Herato0301.104-E9;Parent=evm.model.Herato0301.104)	416	ID=evm.model.Herato0301.104-E8;Parent=evm.model.Herato0301.104								
579	Herato1605	1302601	1302972	+	0	NA	Intergenic	Intergenic	-8492	ID=evm.model.Herato1605.42-E1;Parent=evm.model.Herato1605.42								
295	Herato1007	4851362	4851708	+	0	NA	promoter-TSS (ID=evm.model.Herato1007.194-E3;Parent=evm.model.Herato1007.194)	-promoter-TSS (ID=evm.model.Herato1007.194-E3;Parent=evm.model.Herato1007.194)	-229	ID=evm.model.Herato1007.194.1-E3;Parent=evm.model.Herato1007.194.1								
480	Herato1411	634904	636660	+	0	NA	Intergenic	Intergenic	13168	ID=evm.model.Herato1411.17.1-E3;Parent=evm.model.Herato1411.17.1								
341	Herato1202	3463641	3463928	+	0	NA	Intergenic	Intergenic	21461	ID=evm.model.Herato1202.116.3-E1;Parent=evm.model.Herato1202.116.3								
438	Herato1301	18137906	18138159	+	0	NA	Intergenic	Intergenic	-1413	ID=evm.model.Herato1301.628.1-E4;Parent=evm.model.Herato1301.628.1								
107	Herato0701	10445424	10445747	+	0	NA	Intergenic	Intergenic	-3819	ID=evm.model.Herato0701.436-E2;Parent=evm.model.Herato0701.436								
535	Herato0209	455096	455280	+	0	NA	Intergenic	Intergenic	1739	ID=evm.model.Herato0209.29.1-E2;Parent=evm.model.Herato0209.29.1								
87	Herato0701	8253712	8254019	+	0	NA	Intergenic	Intergenic	13259	ID=evm.model.Herato0701.366-E6;Parent=evm.model.Herato0701.366								
77	Herato0701	6576594	6577387	+	0	NA	Intergenic	Intergenic	-6432	ID=evm.model.Herato0701.287-E3;Parent=evm.model.Herato0701.287								
683	Herato1805	5243643	5244377	+	0	NA	promoter-TSS (ID=evm.model.Herato1805.135-E5;Parent=evm.model.Herato1805.135)	-promoter-TSS (ID=evm.model.Herato1805.135-E5;Parent=evm.model.Herato1805.135)	-649	ID=evm.model.Herato1805.135.2-E6;Parent=evm.model.Herato1805.135.2								
444	Herato1301	18958584	18958828	+	0	NA	Intergenic	Intergenic	-2344	ID=evm.model.Herato1301.653-E2;Parent=evm.model.Herato1301.653								
541	Herato1601	4999255	4999685	+	0	NA	Intergenic	Intergenic	1296	ID=evm.model.Herato1601.107-E1;Parent=evm.model.Herato1601.107								
508	Herato1505	2052277	2053180	+	0	NA	Intergenic	Intergenic	21632	ID=evm.model.Herato1505.85-E9;Parent=evm.model.Herato1505.85								
953	Herato0503	4446347	4446796	+	0	NA	Intergenic	Intergenic	-94392	ID=evm.model.Herato0503.132.2-E1;Parent=evm.model.Herato0503.132.2								
221	Herato1001	562162	563429	+	0	NA	Intergenic	Intergenic	-7569	ID=evm.model.Herato1001.28-E1;Parent=evm.model.Herato1001.28								
39	Herato0606	5405057	5405751	+	0	NA	Intergenic	Intergenic	-4407	ID=evm.model.Herato0606.180.1-E1;Parent=evm.model.Herato0606.180.1								
64	Herato0701	2513188	2514174	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.148-E7;Parent=evm.model.Herato0701.148)	-promoter-TSS (ID=evm.model.Herato0701.148-E7;Parent=evm.model.Herato0701.148)	-225	ID=evm.model.Herato0701.148.5-E7;Parent=evm.model.Herato0701.148.5								
558	Herato1603	2167018	2167173	+	0	NA	promoter-TSS (ID=evm.model.Herato1603.62-E1;Parent=evm.model.Herato1603.62)	-promoter-TSS (ID=evm.model.Herato1603.62-E1;Parent=evm.model.Herato1603.62)	-583	ID=evm.model.Herato1603.62-E1;Parent=evm.model.Herato1603.62								
417	Herato1301	11245952	11246341	+	0	NA	Intergenic	Intergenic	-2651	ID=evm.model.Herato1301.446-E1;Parent=evm.model.Herato1301.446								
12	Herato0601	3162735	3163089	+	0	NA	Intergenic	Intergenic	-4718	ID=evm.model.Herato0601.74-E3;Parent=evm.model.Herato0601.74								
881	Herato0310	3325020	3326160	+	0	NA	promoter-TSS (ID=evm.model.Herato0310.68-E10;Parent=evm.model.Herato0310.68)	-promoter-TSS (ID=evm.model.Herato0310.68-E10;Parent=evm.model.Herato0310.68)	-719	ID=evm.model.Herato0310.68-E10;Parent=evm.model.Herato0310.68								
765	Herato1906	843949	844324	+	0	NA	Intergenic	Intergenic	-3463	ID=evm.model.Herato1906.27-E3;Parent=evm.model.Herato1906.27								
897	Herato0310	9243271	9243932	+	0	NA	Intergenic	Intergenic	-3298	ID=evm.model.Herato0310.278-E3;Parent=evm.model.Herato0310.278								
784	Herato0215	1688010	1688206	+	0	NA	Intergenic	Intergenic	14068	ID=evm.model.Herato0215.59-E1;Parent=evm.model.Herato0215.59								
312	Herato1108	7896515	7897493	+	0	NA	Intergenic	Intergenic	-3628	ID=evm.model.Herato1108.345-E1;Parent=evm.model.Herato1108.345								
45	Herato0606	6157445	6157797	+	0	NA	Intergenic	Intergenic	3941	ID=evm.model.Herato0606.214-E31;Parent=evm.model.Herato0606.214								
507	Herato1505	2006887	2007558	+	0	NA	Intergenic	Intergenic	-2235	ID=evm.model.Herato1505.84-E1;Parent=evm.model.Herato1505.84								
405	Herato1301	4863945	4864326	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.138-E8;Parent=evm.model.Herato1301.138)	-promoter-TSS (ID=evm.model.Herato1301.138-E8;Parent=evm.model.Herato1301.138)	-602	ID=evm.model.Herato1301.138-E8;Parent=evm.model.Herato1301.138								
260	Herato1005	2320183	2320767	+	0	NA	Intergenic	Intergenic	-6063	ID=evm.model.Herato1005.115-E1;Parent=evm.model.Herato1005.115								
573	Herato1605	326662	327144	+	0	NA	Intergenic	Intergenic	-2254	ID=evm.model.Herato1605.24-E1;Parent=evm.model.Herato1605.24								
237	Herato1003	4945798	4946026	+	0	NA	Intergenic	Intergenic	10787	ID=evm.model.Herato1003.154-E1;Parent=evm.model.Herato1003.154								
370	Herato1202	14803099	14803520	+	0	NA	Intergenic	Intergenic	-6221	ID=evm.model.Herato1202.572-E4;Parent=evm.model.Herato1202.572								
309	Herato0101	18260068	18262229	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.723-E1;Parent=evm.model.Herato0101.723)	-promoter-TSS (ID=evm.model.Herato0101.723-E1;Parent=evm.model.Herato0101.723)	51	ID=evm.model.Herato0101.723-E1;Parent=evm.model.Herato0101.723								
762	Herato1904	8290206	8290707	+	0	NA	Intergenic	Intergenic	-7180	ID=evm.model.Herato1904.276-E1;Parent=evm.model.Herato1904.276								
638	Herato1801	2239200	2239423	+	0	NA	Intergenic	Intergenic	-2313	ID=evm.model.Herato1801.89-E2;Parent=evm.model.Herato1801.89								
734	Herato1904	688471	689408	+	0	NA	Intergenic	Intergenic	31602	ID=evm.model.Herato1904.22-E1;Parent=evm.model.Herato1904.22								
875	Herato0310	1579894	1580611	+	0	NA	Intergenic	Intergenic	-3125	ID=evm.model.Herato0310.28-E1;Parent=evm.model.Herato0310.28								
567	Herato0210	67084	67542	+	0	NA	Intergenic	Intergenic	2103	ID=evm.model.Herato0210.6-E2;Parent=evm.model.Herato0210.6								
1	Herato0508	777267	777555	+	0	NA	Intergenic	Intergenic	2390	ID=evm.model.Herato0508.43-E2;Parent=evm.model.Herato0508.43								
506	Herato1505	1426378	1426989	+	0	NA	Intergenic	Intergenic	-4696	ID=evm.model.Herato1505.49-E1;Parent=evm.model.Herato1505.49								
136	Herato0801	1412412	1412778	+	0	NA	Intergenic	Intergenic	9892	ID=evm.model.Herato0801.21-E2;Parent=evm.model.Herato0801.21								
116	Herato0701	14508443	14508803	+	0	NA	Intergenic	Intergenic	-12461	ID=evm.model.Herato0701.664-E1;Parent=evm.model.Herato0701.664								
416	Herato1301	11168755	11169287	+	0	NA	Intergenic	Intergenic	-3808	ID=evm.model.Herato1301.445-E1;Parent=evm.model.Herato1301.445								
144	Herato0801	5619858	5621116	+	0	NA	TTS (ID=evm.model.Herato0801.141-E2;Parent=evm.model.Herato0801.141)	-TTS (ID=evm.model.Herato0801.141-E2;Parent=evm.model.Herato0801.141)	353	ID=evm.model.Herato0801.141.1-E2;Parent=evm.model.Herato0801.141.1								
914	Herato0411	1117703	1118102	+	0	NA	Intergenic	Intergenic	3660	ID=evm.model.Herato0411.22-E2;Parent=evm.model.Herato0411.22								
380	Herato1202	17482975	17483623	+	0	NA	Intergenic	Intergenic	-8307	ID=evm.model.Herato1202.713-E2;Parent=evm.model.Herato1202.713								
100	Herato0701	9108199	9108789	+	0	NA	TTS (ID=evm.model.Herato0701.383-E3;Parent=evm.model.Herato0701.383)	-TTS (ID=evm.model.Herato0701.383-E3;Parent=evm.model.Herato0701.383)	1086	ID=evm.model.Herato0701.383.1-E3;Parent=evm.model.Herato0701.383.1								
965	Herato0503	7375764	7376161	+	0	NA	Intergenic	Intergenic	1852	ID=evm.model.Herato0503.262-E4;Parent=evm.model.Herato0503.262								
300	Herato0101	17905394	17906217	+	0	NA	exon (ID=evm.model.Herato0101.712-E1;Parent=evm.model.Herato0101.712, exon 1 of 1)	-exon (ID=evm.model.Herato0101.712-E1;Parent=evm.model.Herato0101.712, exon 1 of 1)	284	ID=evm.model.Herato0101.712-E1;Parent=evm.model.Herato0101.712								
824	Herato2001	10543584	10543755	+	0	NA	Intergenic	Intergenic	5258	ID=evm.model.Herato2001.414-E8;Parent=evm.model.Herato2001.414								
661	Herato1805	1009919	1010588	+	0	NA	Intergenic	Intergenic	2133	ID=evm.model.Herato1805.55-E1;Parent=evm.model.Herato1805.55								
286	Herato1007	1942531	1942701	+	0	NA	Intergenic	Intergenic	21609	ID=evm.model.Herato1007.84-E1;Parent=evm.model.Herato1007.84								
120	Herato0701	15637042	15637941	+	0	NA	Intergenic	Intergenic	-11330	ID=evm.model.Herato0701.679-E1;Parent=evm.model.Herato0701.679								
800	Herato2001	2467235	2467452	+	0	NA	Intergenic	Intergenic	13032	ID=evm.model.Herato2001.64.3-E1;Parent=evm.model.Herato2001.64.3								
381	Herato1202	17500509	17501311	+	0	NA	Intergenic	Intergenic	9018	ID=evm.model.Herato1202.713-E1;Parent=evm.model.Herato1202.713								
581	Herato1605	1747385	1748049	+	0	NA	Intergenic	Intergenic	1927	ID=evm.model.Herato1605.54-E1;Parent=evm.model.Herato1605.54								
308	Herato1108	7237045	7237362	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.326-E9;Parent=evm.model.Herato1108.326)	-promoter-TSS (ID=evm.model.Herato1108.326-E9;Parent=evm.model.Herato1108.326)	-374	ID=evm.model.Herato1108.326-E9;Parent=evm.model.Herato1108.326								
906	Herato0403	686821	687378	+	0	NA	Intergenic	Intergenic	12255	ID=evm.model.Herato0403.10-E1;Parent=evm.model.Herato0403.10								
392	Herato1301	2444953	2445256	+	0	NA	Intergenic	Intergenic	8530	ID=evm.model.Herato1301.60.1-E3;Parent=evm.model.Herato1301.60.1								
254	Herato1005	1085598	1085861	+	0	NA	Intergenic	Intergenic	3479	ID=evm.model.Herato1005.69-E1;Parent=evm.model.Herato1005.69								
177	Herato0101	13668704	13670370	+	0	NA	TTS (ID=evm.model.Herato0101.486-E1;Parent=evm.model.Herato0101.486)	-TTS (ID=evm.model.Herato0101.486-E1;Parent=evm.model.Herato0101.486)	469	ID=evm.model.Herato0101.486-E2;Parent=evm.model.Herato0101.486								
678	Herato1805	3919216	3919503	+	0	NA	Intergenic	Intergenic	-68413	ID=evm.model.Herato1805.105-E1;Parent=evm.model.Herato1805.105								
496	Herato1411	5261511	5261865	+	0	NA	Intergenic	Intergenic	-13525	ID=evm.model.Herato1411.194-E2;Parent=evm.model.Herato1411.194								
605	Herato1701	5890898	5891401	+	0	NA	Intergenic	Intergenic	4521	ID=evm.model.Herato1701.164.1-E9;Parent=evm.model.Herato1701.164.1								
373	Herato1202	15623444	15624255	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.605-E1;Parent=evm.model.Herato1202.605)	-promoter-TSS (ID=evm.model.Herato1202.605-E1;Parent=evm.model.Herato1202.605)	2	ID=evm.model.Herato1202.605-E1;Parent=evm.model.Herato1202.605								
607	Herato1701	6394020	6394253	+	0	NA	promoter-TSS (ID=evm.model.Herato1701.181-E3;Parent=evm.model.Herato1701.181)	-promoter-TSS (ID=evm.model.Herato1701.181-E3;Parent=evm.model.Herato1701.181)	533	ID=evm.model.Herato1701.181.3-E2;Parent=evm.model.Herato1701.181.3								
773	Herato1908	301234	301715	+	0	NA	Intergenic	Intergenic	-7429	ID=evm.model.Herato1908.15.2-E2;Parent=evm.model.Herato1908.15.2								
813	Herato2001	6562227	6562448	+	0	NA	TTS (ID=evm.model.Herato2001.239-E1;Parent=evm.model.Herato2001.239)	-TTS (ID=evm.model.Herato2001.239-E1;Parent=evm.model.Herato2001.239)	1039	ID=evm.model.Herato2001.239-E1;Parent=evm.model.Herato2001.239								
205	Herato0901	8567185	8567603	+	0	NA	TTS (ID=evm.model.Herato0901.274-E3;Parent=evm.model.Herato0901.274)	-TTS (ID=evm.model.Herato0901.274-E3;Parent=evm.model.Herato0901.274)	895	ID=evm.model.Herato0901.274-E3;Parent=evm.model.Herato0901.274								
42	Herato0606	5785216	5785488	+	0	NA	Intergenic	Intergenic	-3419	ID=evm.model.Herato0606.197.2-E1;Parent=evm.model.Herato0606.197.2								
22	Herato0606	3031728	3032342	+	0	NA	TTS (ID=evm.model.Herato0606.94-E3;Parent=evm.model.Herato0606.94)	-TTS (ID=evm.model.Herato0606.94-E3;Parent=evm.model.Herato0606.94)	276	ID=evm.model.Herato0606.94-E3;Parent=evm.model.Herato0606.94								
759	Herato1904	7717394	7717866	+	0	NA	Intergenic	Intergenic	-6028	ID=evm.model.Herato1904.267-E2;Parent=evm.model.Herato1904.267								
644	Herato1801	2975193	2975420	+	0	NA	Intergenic	Intergenic	3856	ID=evm.model.Herato1801.108.1-E2;Parent=evm.model.Herato1801.108.1								
851	Herato2101	7921981	7922916	+	0	NA	TTS (ID=evm.model.Herato2101.280-E5;Parent=evm.model.Herato2101.280)	-TTS (ID=evm.model.Herato2101.280-E5;Parent=evm.model.Herato2101.280)	569	ID=evm.model.Herato2101.280-E5;Parent=evm.model.Herato2101.280								
927	Herato0101	6555192	6555981	+	0	NA	Intergenic	Intergenic	4564	ID=evm.model.Herato0101.199-E4;Parent=evm.model.Herato0101.199								
399	Herato1301	3448264	3449230	+	0	NA	Intergenic	Intergenic	-24991	ID=evm.model.Herato1301.96.2-E1;Parent=evm.model.Herato1301.96.2								
235	Herato1003	1361826	1362109	+	0	NA	Intergenic	Intergenic	4240	ID=evm.model.Herato1003.46-E3;Parent=evm.model.Herato1003.46								
301	Herato0101	17973027	17973330	+	0	NA	Intergenic	Intergenic	24200	ID=evm.model.Herato0101.718-E4;Parent=evm.model.Herato0101.718								
694	Herato1807	82441	83238	+	0	NA	Intergenic	Intergenic	1658	ID=evm.model.Herato1807.1.5-E2;Parent=evm.model.Herato1807.1.5								
436	Herato1301	17588368	17588776	+	0	NA	Intergenic	Intergenic	3889	ID=evm.model.Herato1301.619-E2;Parent=evm.model.Herato1301.619								
213	Herato0901	10426676	10427469	+	0	NA	Intergenic	Intergenic	2169	ID=evm.model.Herato0901.320.1-E1;Parent=evm.model.Herato0901.320.1								
94	Herato0701	8797540	8798656	+	0	NA	Intergenic	Intergenic	-45795	ID=evm.model.Herato0701.374.1-E1;Parent=evm.model.Herato0701.374.1								
816	Herato2001	9096868	9097021	+	0	NA	Intergenic	Intergenic	45850	ID=evm.model.Herato2001.383-E1;Parent=evm.model.Herato2001.383								
51	Herato0606	9418068	9418859	+	0	NA	Intergenic	Intergenic	7507	ID=evm.model.Herato0606.305-E5;Parent=evm.model.Herato0606.305								
456	Herato1301	21071812	21072405	+	0	NA	Intergenic	Intergenic	2715	ID=evm.model.Herato1301.721-E1;Parent=evm.model.Herato1301.721								
568	Herato1603	3887144	3887528	+	0	NA	Intergenic	Intergenic	4375	ID=evm.model.Herato1603.118.1-E2;Parent=evm.model.Herato1603.118.1								
874	Herato0310	444873	445183	+	0	NA	Intergenic	Intergenic	-11979	ID=evm.model.Herato0310.10-E7;Parent=evm.model.Herato0310.10								
652	Herato1805	738992	739502	+	0	NA	promoter-TSS (ID=evm.model.Herato1805.50-E5;Parent=evm.model.Herato1805.50)	-promoter-TSS (ID=evm.model.Herato1805.50-E5;Parent=evm.model.Herato1805.50)	148	ID=evm.model.Herato1805.50.2-E5;Parent=evm.model.Herato1805.50.2								
296	Herato1108	3239365	3239804	+	0	NA	Intergenic	Intergenic	9126	ID=evm.model.Herato1108.106-E9;Parent=evm.model.Herato1108.106								
265	Herato1005	3401606	3401889	+	0	NA	Intergenic	Intergenic	3645	ID=evm.model.Herato1005.171-E3;Parent=evm.model.Herato1005.171								
975	Herato0508	321976	322626	+	0	NA	Intergenic	Intergenic	-1621	ID=evm.model.Herato0508.9.1-E2;Parent=evm.model.Herato0508.9.1								
791	Herato2001	1058573	1058987	+	0	NA	Intergenic	Intergenic	46574	ID=evm.model.Herato2001.19-E2;Parent=evm.model.Herato2001.19								
493	Herato1411	4730868	4731324	+	0	NA	Intergenic	Intergenic	-10333	ID=evm.model.Herato1411.182-E2;Parent=evm.model.Herato1411.182								
171	Herato0901	32427	32903	+	0	NA	promoter-TSS (ID=evm.model.Herato0901.2-E5;Parent=evm.model.Herato0901.2)	-promoter-TSS (ID=evm.model.Herato0901.2-E5;Parent=evm.model.Herato0901.2)	-813	ID=evm.model.Herato0901.2-E5;Parent=evm.model.Herato0901.2								
916	Herato0411	1365955	1366242	+	0	NA	Intergenic	Intergenic	-22684	ID=evm.model.Herato0411.29-E4;Parent=evm.model.Herato0411.29								
386	Herato1202	19177638	19178844	+	0	NA	Intergenic	Intergenic	-4688	ID=evm.model.Herato1202.776-E2;Parent=evm.model.Herato1202.776								
796	Herato2001	2270477	2271201	+	0	NA	Intergenic	Intergenic	-18491	ID=evm.model.Herato2001.58-E1;Parent=evm.model.Herato2001.58								
445	Herato1301	19265247	19266028	+	0	NA	TTS (ID=evm.model.Herato1301.672-E2;Parent=evm.model.Herato1301.672)	-TTS (ID=evm.model.Herato1301.672-E2;Parent=evm.model.Herato1301.672)	176	ID=evm.model.Herato1301.672-E2;Parent=evm.model.Herato1301.672								
200	Herato0901	6102043	6102676	+	0	NA	Intergenic	Intergenic	13721	ID=evm.model.Herato0901.203-E1;Parent=evm.model.Herato0901.203								
366	Herato1202	14656869	14658002	+	0	NA	Intergenic	Intergenic	-21229	ID=evm.model.Herato1202.568-E1;Parent=evm.model.Herato1202.568								
844	Herato2001	15529985	15530563	+	0	NA	Intergenic	Intergenic	8206	ID=evm.model.Herato2001.606-E2;Parent=evm.model.Herato2001.606								
329	Herato1108	11979369	11980005	+	0	NA	Intergenic	Intergenic	-3821	ID=evm.model.Herato1108.512-E2;Parent=evm.model.Herato1108.512								
525	Herato1507	7581250	7581542	+	0	NA	TTS (ID=evm.model.Herato1507.265-E2;Parent=evm.model.Herato1507.265)	-TTS (ID=evm.model.Herato1507.265-E2;Parent=evm.model.Herato1507.265)	114	ID=evm.model.Herato1507.265-E2;Parent=evm.model.Herato1507.265								
787	Herato0215	2023626	2024118	+	0	NA	Intergenic	Intergenic	7122	ID=evm.model.Herato0215.70-E2;Parent=evm.model.Herato0215.70								
27	Herato0606	3200441	3200867	+	0	NA	Intergenic	Intergenic	-13188	ID=evm.model.Herato0606.101-E1;Parent=evm.model.Herato0606.101								
272	Herato1007	341486	342034	+	0	NA	Intergenic	Intergenic	-56539	ID=evm.model.Herato1007.7-E1;Parent=evm.model.Herato1007.7								
161	Herato0821	440031	440659	+	0	NA	Intergenic	Intergenic	-4198	ID=evm.model.Herato0821.25-E1;Parent=evm.model.Herato0821.25								
775	Herato1908	303064	303546	+	0	NA	Intergenic	Intergenic	-5598	ID=evm.model.Herato1908.15.2-E2;Parent=evm.model.Herato1908.15.2								
582	Herato1605	2438667	2439910	+	0	NA	Intergenic	Intergenic	-25005	ID=evm.model.Herato1605.84-E1;Parent=evm.model.Herato1605.84								
919	Herato0411	3379684	3379899	+	0	NA	Intergenic	Intergenic	-1845	ID=novel_model_41-E1;Parent=novel_model_41								
746	Herato1904	4602475	4602804	+	0	NA	Intergenic	Intergenic	1631	ID=evm.model.Herato1904.155_evm.model.Herato1904.156-E3;Parent=evm.model.Herato1904.155_evm.model.Herato1904.156								
534	Herato1601	1516616	1516772	+	0	NA	Intergenic	Intergenic	-4933	ID=evm.model.Herato1601.50-E2;Parent=evm.model.Herato1601.50								
400	Herato1301	3485189	3485496	+	0	NA	Intergenic	Intergenic	17765	ID=evm.model.Herato1301.97-E2;Parent=evm.model.Herato1301.97								
744	Herato1904	3394385	3394853	+	0	NA	Intergenic	Intergenic	-14093	ID=evm.model.Herato1904.118-E1;Parent=evm.model.Herato1904.118								
20	Herato0606	2426892	2427891	+	0	NA	Intergenic	Intergenic	-5915	ID=evm.model.Herato0606.76.1-E1;Parent=evm.model.Herato0606.76.1								
109	Herato0101	11318083	11318669	+	0	NA	Intergenic	Intergenic	2931	ID=evm.model.Herato0101.327-E5;Parent=evm.model.Herato0101.327								
888	Herato0310	5863036	5863246	+	0	NA	Intergenic	Intergenic	7612	ID=evm.model.Herato0310.138-E1;Parent=evm.model.Herato0310.138								
633	Herato1708	2091486	2092344	+	0	NA	Intergenic	Intergenic	-3351	ID=evm.model.Herato1708.123-E1;Parent=evm.model.Herato1708.123								
151	Herato0801	7852634	7852865	+	0	NA	Intergenic	Intergenic	-1455	ID=evm.model.Herato0801.222-E2;Parent=evm.model.Herato0801.222								
557	Herato1603	2077686	2078141	+	0	NA	Intergenic	Intergenic	-4017	ID=evm.model.Herato1603.60.1-E1;Parent=evm.model.Herato1603.60.1								
718	Herato0215	48569	49384	+	0	NA	Intergenic	Intergenic	-8087	ID=evm.model.Herato0215.2.1-E1;Parent=evm.model.Herato0215.2.1								
468	Herato1408	2620353	2621020	+	0	NA	Intergenic	Intergenic	-15467	ID=evm.model.Herato1408.71-E4;Parent=evm.model.Herato1408.71								
700	Herato1807	2084689	2085062	+	0	NA	Intergenic	Intergenic	13625	ID=evm.model.Herato1807.40-E3;Parent=evm.model.Herato1807.40								
287	Herato1007	2109223	2109688	+	0	NA	Intergenic	Intergenic	23535	ID=evm.model.Herato1007.87-E5;Parent=evm.model.Herato1007.87								
