PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_melpUnique_D2up.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D2_p05FC1_melpUnique_D2up_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1076	Hmel213020	221946	222204	+	0	NA	Intergenic	Intergenic	-6743	ID=HMEL004896g1.t1-E1;Parent=HMEL004896g1.t1								
766	Hmel210004	1750630	1751292	+	0	NA	Intergenic	Intergenic	-2820	ID=HMEL002901-RA-E2;Parent=HMEL002901-RA								
510	Hmel207002	1373193	1373860	+	0	NA	Intergenic	Intergenic	4678	ID=HMEL011222g1.t1-E2;Parent=HMEL011222g1.t1								
393	Hmel205017	270623	270928	+	0	NA	promoter-TSS (ID=HMEL036736g1.t1-E1;Parent=HMEL036736g1.t1)	-promoter-TSS (ID=HMEL036736g1.t1-E1;Parent=HMEL036736g1.t1)	-958	ID=HMEL036736g1.t1-E1;Parent=HMEL036736g1.t1								
449	Hmel206009	1485662	1485948	+	0	NA	Intergenic	Intergenic	-1631	ID=HMEL016780g2.t1-E1;Parent=HMEL016780g2.t1								
1501	Hmel218001	173826	174323	+	0	NA	Intergenic	Intergenic	-2929	ID=HMEL034176g1.t1-E1;Parent=HMEL034176g1.t1								
658	Hmel208051	635201	635429	+	0	NA	promoter-TSS (ID=HMEL008168g1.t1-E2;Parent=HMEL008168g1.t1)	-promoter-TSS (ID=HMEL008168g1.t1-E2;Parent=HMEL008168g1.t1)	-564	ID=HMEL008168g1.t1-E2;Parent=HMEL008168g1.t1								
274	Hmel204013	400361	400706	+	0	NA	promoter-TSS (ID=HMEL014628g1.t1-E2;Parent=HMEL014628g1.t1)	-promoter-TSS (ID=HMEL014628g1.t1-E2;Parent=HMEL014628g1.t1)	-960	ID=HMEL014628g1.t1-E2;Parent=HMEL014628g1.t1								
1574	Hmel218018	5291081	5291236	+	0	NA	Intergenic	Intergenic	46690	ID=HMEL004599g1.t1-E1;Parent=HMEL004599g1.t1								
1579	Hmel218018	5805760	5806356	+	0	NA	Intergenic	Intergenic	4562	ID=HMEL034453g1.t2-E1;Parent=HMEL034453g1.t2								
549	Hmel207003	15747	15918	+	0	NA	Intergenic	Intergenic	-1248	ID=HMEL037514g1.t1-E2;Parent=HMEL037514g1.t1								
877	Hmel211004	2208525	2208759	+	0	NA	Intergenic	Intergenic	2784	ID=HMEL015133g1.t1-E4;Parent=HMEL015133g1.t1								
659	Hmel208051	750039	750423	+	0	NA	Intergenic	Intergenic	-10891	ID=HMEL038155g1.t1-E1;Parent=HMEL038155g1.t1								
1508	Hmel218003	792537	793233	+	0	NA	Intergenic	Intergenic	-11469	ID=HMEL034216g1.t1-E1;Parent=HMEL034216g1.t1								
1771	Hmel220005	2016428	2016626	+	0	NA	Intergenic	Intergenic	-2803	ID=HMEL035119g1.t2-E1;Parent=HMEL035119g1.t2								
1141	Hmel213051	190437	190714	+	0	NA	Intergenic	Intergenic	-20839	ID=HMEL032087g1.t1-E1;Parent=HMEL032087g1.t1								
1128	Hmel213046	83280	83537	+	0	NA	Intergenic	Intergenic	-1160	ID=HMEL003999g1.t1-E1;Parent=HMEL003999g1.t1								
682	Hmel209003	45337	45607	+	0	NA	Intergenic	Intergenic	5747	ID=HMEL030304g1.t1-E2;Parent=HMEL030304g1.t1								
353	Hmel205009	170140	170542	+	0	NA	promoter-TSS (ID=HMEL036636g1.t1-E3;Parent=HMEL036636g1.t1)	-promoter-TSS (ID=HMEL036636g1.t1-E3;Parent=HMEL036636g1.t1)	-558	ID=HMEL036636g1.t1-E3;Parent=HMEL036636g1.t1								
375	Hmel205012	1240747	1241020	+	0	NA	Intergenic	Intergenic	6006	ID=HMEL017902g1.t1-E1;Parent=HMEL017902g1.t1								
984	Hmel212011	131162	131897	+	0	NA	Intergenic	Intergenic	5961	ID=HMEL031587g1.t1-E2;Parent=HMEL031587g1.t1								
1155	Hmel213054	192477	192981	+	0	NA	Intergenic	Intergenic	25606	ID=HMEL007986g1.t1-E2;Parent=HMEL007986g1.t1								
946	Hmel212001	3593450	3594218	+	0	NA	TTS (ID=HMEL013201g3.t1-E3;Parent=HMEL013201g3.t1)	-TTS (ID=HMEL013201g3.t1-E3;Parent=HMEL013201g3.t1)	250	ID=HMEL013201g3.t2-E3;Parent=HMEL013201g3.t2								
1485	Hmel217018	1312916	1313673	+	0	NA	Intergenic	Intergenic	-22914	ID=HMEL002936g1.t1-E1;Parent=HMEL002936g1.t1								
788	Hmel210004	5858896	5859378	+	0	NA	Intergenic	Intergenic	7762	ID=HMEL009011g1.t1-E1;Parent=HMEL009011g1.t1								
128	Hmel202006	1013118	1013364	+	0	NA	Intergenic	Intergenic	-5411	ID=HMEL006878g1.t1-E1;Parent=HMEL006878g1.t1								
1724	Hmel219019	124208	124453	+	0	NA	Intergenic	Intergenic	-2763	ID=HMEL034938g1.t1-E6;Parent=HMEL034938g1.t1								
1520	Hmel218004	207468	208526	+	0	NA	promoter-TSS (ID=HMEL034240g1.t1-E1;Parent=HMEL034240g1.t1)	-promoter-TSS (ID=HMEL034240g1.t1-E1;Parent=HMEL034240g1.t1)	84	ID=HMEL034240g1.t1-E1;Parent=HMEL034240g1.t1								
303	Hmel204017	2460864	2461406	+	0	NA	Intergenic	Intergenic	-7122	ID=HMEL036480g1.t1-E1;Parent=HMEL036480g1.t1								
250	Hmel204001	503	1684	+	0	NA	Intergenic	Intergenic	-4098	ID=HMEL003454g1.t1-E1;Parent=HMEL003454g1.t1								
1361	Hmel216007	76504	77250	+	0	NA	Intergenic	Intergenic	-25174	ID=HMEL033478g1.t1-E1;Parent=HMEL033478g1.t1								
614	Hmel208008	240366	241225	+	0	NA	Intergenic	Intergenic	-3411	ID=HMEL037826g1.t1-E1;Parent=HMEL037826g1.t1								
1765	Hmel220005	716448	716792	+	0	NA	Intergenic	Intergenic	-7949	ID=HMEL035058g1.t1-E1;Parent=HMEL035058g1.t1								
501	Hmel207001	36688	36952	+	0	NA	Intergenic	Intergenic	-1837	ID=HMEL037336g1.t1-E1;Parent=HMEL037336g1.t1								
1313	Hmel215044	503111	503757	+	0	NA	Intergenic	Intergenic	-11598	ID=HMEL021859g1.t1-E1;Parent=HMEL021859g1.t1								
278	Hmel204013	1031567	1031981	+	0	NA	Intergenic	Intergenic	6567	ID=HMEL036405g1.t1-E2;Parent=HMEL036405g1.t1								
1617	Hmel219003	1824033	1824416	+	0	NA	Intergenic	Intergenic	-4527	ID=HMEL010660g1.t1-E1;Parent=HMEL010660g1.t1								
490	Hmel206016	99502	99846	+	0	NA	Intergenic	Intergenic	-28549	ID=HMEL037171g1.t1-E1;Parent=HMEL037171g1.t1								
1843	Hmel221013	2122	2484	+	0	NA	Intergenic	Intergenic	13276	ID=HMEL014701g1.t1-E2;Parent=HMEL014701g1.t1								
130	Hmel202006	1299938	1300474	+	0	NA	Intergenic	Intergenic	-5016	ID=HMEL033280g1.t1-E1;Parent=HMEL033280g1.t1								
155	Hmel202006	4001417	4001739	+	0	NA	TTS (ID=HMEL010633g1.t1-E1;Parent=HMEL010633g1.t1)	-TTS (ID=HMEL010633g1.t1-E1;Parent=HMEL010633g1.t1)	277	ID=HMEL010633g1.t1-E1;Parent=HMEL010633g1.t1								
1373	Hmel216009	843272	843431	+	0	NA	Intergenic	Intergenic	45473	ID=HMEL033499g1.t1-E2;Parent=HMEL033499g1.t1								
387	Hmel205015	146581	146848	+	0	NA	Intergenic	Intergenic	-3480	ID=HMEL002495g1.t1-E1;Parent=HMEL002495g1.t1								
53	Hmel201009	1742165	1742438	+	0	NA	Intergenic	Intergenic	-25596	ID=HMEL030155g1.t1-E1;Parent=HMEL030155g1.t1								
1465	Hmel217014	154597	154770	+	0	NA	Intergenic	Intergenic	37261	ID=HMEL020557g1.t1-E2;Parent=HMEL020557g1.t1								
1302	Hmel215029	212113	213265	+	0	NA	Intergenic	Intergenic	7379	ID=HMEL005381g1.t2-E14;Parent=HMEL005381g1.t2								
1112	Hmel213044	727623	727846	+	0	NA	Intergenic	Intergenic	20049	ID=HMEL032042g1.t1-E4;Parent=HMEL032042g1.t1								
626	Hmel208014	232173	232397	+	0	NA	Intergenic	Intergenic	-2350	ID=HMEL009161g1.t2-E3;Parent=HMEL009161g1.t2								
1397	Hmel216011	2171462	2172952	+	0	NA	TTS (ID=HMEL004395g1.t1-E1;Parent=HMEL004395g1.t1)	-TTS (ID=HMEL004395g1.t1-E1;Parent=HMEL004395g1.t1)	133	ID=HMEL004395g1.t1-E2;Parent=HMEL004395g1.t1								
1294	Hmel215008	33026	33197	+	0	NA	Intergenic	Intergenic	-7501	ID=HMEL032698g1.t1-E1;Parent=HMEL032698g1.t1								
941	Hmel212001	2830684	2831068	+	0	NA	Intergenic	Intergenic	15099	ID=HMEL016850g1.t1-E2;Parent=HMEL016850g1.t1								
461	Hmel206009	2890533	2890935	+	0	NA	TTS (ID=HMEL002773g1.t1-E3;Parent=HMEL002773g1.t1)	-TTS (ID=HMEL002773g1.t1-E3;Parent=HMEL002773g1.t1)	1245	ID=HMEL002773g1.t1-E3;Parent=HMEL002773g1.t1								
583	Hmel207021	1981331	1982116	+	0	NA	Intergenic	Intergenic	31962	ID=HMEL037713g1.t1-E1;Parent=HMEL037713g1.t1								
1562	Hmel218018	2575992	2576673	+	0	NA	Intergenic	Intergenic	-35969	ID=HMEL034392g1.t1-E1;Parent=HMEL034392g1.t1								
1426	Hmel217001	341578	342494	+	0	NA	Intergenic	Intergenic	3083	ID=HMEL016452g3.t1-E1;Parent=HMEL016452g3.t1								
257	Hmel204001	1007150	1007657	+	0	NA	Intergenic	Intergenic	-11170	ID=HMEL017425g1.t1-E1;Parent=HMEL017425g1.t1								
1879	Hmel209009	8253	9499	+	0	NA	promoter-TSS (ID=HMEL030548g1.t1-E2;Parent=HMEL030548g1.t1)	-promoter-TSS (ID=HMEL030548g1.t1-E2;Parent=HMEL030548g1.t1)	-89	ID=HMEL030548g1.t1-E2;Parent=HMEL030548g1.t1								
1358	Hmel216007	171031	171458	+	0	NA	Intergenic	Intergenic	-9761	ID=HMEL012654g1.t1-E1;Parent=HMEL012654g1.t1								
951	Hmel212001	4171205	4171859	+	0	NA	Intergenic	Intergenic	7832	ID=HMEL016568g1.t1-E3;Parent=HMEL016568g1.t1								
782	Hmel210004	4473054	4474107	+	0	NA	Intergenic	Intergenic	-9822	ID=HMEL018082g1.t1-E1;Parent=HMEL018082g1.t1								
85	Hmel201011	685358	685856	+	0	NA	Intergenic	Intergenic	11500	ID=HMEL012836g1.t1-E8;Parent=HMEL012836g1.t1								
1824	Hmel220017	1108922	1109267	+	0	NA	promoter-TSS (ID=HMEL006339g1.t1-E1;Parent=HMEL006339g1.t1)	-promoter-TSS (ID=HMEL006339g1.t1-E1;Parent=HMEL006339g1.t1)	-506	ID=HMEL006339g1.t1-E1;Parent=HMEL006339g1.t1								
809	Hmel210005	914685	914969	+	0	NA	promoter-TSS (ID=HMEL030774g1.t1-E1;Parent=HMEL030774g1.t1)	-promoter-TSS (ID=HMEL030774g1.t1-E1;Parent=HMEL030774g1.t1)	-723	ID=HMEL030774g1.t1-E1;Parent=HMEL030774g1.t1								
1156	Hmel213054	194442	195158	+	0	NA	Intergenic	Intergenic	27677	ID=HMEL007986g1.t1-E2;Parent=HMEL007986g1.t1								
1557	Hmel218018	2099411	2099560	+	0	NA	Intergenic	Intergenic	-18166	ID=HMEL016189g1.t1-E1;Parent=HMEL016189g1.t1								
1486	Hmel217018	1606793	1607837	+	0	NA	Intergenic	Intergenic	1370	ID=HMEL017687g1.t1-E2;Parent=HMEL017687g1.t1								
425	Hmel206006	277251	278184	+	0	NA	Intergenic	Intergenic	-12842	ID=HMEL036934g1.t1-E1;Parent=HMEL036934g1.t1								
1869	Hmel205029	52852	53031	+	0	NA	Intergenic	Intergenic	-5371	ID=HMEL036904g1.t1-E1;Parent=HMEL036904g1.t1								
591	Hmel207023	545659	546451	+	0	NA	Intergenic	Intergenic	20189	ID=HMEL037743g1.t1-E2;Parent=HMEL037743g1.t1								
832	Hmel210011	1903370	1903763	+	0	NA	Intergenic	Intergenic	-2720	ID=HMEL007313g1.t1-E2;Parent=HMEL007313g1.t1								
736	Hmel209007	4555052	4555302	+	0	NA	Intergenic	Intergenic	13367	ID=HMEL003866g1.t1-E3;Parent=HMEL003866g1.t1								
539	Hmel207002	5985726	5985931	+	0	NA	promoter-TSS (ID=HMEL037490g1.t1-E5;Parent=HMEL037490g1.t1)	-promoter-TSS (ID=HMEL037490g1.t1-E5;Parent=HMEL037490g1.t1)	-699	ID=HMEL037490g1.t1-E5;Parent=HMEL037490g1.t1								
781	Hmel210004	4421154	4421395	+	0	NA	Intergenic	Intergenic	12677	ID=HMEL030676g1.t1-E2;Parent=HMEL030676g1.t1								
828	Hmel210011	853153	854685	+	0	NA	Intergenic	Intergenic	7218	ID=HMEL030842g1.t1-E2;Parent=HMEL030842g1.t1								
276	Hmel204013	677184	677416	+	0	NA	Intergenic	Intergenic	17316	ID=HMEL036398g1.t1-E15;Parent=HMEL036398g1.t1								
102	Hmel201019	1117925	1119106	+	0	NA	promoter-TSS (ID=HMEL033135g1.t1-E3;Parent=HMEL033135g1.t1)	-promoter-TSS (ID=HMEL033135g1.t1-E3;Parent=HMEL033135g1.t1)	-479	ID=HMEL033135g1.t1-E3;Parent=HMEL033135g1.t1								
1831	Hmel221001	1364852	1365046	+	0	NA	Intergenic	Intergenic	9149	ID=HMEL035449g1.t1-E1;Parent=HMEL035449g1.t1								
1698	Hmel219014	1175232	1176566	+	0	NA	Intergenic	Intergenic	8874	ID=HMEL005589g1.t1-E4;Parent=HMEL005589g1.t1								
520	Hmel207002	3039761	3039928	+	0	NA	promoter-TSS (ID=HMEL037414g1.t1-E6;Parent=HMEL037414g1.t1)	-promoter-TSS (ID=HMEL037414g1.t1-E6;Parent=HMEL037414g1.t1)	69	ID=HMEL037414g1.t1-E6;Parent=HMEL037414g1.t1								
1218	Hmel214008	1998426	1998902	+	0	NA	Intergenic	Intergenic	6077	ID=HMEL022515-RA-E1;Parent=HMEL022515-RA								
532	Hmel207002	4552968	4553272	+	0	NA	Intergenic	Intergenic	6988	ID=HMEL037454g1.t1-E3;Parent=HMEL037454g1.t1								
1193	Hmel213071	983746	983953	+	0	NA	Intergenic	Intergenic	-8001	ID=HMEL032259g1.t1-E1;Parent=HMEL032259g1.t1								
1404	Hmel216012	367367	367826	+	0	NA	Intergenic	Intergenic	-19967	ID=HMEL008238g1.t1-E1;Parent=HMEL008238g1.t1								
55	Hmel201009	1775788	1776216	+	0	NA	promoter-TSS (ID=HMEL015815g1.t4-E2;Parent=HMEL015815g1.t4)	-promoter-TSS (ID=HMEL015815g1.t4-E2;Parent=HMEL015815g1.t4)	182	ID=HMEL015815g1.t6-E1;Parent=HMEL015815g1.t6								
1890	Hmel214020	83	564	+	0	NA	Intergenic	Intergenic	24750	ID=HMEL032474g1.t1-E9;Parent=HMEL032474g1.t1								
1543	Hmel218015	32136	32432	+	0	NA	Intergenic	Intergenic	-9972	ID=HMEL034345g1.t1-E1;Parent=HMEL034345g1.t1								
1681	Hmel219009	239929	240178	+	0	NA	TTS (ID=HMEL034742g1.t1-E2;Parent=HMEL034742g1.t1)	-TTS (ID=HMEL034742g1.t1-E2;Parent=HMEL034742g1.t1)	1030	ID=HMEL034742g1.t1-E2;Parent=HMEL034742g1.t1								
57	Hmel201009	1798917	1799120	+	0	NA	TTS (ID=HMEL015815g1.t5-E9;Parent=HMEL015815g1.t5)	-TTS (ID=HMEL015815g1.t5-E9;Parent=HMEL015815g1.t5)	951	ID=HMEL015815g1.t5-E9;Parent=HMEL015815g1.t5								
259	Hmel204001	1128888	1129188	+	0	NA	promoter-TSS (ID=HMEL017417g1.t1-E1;Parent=HMEL017417g1.t1)	-promoter-TSS (ID=HMEL017417g1.t1-E1;Parent=HMEL017417g1.t1)	-109	ID=HMEL017417g1.t1-E1;Parent=HMEL017417g1.t1								
424	Hmel206006	263242	263584	+	0	NA	Intergenic	Intergenic	-17703	ID=HMEL012144g1.t1-E1;Parent=HMEL012144g1.t1								
872	Hmel211004	165504	165855	+	0	NA	Intergenic	Intergenic	-18639	ID=HMEL015222g1.t1-E1;Parent=HMEL015222g1.t1								
1625	Hmel219003	2701238	2701589	+	0	NA	Intergenic	Intergenic	7661	ID=HMEL011621g1.t1-E1;Parent=HMEL011621g1.t1								
163	Hmel202006	4947131	4947773	+	0	NA	Intergenic	Intergenic	2665	ID=HMEL006147g3.t1-E3;Parent=HMEL006147g3.t1								
1402	Hmel216012	205925	206285	+	0	NA	Intergenic	Intergenic	1291	ID=HMEL011492g2.t1-E1;Parent=HMEL011492g2.t1								
1106	Hmel213038	40431	40660	+	0	NA	promoter-TSS (ID=HMEL032018g1.t1-E10;Parent=HMEL032018g1.t1)	-promoter-TSS (ID=HMEL032018g1.t1-E10;Parent=HMEL032018g1.t1)	116	ID=HMEL032018g1.t1-E9;Parent=HMEL032018g1.t1								
1836	Hmel221009	255085	255463	+	0	NA	Intergenic	Intergenic	6854	ID=HMEL002816g1.t1-E4;Parent=HMEL002816g1.t1								
1146	Hmel213059	14051	14410	+	0	NA	NA	NA	NA	NA								
395	Hmel205017	457662	458126	+	0	NA	Intergenic	Intergenic	-1478	ID=HMEL014740g1.t1-E1;Parent=HMEL014740g1.t1								
89	Hmel201011	1465255	1465628	+	0	NA	Intergenic	Intergenic	-11402	ID=HMEL033046g1.t1-E1;Parent=HMEL033046g1.t1								
175	Hmel202006	6101897	6102100	+	0	NA	Intergenic	Intergenic	-1149	ID=HMEL011686g1.t1-E1;Parent=HMEL011686g1.t1								
1531	Hmel218007	958568	958766	+	0	NA	promoter-TSS (ID=HMEL009744g1.t1-E1;Parent=HMEL009744g1.t1)	-promoter-TSS (ID=HMEL009744g1.t1-E1;Parent=HMEL009744g1.t1)	-908	ID=HMEL009744g1.t1-E1;Parent=HMEL009744g1.t1								
584	Hmel207021	2261952	2262856	+	0	NA	Intergenic	Intergenic	-1381	ID=HMEL037717g1.t1-E1;Parent=HMEL037717g1.t1								
988	Hmel212011	304658	304823	+	0	NA	Intergenic	Intergenic	-4028	ID=HMEL031592g1.t1-E1;Parent=HMEL031592g1.t1								
35	Hmel201007	1068479	1069068	+	0	NA	promoter-TSS (ID=HMEL002609g1.t1-E2;Parent=HMEL002609g1.t1)	-promoter-TSS (ID=HMEL002609g1.t1-E2;Parent=HMEL002609g1.t1)	-241	ID=HMEL002609g1.t1-E2;Parent=HMEL002609g1.t1								
1841	Hmel221012	3211958	3212368	+	0	NA	TTS (ID=HMEL013867g2.t1-E7;Parent=HMEL013867g2.t1)	-TTS (ID=HMEL013867g2.t1-E7;Parent=HMEL013867g2.t1)	1164	ID=HMEL013867g2.t1-E7;Parent=HMEL013867g2.t1								
1882	Hmel211005	92994	93254	+	0	NA	Intergenic	Intergenic	2226	ID=HMEL005970g1.t1-E5;Parent=HMEL005970g1.t1								
1550	Hmel218018	462147	462784	+	0	NA	Intergenic	Intergenic	24676	ID=HMEL017487-RA-E1;Parent=HMEL017487-RA								
1454	Hmel217004	1920451	1921691	+	0	NA	TTS (ID=HMEL033808g1.t1-E2;Parent=HMEL033808g1.t1)	-TTS (ID=HMEL033808g1.t1-E2;Parent=HMEL033808g1.t1)	160	ID=HMEL033808g1.t1-E2;Parent=HMEL033808g1.t1								
1421	Hmel216016	233005	234075	+	0	NA	promoter-TSS (ID=HMEL008071g1.t1-E2;Parent=HMEL008071g1.t1)	-promoter-TSS (ID=HMEL008071g1.t1-E2;Parent=HMEL008071g1.t1)	65	ID=HMEL008071g1.t1-E2;Parent=HMEL008071g1.t1								
347	Hmel205005	694862	695855	+	0	NA	Intergenic	Intergenic	1638	ID=HMEL016273g1.t3-E2;Parent=HMEL016273g1.t3								
1333	Hmel216001	704856	706020	+	0	NA	Intergenic	Intergenic	2498	ID=HMEL032983g1.t1-E2;Parent=HMEL032983g1.t1								
665	Hmel208051	1685599	1686465	+	0	NA	promoter-TSS (ID=HMEL038185g1.t1-E4;Parent=HMEL038185g1.t1)	-promoter-TSS (ID=HMEL038185g1.t1-E4;Parent=HMEL038185g1.t1)	-152	ID=HMEL038185g1.t1-E4;Parent=HMEL038185g1.t1								
434	Hmel206006	1900895	1901288	+	0	NA	Intergenic	Intergenic	5684	ID=HMEL036961g1.t1-E1;Parent=HMEL036961g1.t1								
1476	Hmel217018	268355	268826	+	0	NA	Intergenic	Intergenic	-4196	ID=HMEL002231g1.t1-E1;Parent=HMEL002231g1.t1								
1184	Hmel213069	1126954	1127797	+	0	NA	TTS (ID=HMEL005076g1.t1-E1;Parent=HMEL005076g1.t1)	-TTS (ID=HMEL005076g1.t1-E1;Parent=HMEL005076g1.t1)	435	ID=HMEL005076g1.t1-E1;Parent=HMEL005076g1.t1								
865	Hmel211002	83178	83414	+	0	NA	Intergenic	Intergenic	13510	ID=HMEL015337g1.t1-E7;Parent=HMEL015337g1.t1								
1207	Hmel214008	636647	636893	+	0	NA	Intergenic	Intergenic	49716	ID=HMEL032319g1.t1-E4;Parent=HMEL032319g1.t1								
1584	Hmel218018	6551853	6553352	+	0	NA	Intergenic	Intergenic	3482	ID=HMEL034461g1.t1-E3;Parent=HMEL034461g1.t1								
904	Hmel211014	119548	119776	+	0	NA	Intergenic	Intergenic	7987	ID=HMEL004192g1.t1-E2;Parent=HMEL004192g1.t1								
930	Hmel212001	1322279	1323022	+	0	NA	promoter-TSS (ID=HMEL007530g1.t1-E2;Parent=HMEL007530g1.t1)	-promoter-TSS (ID=HMEL007530g1.t1-E2;Parent=HMEL007530g1.t1)	612	ID=HMEL007530g1.t1-E1;Parent=HMEL007530g1.t1								
442	Hmel206007	120177	120890	+	0	NA	Intergenic	Intergenic	-18992	ID=HMEL011868g1.t2-E1;Parent=HMEL011868g1.t2								
1675	Hmel219005	941493	942031	+	0	NA	Intergenic	Intergenic	14977	ID=HMEL034723g1.t1-E7;Parent=HMEL034723g1.t1								
1577	Hmel218018	5606848	5607093	+	0	NA	Intergenic	Intergenic	-9440	ID=HMEL034450g1.t1-E1;Parent=HMEL034450g1.t1								
649	Hmel208048	35749	35911	+	0	NA	promoter-TSS (ID=HMEL038109g1.t1-E2;Parent=HMEL038109g1.t1)	-promoter-TSS (ID=HMEL038109g1.t1-E2;Parent=HMEL038109g1.t1)	-604	ID=HMEL038109g1.t1-E2;Parent=HMEL038109g1.t1								
1572	Hmel218018	4950276	4950498	+	0	NA	Intergenic	Intergenic	-4774	ID=HMEL004586g1.t1-E1;Parent=HMEL004586g1.t1								
689	Hmel209005	1010416	1010831	+	0	NA	Intergenic	Intergenic	4662	ID=HMEL012978g1.t1-E5;Parent=HMEL012978g1.t1								
1318	Hmel215047	857357	857661	+	0	NA	Intergenic	Intergenic	-2746	ID=HMEL032879g1.t1-E1;Parent=HMEL032879g1.t1								
886	Hmel211009	35473	35712	+	0	NA	Intergenic	Intergenic	5953	ID=HMEL031162g1.t1-E2;Parent=HMEL031162g1.t1								
648	Hmel208046	36680	37294	+	0	NA	Intergenic	Intergenic	-22226	ID=HMEL038090g1.t1-E1;Parent=HMEL038090g1.t1								
642	Hmel208021	1034900	1035150	+	0	NA	TTS (ID=HMEL002445g1.t1-E7;Parent=HMEL002445g1.t1)	-TTS (ID=HMEL002445g1.t1-E7;Parent=HMEL002445g1.t1)	813	ID=HMEL002445g1.t1-E7;Parent=HMEL002445g1.t1								
1116	Hmel213045	38585	38816	+	0	NA	Intergenic	Intergenic	-32377	ID=HMEL032046g1.t1-E1;Parent=HMEL032046g1.t1								
1764	Hmel220005	669352	669678	+	0	NA	TTS (ID=HMEL012263g2.t1-E1;Parent=HMEL012263g2.t1)	-TTS (ID=HMEL012263g2.t1-E1;Parent=HMEL012263g2.t1)	152	ID=HMEL012263g2.t1-E1;Parent=HMEL012263g2.t1								
1329	Hmel216001	951284	951609	+	0	NA	TTS (ID=HMEL032993g1.t1-E3;Parent=HMEL032993g1.t1)	-TTS (ID=HMEL032993g1.t1-E3;Parent=HMEL032993g1.t1)	145	ID=HMEL032993g1.t1-E3;Parent=HMEL032993g1.t1								
1908	Hmel219014	290863	291154	+	0	NA	Intergenic	Intergenic	9311	ID=HMEL014058g1.t1-E9;Parent=HMEL014058g1.t1								
1028	Hmel212013	2791536	2791824	+	0	NA	Intergenic	Intergenic	-10027	ID=HMEL012642g1.t1-E1;Parent=HMEL012642g1.t1								
1725	Hmel220001	197650	198184	+	0	NA	Intergenic	Intergenic	8238	ID=HMEL034975g1.t1-E3;Parent=HMEL034975g1.t1								
1589	Hmel218018	7788251	7788962	+	0	NA	Intergenic	Intergenic	4937	ID=HMEL016588g4.t1-E1;Parent=HMEL016588g4.t1								
198	Hmel203030	145595	145790	+	0	NA	Intergenic	Intergenic	-29831	ID=HMEL008888g1.t1-E1;Parent=HMEL008888g1.t1								
1718	Hmel219018	1837814	1838860	+	0	NA	Intergenic	Intergenic	-11457	ID=HMEL034920g1.t1-E1;Parent=HMEL034920g1.t1								
1098	Hmel213027	148904	150366	+	0	NA	Intergenic	Intergenic	7468	ID=HMEL031966g1.t1-E1;Parent=HMEL031966g1.t1								
1059	Hmel213009	7809	7969	+	0	NA	TTS (ID=HMEL020594g1.t1-E2;Parent=HMEL020594g1.t1)	-TTS (ID=HMEL020594g1.t1-E2;Parent=HMEL020594g1.t1)	437	ID=HMEL020594g1.t1-E2;Parent=HMEL020594g1.t1								
727	Hmel209007	3766118	3767145	+	0	NA	Intergenic	Intergenic	-6624	ID=HMEL013707g1.t1-E1;Parent=HMEL013707g1.t1								
939	Hmel212001	2791602	2791781	+	0	NA	Intergenic	Intergenic	-11659	ID=HMEL016849g1.t1-E1;Parent=HMEL016849g1.t1								
320	Hmel204024	13881	14448	+	0	NA	Intergenic	Intergenic	-24184	ID=HMEL036521g1.t1-E1;Parent=HMEL036521g1.t1								
913	Hmel211017	125431	125999	+	0	NA	Intergenic	Intergenic	5738	ID=HMEL031272g1.t1-E2;Parent=HMEL031272g1.t1								
811	Hmel210005	1041015	1041764	+	0	NA	TTS (ID=HMEL030776g1.t1-E4;Parent=HMEL030776g1.t1)	-TTS (ID=HMEL030776g1.t1-E4;Parent=HMEL030776g1.t1)	761	ID=HMEL030776g1.t1-E4;Parent=HMEL030776g1.t1								
1670	Hmel219005	382203	382613	+	0	NA	TTS (ID=HMEL009297g1.t1-E6;Parent=HMEL009297g1.t1)	-TTS (ID=HMEL009297g1.t1-E6;Parent=HMEL009297g1.t1)	1254	ID=HMEL009297g1.t1-E6;Parent=HMEL009297g1.t1								
202	Hmel203030	315091	315378	+	0	NA	promoter-TSS (ID=HMEL036021g1.t1-E7;Parent=HMEL036021g1.t1)	-promoter-TSS (ID=HMEL036021g1.t1-E7;Parent=HMEL036021g1.t1)	-665	ID=HMEL036021g1.t1-E7;Parent=HMEL036021g1.t1								
249	Hmel203069	2856483	2856829	+	0	NA	Intergenic	Intergenic	4112	ID=HMEL009555g1.t1-E5;Parent=HMEL009555g1.t1								
361	Hmel205011	95266	95492	+	0	NA	TTS (ID=HMEL036653g1.t1-E1;Parent=HMEL036653g1.t1)	-TTS (ID=HMEL036653g1.t1-E1;Parent=HMEL036653g1.t1)	890	ID=HMEL036653g1.t1-E1;Parent=HMEL036653g1.t1								
465	Hmel206009	3765709	3765849	+	0	NA	Intergenic	Intergenic	18796	ID=HMEL014669g1.t1-E5;Parent=HMEL014669g1.t1								
